# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computationresults\2018-02-25T11-55-28.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-02-25T11:55:28
# E0	0.
# l0	3.4641016151377544
# Ep	5.600708545638108e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	0.	0.	0.00011558148090697272
-1.	0.	0.031415926535897934	0.0002651986271259377
-1.	0.	0.06283185307179587	0.0005030123641288625
-1.	0.	0.09424777960769379	-0.000035856113573854914
-1.	0.	0.12566370614359174	0.0003801832862531116
-1.	0.	0.15707963267948966	NaN
-1.	0.	0.18849555921538758	NaN
-1.	0.	0.21991148575128555	NaN
-1.	0.	0.25132741228718347	-7.715257474476809e-7
-1.	0.	0.2827433388230814	0.000011265666128458601
-1.	0.	0.3141592653589793	8.497609441071593e-7
-1.	0.	0.34557519189487723	0.0004217918652862563
-1.	0.	0.37699111843077515	0.00039800334654586315
-1.	0.	0.4084070449666731	0.0004010820739737672
-1.	0.	0.4398229715025711	0.0002904020893381907
-1.	0.	0.47123889803846897	-9.224707903450882e-6
-1.	0.	0.5026548245743669	0.0005207810470058169
-1.	0.	0.5340707511102649	0.0005218238067398781
-1.	0.	0.5654866776461628	NaN
-1.	0.	0.5969026041820606	0.00013424238249074727
-1.	0.	0.6283185307179586	0.0005403138504267447
-1.	0.	0.6597344572538565	0.0004206018488017059
-1.	0.	0.6911503837897545	0.00018961394127816415
-1.	0.	0.7225663103256524	0.00016823668581379374
-1.	0.	0.7539822368615503	0.000084334957153876
-1.	0.	0.7853981633974483	NaN
-1.	0.	0.8168140899333463	0.0002959674345330053
-1.	0.	0.8482300164692442	0.00017509181779452868
-1.	0.	0.8796459430051422	0.00020404713161047909
-1.	0.	0.91106186954104	0.000016854048602380124
-1.	0.	0.9424777960769379	0.0005336363180018458
-1.	0.	0.9738937226128359	0.000510100985892061
-1.	0.	1.0053096491487339	0.0003588915996740463
-1.	0.	1.0367255756846319	-8.94986452514454e-6
-1.	0.	1.0681415022205298	-0.000016174403616257195
-1.	0.	1.0995574287564276	NaN
-1.	0.	1.1309733552923256	0.0004317225998418251
-1.	0.	1.1623892818282235	-1.251803501058465e-6
-1.	0.	1.1938052083641213	0.0002573130461928423
-1.	0.	1.2252211349000193	NaN
