# Filename	C:\Users\labuser\Documents\Electron Motion\testingresults\2018-01-26T03-39-00.txt
# Source	C:\Users\labuser\Documents\Electron Motion\testing\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-01-26T03:39:00
# E0	0.
# l0	3.4641016151377544
# Ep	0.
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	0.	0.	5.210620666508762e-6
-1.	0.	0.031415926535897934	-2.098665412354571e-7
-1.	0.	0.06283185307179587	-1.8577909008283227e-6
-1.	0.	0.09424777960769379	-5.060547242159691e-7
-1.	0.	0.12566370614359174	8.053527667657376e-8
-1.	0.	0.15707963267948966	4.896837922113277e-6
-1.	0.	0.18849555921538758	4.944160606460942e-6
-1.	0.	0.21991148575128555	1.7183746922771829e-6
-1.	0.	0.25132741228718347	-2.477246166332057e-7
-1.	0.	0.2827433388230814	2.069566639688156e-6
-1.	0.	0.3141592653589793	4.642527928568701e-6
-1.	0.	0.34557519189487723	5.946722601026901e-6
-1.	0.	0.37699111843077515	3.1148196150874463e-6
-1.	0.	0.4084070449666731	1.0794107919684791e-6
-1.	0.	0.4398229715025711	-8.378203210373217e-8
-1.	0.	0.47123889803846897	4.5774934641892625e-6
-1.	0.	0.5026548245743669	-9.975320136962113e-7
-1.	0.	0.5340707511102649	-9.440803123699484e-8
-1.	0.	0.5654866776461628	-3.31139009806418e-6
-1.	0.	0.5969026041820606	-2.3823088826022716e-6
-1.	0.	0.6283185307179586	-5.611521944315725e-7
-1.	0.	0.6597344572538565	7.71509177905409e-6
-1.	0.	0.6911503837897545	-5.902319043554407e-7
-1.	0.	0.7225663103256524	5.307635482352431e-6
-1.	0.	0.7539822368615503	-2.3606268952279908e-7
-1.	0.	0.7853981633974483	-2.530618246768795e-6
-1.	0.	0.8168140899333463	-9.489152837074694e-6
-1.	0.	0.8482300164692442	-4.254079427854418e-8
-1.	0.	0.8796459430051422	-1.2344735886091896e-6
-1.	0.	0.91106186954104	1.7590292899325482e-6
-1.	0.	0.9424777960769379	-8.292387841661359e-6
-1.	0.	0.9738937226128359	-1.4558177061299249e-6
-1.	0.	1.0053096491487339	1.8231514959521327e-6
-1.	0.	1.0367255756846319	-0.000018149931902056077
