# Filename	C:\Users\labuser\Documents\Electron Motion\testingresults\2018-01-27T10-38-28.txt
# Source	C:\Users\labuser\Documents\Electron Motion\testing\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-01-27T10:38:29
# E0	0.
# l0	3.4641016151377544
# Ep	2.800354272819054e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	0.	0.	NaN
-1.	0.	0.031415926535897934	NaN
-1.	0.	0.06283185307179587	0.000024831625423798606
-1.	0.	0.09424777960769379	0.000051284719409761315
-1.	0.	0.12566370614359174	NaN
-1.	0.	0.15707963267948966	NaN
-1.	0.	0.18849555921538758	0.000018421586495261013
-1.	0.	0.21991148575128555	0.00007279629882810138
-1.	0.	0.25132741228718347	0.00005370903561056609
-1.	0.	0.2827433388230814	0.00003191438428129379
-1.	0.	0.3141592653589793	6.28444708959923e-6
-1.	0.	0.34557519189487723	NaN
-1.	0.	0.37699111843077515	NaN
-1.	0.	0.4084070449666731	NaN
-1.	0.	0.4398229715025711	NaN
-1.	0.	0.47123889803846897	NaN
-1.	0.	0.5026548245743669	-4.344331147224012e-7
-1.	0.	0.5340707511102649	9.147556859281001e-6
-1.	0.	0.5654866776461628	NaN
-1.	0.	0.5969026041820606	NaN
-1.	0.	0.6283185307179586	NaN
-1.	0.	0.6597344572538565	0.000023202772174405274
-1.	0.	0.6911503837897545	5.465478120410928e-7
-1.	0.	0.7225663103256524	NaN
-1.	0.	0.7539822368615503	-7.410920396573522e-7
-1.	0.	0.7853981633974483	NaN
-1.	0.	0.8168140899333463	0.00003568048880545263
-1.	0.	0.8482300164692442	0.000041038933868934185
-1.	0.	0.8796459430051422	NaN
-1.	0.	0.91106186954104	-1.2499396675206562e-7
-1.	0.	0.9424777960769379	0.00003484478427893503
-1.	0.	0.9738937226128359	5.1812834447173026e-6
-1.	0.	1.0053096491487339	NaN
-1.	0.	1.0367255756846319	NaN
-1.	0.	1.0681415022205298	0.00005426578221277106
-1.	0.	1.0995574287564276	NaN
-1.	0.	1.1309733552923256	0.00004011810142576906
-1.	0.	1.1623892818282235	0.00003728923490501949
