# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computationresults\2018-02-24T02-44-25.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-02-24T02:44:25
# E0	-3.0396598110480402e-6
# l0	3.4641016151377544
# Ep	4.480566836510487e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	0.	1.1938052083641213	NaN
-1.	0.	1.2252211349000193	-9.557011688218188e-6
-1.	0.	1.2566370614359172	NaN
-1.	0.	1.288052987971815	0.0002798398199468178
-1.	0.	1.319468914507713	0.000018951030782300346
-1.	0.	1.350884841043611	0.00003786764850850375
-1.	0.	1.382300767579509	NaN
-1.	0.	1.413716694115407	0.00022462235783910086
-1.	0.	1.4451326206513049	NaN
-1.	0.	1.4765485471872026	-0.00001722680316153076
-1.	0.	1.5079644737231006	0.00010826221892107956
-1.	0.	1.5393804002589986	NaN
-1.	0.	1.5707963267948966	NaN
-1.	0.	1.6022122533307945	-9.38627512236911e-6
-1.	0.	1.6336281798666925	NaN
-1.	0.	1.6650441064025905	0.00016328018387939456
-1.	0.	1.6964600329384885	0.00013239151634259288
-1.	0.	1.7278759594743864	NaN
-1.	0.	1.7592918860102844	0.0000467688537383217
-1.	0.	1.790707812546182	0.00003583578873308236
-1.	0.	1.82212373908208	NaN
-1.	0.	1.853539665617978	0.00003335896993000122
-1.	0.	1.8849555921538759	NaN
-1.	0.	1.9163715186897738	0.00009987520390051231
-1.	0.	1.9477874452256718	NaN
-1.	0.	1.9792033717615696	-0.00001955070072822862
-1.	0.	2.0106192982974678	-9.653236354067858e-7
-1.	0.	2.0420352248333655	0.0002032654661261153
-1.	0.	2.0734511513692637	0.00015828062161865893
-1.	0.	2.1048670779051615	0.00025495879760946454
-1.	0.	2.1362830044410597	NaN
-1.	0.	2.167698930976957	0.0002459334459083602
-1.	0.	2.199114857512855	NaN
-1.	0.	2.230530784048753	-0.000020548018407183225
-1.	0.	2.261946710584651	NaN
-1.	0.	2.293362637120549	0.00024077844331635002
-1.	0.	2.324778563656447	NaN
-1.	0.	2.356194490192345	NaN
-1.	0.	2.3876104167282426	0.00021858645393064519
-1.	0.	2.419026343264141	0.0000488254381025048
-1.	0.	2.4504422698000385	-2.6659745718981986e-6
-1.	0.	2.4818581963359367	2.219949528533372e-6
-1.	0.	2.5132741228718345	0.0000583792210495973
-1.	0.	2.5446900494077327	9.57834725828122e-6
-1.	0.	2.57610597594363	0.00011021145866408823
-1.	0.	2.607521902479528	0.00008948574842588705
-1.	0.	2.638937829015426	NaN
-1.	0.	2.670353755551324	0.00013224402847215587
-1.	0.	2.701769682087222	0.00007101833793875225
-1.	0.	2.73318560862312	0.00019700106122137143
-1.	0.	2.764601535159018	-5.784984779247714e-6
-1.	0.	2.796017461694916	0.00019111524370187335
-1.	0.	2.827433388230814	NaN
-1.	0.	2.858849314766712	0.00020482946113778924
-1.	0.	2.8902652413026098	0.0000743125490608006
-1.	0.	2.921681167838508	0.00022997594124640842
-1.	0.	2.9530970943744053	-0.00003447265835771942
-1.	0.	2.9845130209103035	0.00021036220310612062
-1.	0.	3.015928947446201	0.00006883091512685048
-1.	0.	3.0473448739820994	0.00024558533663396765
-1.	0.	3.078760800517997	0.00022685514584788367
-1.	0.	3.1101767270538954	NaN
-1.	0.	3.141592653589793	0.00022441829766279097
-1.	0.	3.173008580125691	0.00014523309186359912
-1.	0.	3.204424506661589	0.00008410618107582354
-1.	0.	3.235840433197487	0.0002280285607733777
-1.	0.	3.267256359733385	0.0002729184430641204
-1.	0.	3.2986722862692828	-3.577782782218592e-6
-1.	0.	3.330088212805181	0.0000869498395143488
-1.	0.	3.3615041393410787	0.00025311751695310486
-1.	0.	3.392920065876977	0.00032137305602200926
-1.	0.	3.4243359924128747	0.00022691277176881944
-1.	0.	3.455751918948773	-3.110547354555907e-6
-1.	0.	3.4871678454846706	-1.1510036177278372e-6
-1.	0.	3.518583772020569	-5.626188302190828e-7
-1.	0.	3.5499996985564657	0.0002288697460143294
-1.	0.	3.581415625092364	0.00023977364533084744
-1.	0.	3.6128315516282616	0.0002963659181982941
-1.	0.	3.64424747816416	0.0003173723064105227
-1.	0.	3.6756634047000576	0.0003207651664081925
-1.	0.	3.707079331235956	0.00031279397695060354
-1.	0.	3.7384952577718535	0.00027718648531126075
-1.	0.	3.7699111843077517	0.00022723824572243827
-1.	0.	3.8013271108436495	-1.6468169761235288e-6
-1.	0.	3.8327430373795477	0.00009916996484391264
-1.	0.	3.8641589639154454	0.00014648158407753036
-1.	0.	3.8955748904513436	0.00003680301641658685
-1.	0.	3.9269908169872414	0.00026901650374211786
-1.	0.	3.958406743523139	0.00033210578204532386
-1.	0.	3.9898226700590373	NaN
-1.	0.	4.0212385965949355	NaN
-1.	0.	4.052654523130833	0.0001822755013738548
-1.	0.	4.084070449666731	0.00032895050646288395
-1.	0.	4.115486376202629	0.000256927674214396
-1.	0.	4.1469023027385274	0.00020331670953099281
-1.	0.	4.178318229274425	0.0003028873951706553
-1.	0.	4.209734155810323	NaN
-1.	0.	4.241150082346221	NaN
-1.	0.	4.272566008882119	0.0003104442125027643
-1.	0.	4.303981935418017	0.0001441344978886108
-1.	0.	4.335397861953914	0.00007973603685768065
-1.	0.	4.366813788489812	0.00022531891899002607
-1.	0.	4.39822971502571	0.000111750648981025
-1.	0.	4.429645641561608	0.0002305147289479993
-1.	0.	4.461061568097506	NaN
-1.	0.	4.492477494633404	0.0002468051035531856
-1.	0.	4.523893421169302	0.0000203014012558949
-1.	0.	4.5553093477052	0.00023563865837447222
-1.	0.	4.586725274241098	NaN
-1.	0.	4.6181412007769955	0.0002173429280826475
-1.	0.	4.649557127312894	-1.0460993962108487e-6
-1.	0.	4.680973053848792	0.00019741814621612155
-1.	0.	4.71238898038469	0.00005680364408724683
-1.	0.	4.743804906920587	0.00021957641459757242
-1.	0.	4.775220833456485	NaN
-1.	0.	4.806636759992384	0.00007600414896421634
-1.	0.	4.838052686528282	-0.000041731791884196594
-1.	0.	4.869468613064179	0.0000871155656079492
-1.	0.	4.900884539600077	0.0002098826066141409
-1.	0.	4.932300466135976	NaN
-1.	0.	4.9637163926718735	0.0001860492727472264
-1.	0.	4.995132319207771	2.0982662894121056e-6
-1.	0.	5.026548245743669	0.00002646551838663758
-1.	0.	5.057964172279568	2.7301910441515044e-6
-1.	0.	5.089380098815465	-2.8041825795447e-7
-1.	0.	5.120796025351362	NaN
-1.	0.	5.15221195188726	0.00005228447919596924
-1.	0.	5.183627878423159	0.000014396028897898047
-1.	0.	5.215043804959056	-6.207001782303166e-7
-1.	0.	5.246459731494954	NaN
-1.	0.	5.277875658030852	NaN
-1.	0.	5.3092915845667505	NaN
-1.	0.	5.340707511102648	0.00023958242755777058
-1.	0.	5.372123437638546	-0.00002444752924004017
-1.	0.	5.403539364174444	0.00023922904049151816
-1.	0.	5.4349552907103424	-0.000013945444505023785
-1.	0.	5.46637121724624	0.00024337191492511214
-1.	0.	5.497787143782138	NaN
-1.	0.	5.529203070318036	0.00003434898617041531
-1.	0.	5.5606189968539335	0.00018042708432996205
-1.	0.	5.592034923389832	NaN
-1.	0.	5.62345084992573	NaN
-1.	0.	5.654866776461628	0.0000747126561163018
-1.	0.	5.686282702997525	NaN
-1.	0.	5.717698629533424	NaN
-1.	0.	5.749114556069322	0.00008778652634272551
-1.	0.	5.7805304826052195	0.00001538151075316532
-1.	0.	5.811946409141117	0.0002641205633276132
-1.	0.	5.843362335677016	NaN
-1.	0.	5.874778262212914	NaN
-1.	0.	5.9061941887488105	0.000032328749090792874
-1.	0.	5.937610115284708	NaN
-1.	0.	5.969026041820607	0.00005705139639575971
-1.	0.	6.000441968356505	0.00011784146062460518
-1.	0.	6.031857894892402	0.00025670986670958484
-1.	0.	6.0632738214283	NaN
-1.	0.	6.094689747964199	NaN
-1.	0.	6.126105674500097	-5.4305328238940815e-6
-1.	0.	6.157521601035994	0.00011529292472074599
-1.	0.	6.188937527571892	NaN
-1.	0.	6.220353454107791	0.000313093167954872
-1.	0.	6.2517693806436885	NaN
-1.	3.141592653589793	0.	0.0008302853994616032
-1.	3.141592653589793	0.031415926535897934	0.0008311891099527238
-1.	3.141592653589793	0.06283185307179587	0.0008320375465672213
-1.	3.141592653589793	0.09424777960769379	0.0008328304453433202
-1.	3.141592653589793	0.12566370614359174	0.0008335675444523882
-1.	3.141592653589793	0.15707963267948966	0.0008342486229169629
-1.	3.141592653589793	0.18849555921538758	0.0008348734702106802
-1.	3.141592653589793	0.21991148575128555	0.0008354419067477889
-1.	3.141592653589793	0.25132741228718347	0.0008359537712547011
-1.	3.141592653589793	0.2827433388230814	0.0008364089266546923
-1.	3.141592653589793	0.3141592653589793	0.000836807253645656
-1.	3.141592653589793	0.34557519189487723	0.0008371486594473315
-1.	3.141592653589793	0.37699111843077515	0.0008374330685796489
-1.	3.141592653589793	0.4084070449666731	0.0008376604386571156
-1.	3.141592653589793	0.4398229715025711	0.0008378307268294159
