,Dir,field,dW,W0,a,phi,y0
0,-1,0.0,43,0,0.16215774870987285,0.5410520681182421,0.2458333333333334
1,-1,1.0,43,0,0.16298786934120024,0.5410520681182421,0.2541666666666669
2,-1,2.0,43,0,0.16218032013534128,0.5410520681182421,0.25416666666666693
3,-1,3.0,43,0,0.1625732271254273,0.5410520681182421,0.2625000000000003
4,-1,4.0,43,0,0.16262665436328913,0.5410520681182421,0.2708333333333334
5,-1,5.0,43,0,0.16224300798158703,0.5410520681182421,0.2736111111111115
6,-1,6.0,43,0,0.16132758475889564,0.5410520681182421,0.2791666666666671
7,-1,7.0,43,0,0.16079608676468787,0.5410520681182421,0.28194444444444494
8,-1,8.0,43,0,0.15953855681697854,0.5410520681182421,0.27916666666666734
9,-1,9.0,43,0,0.15784312392507432,0.5410520681182421,0.2652777777777783
10,-1,10.0,43,0,0.15866633536535546,0.5410520681182421,0.23750000000000007
11,-1,11.0,43,0,0.15886010334797804,0.5410520681182421,0.24027777777777798
12,-1,12.0,43,0,0.15910242405060424,0.5410520681182421,0.2458333333333335
13,-1,13.0,43,0,0.1591509029573745,0.5410520681182421,0.24861111111111103
14,-1,14.0,43,0,0.1591509029573745,0.5410520681182421,0.2513888888888894
15,-1,15.0,43,0,0.15900548100420842,0.5410520681182421,0.2569444444444447
16,-1,16.0,43,0,0.15886010334797804,0.5410520681182421,0.2597222222222225
17,-1,17.0,43,0,0.1584242360799453,0.5410520681182421,0.26527777777777783
18,-1,18.0,43,0,0.15779535328363195,0.5410520681182421,0.2708333333333335
19,-1,19.0,43,0,0.15740876133652065,0.5410520681182421,0.2736111111111112
20,-1,20.0,43,0,0.15649186510677854,0.5410520681182421,0.27916666666666684
21,-1,21.0,43,0,0.1553843076451277,0.5410520681182421,0.2847222222222226
22,-1,22.0,43,0,0.15475944360528363,0.5410520681182421,0.28750000000000026
23,-1,23.0,43,0,0.15336849654777757,0.5410520681182421,0.29305555555555557
24,-1,24.0,43,0,0.15179069360183384,0.5410520681182421,0.29861111111111105
25,-1,25.0,43,0,0.1500279570773002,0.5410520681182421,0.30416666666666703
26,-1,26.0,43,0,0.14808243459710307,0.5410520681182421,0.30972222222222257
27,-1,27.0,43,0,0.14595649648069975,0.5410520681182421,0.3152777777777779
28,-1,28.0,43,0,0.1436527328562095,0.5410520681182421,0.3208333333333339
29,-1,29.0,43,0,0.1411739505047411,0.5410520681182421,0.3263888888888892
30,-1,30.0,43,0,0.13713428055187377,0.5410520681182421,0.3347222222222223
31,-1,31.0,43,0,0.13423162127647584,0.5410520681182421,0.3402777777777782
32,-1,32.0,43,0,0.12957215356859575,0.5410520681182421,0.3486111111111113
33,-1,33.0,43,0,0.12626770835902767,0.5410520681182421,0.35416666666666696
34,-1,34.0,43,0,0.12102390425885534,0.5410520681182421,0.3625000000000003
35,-1,35.0,43,0,0.1154483820493779,0.5410520681182421,0.3708333333333338
36,-1,36.0,43,0,0.1095564238494218,0.5410520681182421,0.3791666666666673
37,-1,37.0,43,0,0.101236277875982,0.5410520681182421,0.3902777777777781
38,-1,38.0,43,0,0.09242291893296553,0.5410520681182421,0.4013888888888896
39,-1,39.0,43,0,0.08315928481922694,0.5410520681182421,0.4125000000000003
40,-1,40.0,43,0,0.0710154889062457,0.5410520681182421,0.4263888888888897
41,-1,41.0,43,0,0.0531276859999103,0.5410520681182421,0.44583333333333325
42,-1,42.0,43,0,0.02900405281844473,0.5410520681182421,0.4708333333333338
43,-1,43.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
44,-1,44.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
45,-1,45.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
46,-1,46.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
47,-1,47.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
48,-1,48.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
49,-1,49.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
50,-1,50.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
51,-1,51.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
52,-1,52.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
53,-1,53.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
54,-1,54.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
55,-1,55.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
56,-1,56.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
57,-1,57.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
58,-1,58.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
59,-1,59.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
60,-1,60.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
61,-1,61.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
62,-1,62.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
63,-1,63.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
64,-1,64.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
65,-1,65.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
66,-1,66.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
67,-1,67.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
68,-1,68.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
69,-1,69.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
70,-1,70.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
71,-1,71.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
72,-1,72.0,43,0,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
