,Dir,field,dW,W0,a,phi,y0
0,-1,0.0,43,3,0.09695974191323625,0.5410520681182421,0.12144819690436008
1,-1,1.0,43,3,0.09854608814464377,0.5410520681182421,0.12421152072589299
2,-1,2.0,43,3,0.10014976957534283,0.5410520681182421,0.12703464243623305
3,-1,3.0,43,3,0.10218946537769813,0.5410520681182421,0.13129522847822242
4,-1,4.0,43,3,0.10381080745448958,0.5410520681182421,0.13424998672612182
5,-1,5.0,43,3,0.1054676154308982,0.5410520681182421,0.1372903557807503
6,-1,6.0,43,3,0.10716318644429237,0.5410520681182421,0.14042125270803435
7,-1,7.0,43,3,0.10921554673116055,0.5410520681182421,0.14504165582162012
8,-1,8.0,43,3,0.11098219335924685,0.5410520681182421,0.14838064877067167
9,-1,9.0,43,3,0.11280762578107306,0.5410520681182421,0.15183732420767077
10,-1,10.0,43,3,0.11492128343353214,0.5410520681182421,0.15681846861355372
11,-1,11.0,43,3,0.1168801220843536,0.5410520681182421,0.16056424800723473
12,-1,12.0,43,3,0.1190924947502528,0.5410520681182421,0.16587655251768132
13,-1,13.0,43,3,0.12127824125687306,0.5410520681182421,0.1700219908940103
14,-1,14.0,43,3,0.12366282120758765,0.5410520681182421,0.17444538704705398
15,-1,15.0,43,3,0.12641250751201122,0.5410520681182421,0.1806655025811841
16,-1,16.0,43,3,0.12986513109530484,0.5410520681182421,0.18637003956959525
17,-1,17.0,43,3,0.1336095036969915,0.5410520681182421,0.19389849493697509
18,-1,18.0,43,3,0.13617436588341827,0.5410520681182421,0.2004277966426908
19,-1,19.0,43,3,0.13840566764152573,0.5410520681182421,0.20530067026319027
20,-1,20.0,43,3,0.14020897998308812,0.5410520681182421,0.21138833284962277
21,-1,21.0,43,3,0.14188390716822422,0.5410520681182421,0.215944275013038
22,-1,22.0,43,3,0.14317537162870858,0.5410520681182421,0.22184323144214022
23,-1,23.0,43,3,0.14422982362223308,0.5410520681182421,0.22769524715832531
24,-1,24.0,43,3,0.14505546790242252,0.5410520681182421,0.233511317448202
25,-1,25.0,43,3,0.14566944224470763,0.5410520681182421,0.23931543430665936
26,-1,26.0,43,3,0.14608276335290363,0.5410520681182421,0.24512667404882296
27,-1,27.0,43,3,0.1462594419167973,0.5410520681182421,0.25089697672354566
28,-1,28.0,43,3,0.14625239349196095,0.5410520681182421,0.25670702689185926
29,-1,29.0,43,3,0.1460357409362181,0.5410520681182421,0.26252365880576806
30,-1,30.0,43,3,0.1456152593343477,0.5410520681182421,0.26836229761627195
31,-1,31.0,43,3,0.1449900628562975,0.5410520681182421,0.2742268878914829
32,-1,32.0,43,3,0.1434680040521466,0.5410520681182421,0.2815284352269302
33,-1,33.0,43,3,0.1423801727731036,0.5410520681182421,0.28746086359462014
34,-1,34.0,43,3,0.14029911916072696,0.5410520681182421,0.2948685442835243
35,-1,35.0,43,3,0.1378834970933826,0.5410520681182421,0.3022868246609809
36,-1,36.0,43,3,0.13517413363426686,0.5410520681182421,0.30983094726559
37,-1,37.0,43,3,0.1321210691255121,0.5410520681182421,0.31737866411117654
38,-1,38.0,43,3,0.1287675863727567,0.5410520681182421,0.32509123297767234
39,-1,39.0,43,3,0.12398046820457312,0.5410520681182421,0.3342092384903517
40,-1,40.0,43,3,0.11876731145890473,0.5410520681182421,0.34352881521584505
41,-1,41.0,43,3,0.11188647036508101,0.5410520681182421,0.35428996218370723
42,-1,42.0,43,3,0.10318167599290545,0.5410520681182421,0.36669406638580393
43,-1,43.0,43,3,0.09246177776387596,0.5410520681182421,0.3806504582590463
44,-1,44.0,43,3,0.06774557611611995,0.5410520681182421,0.4082764980660495
45,-1,45.0,43,3,0.06513348465109664,0.5410520681182421,0.4133772820202731
46,-1,46.0,43,3,0.062409192071946645,0.5410520681182421,0.41839924364273834
47,-1,47.0,43,3,0.05956400463910719,0.5410520681182421,0.42345754116095935
48,-1,48.0,43,3,0.05659701823610899,0.5410520681182421,0.4285152543236073
49,-1,49.0,43,3,0.053507475080423805,0.5410520681182421,0.43356466647471503
50,-1,50.0,43,3,0.050294607133541946,0.5410520681182421,0.43860344158413256
51,-1,51.0,43,3,0.04695453164318622,0.5410520681182421,0.4436370657808953
52,-1,52.0,43,3,0.0434770551302229,0.5410520681182421,0.4486874054477454
53,-1,53.0,43,3,0.03987667858861302,0.5410520681182421,0.45371251224496595
54,-1,54.0,43,3,0.03613825324047279,0.5410520681182421,0.4587427685035325
55,-1,55.0,43,3,0.03227703391773709,0.5410520681182421,0.4637453099845502
56,-1,56.0,43,3,0.028269910039111418,0.5410520681182421,0.46876111644904284
57,-1,57.0,43,3,0.024104301682265794,0.5410520681182421,0.4738000952365723
58,-1,58.0,43,3,0.019827682373852407,0.5410520681182421,0.4787899307827941
59,-1,59.0,43,3,0.015390777846512022,0.5410520681182421,0.4837990154373374
60,-1,60.0,43,3,0.010824859905545547,0.5410520681182421,0.4887840872970917
61,-1,61.0,43,3,0.00609312777255816,0.5410520681182421,0.4937864315723831
62,-1,62.0,43,3,0.0012214648637816905,0.5410520681182421,0.4987738130956887
63,-1,63.0,43,3,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
64,-1,64.0,43,3,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
65,-1,65.0,43,3,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
66,-1,66.0,43,3,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
67,-1,67.0,43,3,1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
