# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-29-12.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:29:12
# Dir	-1
# field	1.2640488037030454e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	1.2640488037030454e-11	-32460.24617506552	6.463615415780895e6	0.
-0.000025229178221253285	1.2640488037030454e-11	-38879.29427225854	8.45465486262728e6	-5.173461881192223e-7
-0.000030244617265237375	1.2640488037030454e-11	-32619.043797608236	6.510788903836333e6	0.
-0.000025077195219920433	1.2640488037030454e-11	-39106.01411203136	8.528013104283126e6	-3.5242538216328976e-7
-0.000030092634263904523	1.2640488037030454e-11	-32779.38183279287	6.55853277450562e6	0.
-0.000024925212218587585	1.2640488037030454e-11	-39335.34261838038	8.602417703213822e6	-1.6818161782800555e-7
-0.00002994065126257167	1.2640488037030454e-11	-32941.28249514718	6.606850978723749e6	-1.4804361645222748e-7
-0.000024773229217254733	1.2640488037030454e-11	-39567.32417973677	8.677892609648008e6	0.
-0.00002978866826123882	1.2640488037030454e-11	-33104.76842230168	6.655760393047704e6	0.
-0.00002462124621592188	1.2640488037030454e-11	-39802.00417627659	8.754455407504896e6	0.
-0.000029636685259905967	1.2640488037030454e-11	-33269.86268496012	6.705267370726917e6	0.
-0.00002446926321458903	1.2640488037030454e-11	-40039.429007150065	8.832117950811869e6	-2.8137363546289936e-7
-0.00002948470225857312	1.2640488037030454e-11	-33436.588797146585	6.755386171933568e6	0.
-0.00002431728021325618	1.2640488037030454e-11	-40279.64611859149	8.910918990189565e6	-6.591342840247902e-7
-0.000029332719257240267	1.2640488037030454e-11	-33604.97072674234	6.806115445948398e6	0.
-0.00002416529721192333	1.2640488037030454e-11	-40522.704032941336	8.990874619398672e6	-2.312213952981647e-7
-0.000029180736255907415	1.2640488037030454e-11	-33775.03290631896	6.85747642294298e6	-3.7643577920784276e-7
-0.000024013314210590477	1.2640488037030454e-11	-40768.65237861382	9.072011634465747e6	0.
-0.000029028753254574563	1.2640488037030454e-11	-33946.80024427749	6.909478602441211e6	-1.6720484042916795e-7
-0.000023861331209257626	1.2640488037030454e-11	-41017.54192104636	9.15434496243159e6	0.
-0.00002887677025324171	1.2640488037030454e-11	-34120.298136304926	6.962131676990606e6	-5.480868025115212e-7
-0.000023709348207924774	1.2640488037030454e-11	-41269.42459466617	9.237906748773534e6	0.
-0.000028724787251908863	1.2640488037030454e-11	-34295.55247715756	7.015448630079699e6	0.
-0.000023557365206591925	1.2640488037030454e-11	-41524.353535912676	9.322722933247423e6	0.
-0.00002857280425057601	1.2640488037030454e-11	-34472.589672781505	7.069437314571914e6	0.
-0.000023405382205259074	1.2640488037030454e-11	-41782.38311735555	9.408810135287877e6	0.
-0.00002842082124924316	1.2640488037030454e-11	-34651.43665278254	7.124110688132351e6	-3.717517738182944e-7
-0.000023253399203926222	1.2640488037030454e-11	-42043.56898294978	9.49620663640202e6	0.
-0.000028268838247910308	1.2640488037030454e-11	-34832.120883255855	7.179482946215748e6	-1.6520440638652042e-7
-0.00002310141620259337	1.2640488037030454e-11	-42307.9680844695	9.584928835696677e6	0.
-0.000028116855246577456	1.2640488037030454e-11	-35014.67037998854	7.2355651176462425e6	-2.8340108796501435e-7
-0.000022949433201260518	1.2640488037030454e-11	-42575.63871916804	9.675013934855135e6	0.
-0.000027964872245244608	1.2640488037030454e-11	-35199.113722046706	7.292370775624387e6	0.
-0.00002279745019992767	1.2640488037030454e-11	-42846.640568707364	9.766484858877173e6	0.
-0.000027812889243911756	1.2640488037030454e-11	-35385.48006576036	7.349910030002288e6	-2.0903406368374988e-7
-0.000022645467198594818	1.2640488037030454e-11	-43121.034739409464	9.859371269351173e6	-5.329931470717702e-7
-0.000027660906242578904	1.2640488037030454e-11	-35573.799159118	7.408200102828335e6	0.
-0.000022493484197261966	1.2640488037030454e-11	-43398.88380387707	9.953705344618164e6	-2.0827116321054926e-7
-0.000027508923241246052	1.2640488037030454e-11	-35764.10135658871	7.467249701462839e6	-6.848131227967422e-7
-0.000022341501195929114	1.2640488037030454e-11	-43680.251844038656	1.0049520227053164e7	0.
-0.0000273569402399132	1.2640488037030454e-11	-35956.41763438049	7.52707748586958e6	0.
-0.000022189518194596263	1.2640488037030454e-11	-43965.20449567265	1.0146841570513751e7	-5.280329827016252e-7
-0.000027204957238580352	1.2640488037030454e-11	-36150.779606155476	7.5876932819142165e6	-2.2709038948122505e-7
-0.000022037535193263414	1.2640488037030454e-11	-44253.80899446658	1.02457125842972e7	0.
-0.0000270529742372475	1.2640488037030454e-11	-36347.21953921231	7.649115708307264e6	0.
-0.000021885552191930562	1.2640488037030454e-11	-44546.134223673915	1.0346148084681531e7	0.
-0.000026900991235914648	1.2640488037030454e-11	-36545.7703711572	7.711354920226179e6	-1.9036309145087414e-7
-0.00002173356919059771	1.2640488037030454e-11	-44842.25076342912	1.0448198647042274e7	-5.230340636618326e-7
-0.000026749008234581796	1.2640488037030454e-11	-36746.46572707442	7.7744332725066235e6	0.
-0.00002158158618926486	1.2640488037030454e-11	-45142.2309417858	1.0551898092706699e7	0.
-0.000026597025233248945	1.2640488037030454e-11	-36949.33993721962	7.838355397657031e6	0.
-0.000021429603187932007	1.2640488037030454e-11	-45446.14888754836	1.0657275811459944e7	0.
-0.000026445042231916096	1.2640488037030454e-11	-37154.42805524927	7.903144254558842e6	-2.4117580823894247e-7
-0.00002127762018659916	1.2640488037030454e-11	-45754.08058496544	1.076437469374973e7	0.
-0.000026293059230583244	1.2640488037030454e-11	-37361.76587700687	7.968817170019233e6	0.
-0.000021125637185266307	1.2640488037030454e-11	-46066.10393036045	1.0873235674534485e7	0.
-0.000026141076229250393	1.2640488037030454e-11	-37571.3899598871	8.035387971736777e6	0.
-0.000020973654183933455	1.2640488037030454e-11	-46382.298790775996	1.0983887417819658e7	0.
-0.00002598909322791754	1.2640488037030454e-11	-37783.33764279383	8.102874034761745e6	0.
-0.000020821671182600603	1.2640488037030454e-11	-46702.74706471406	1.109638263147762e7	0.
-0.00002583711022658469	1.2640488037030454e-11	-37997.647066717625	8.171291635189725e6	0.
-0.00002066968818126775	1.2640488037030454e-11	-47027.53274505327	1.121075257680071e7	0.
-0.00002568512722525184	1.2640488037030454e-11	-38214.35719595207	8.240661627853151e6	0.
-0.000020517705179934903	1.2640488037030454e-11	-47356.741984234635	1.1327049313262692e7	0.
-0.00002553314422391899	1.2640488037030454e-11	-38433.507839971135	8.310998697625942e6	0.
-0.00002036572217860205	1.2640488037030454e-11	-47690.46316180321	1.144531286308683e7	0.
-0.000025381161222586137	1.2640488037030454e-11	-38655.139675993974	8.38232400119903e6	0.
-0.0000202137391772692	1.2640488037030454e-11	-48028.78695440555	1.1565589079291912e7	0.
-0.000020061756175936347	1.2640488037030454e-11	-48371.8064083396	1.1687925387069507e7	0.
-0.00001489433413061941	1.2640488037030454e-11	-63696.34855077605	1.75228951502919e7	0.
-0.000019909773174603496	1.2640488037030454e-11	-48719.61701476241	1.1812369244550366e7	0.
-0.00001474235112928656	1.2640488037030454e-11	-64288.07723770836	1.7761538179821804e7	0.
-0.000019757790173270647	1.2640488037030454e-11	-49072.31678766481	1.1938970852033826e7	0.
-0.000014590368127953708	1.2640488037030454e-11	-64890.34232636897	1.800536453191956e7	0.
-0.000019605807171937795	1.2640488037030454e-11	-49430.00634472575	1.2067780198592314e7	0.
-0.000014438385126620856	1.2640488037030454e-11	-65503.41240660388	1.8254523192959964e7	0.
-0.000019453824170604944	1.2640488037030454e-11	-49792.788991166024	1.2198853506415918e7	0.
-0.000014286402125288006	1.2640488037030454e-11	-66127.56471105843	1.8509171874996495e7	0.
-0.000019301841169272092	1.2640488037030454e-11	-50160.77080672324	1.2332238880126253e7	0.
-0.000014134419123955154	1.2640488037030454e-11	-66763.0854394487	1.8769470018801074e7	0.
-0.00001914985816793924	1.2640488037030454e-11	-50534.060735880536	1.2467995617631815e7	0.
-0.000013982436122622304	1.2640488037030454e-11	-67410.2700960608	1.9035583558745526e7	0.
-0.00001899787516660639	1.2640488037030454e-11	-50912.77068148063	1.2606179698728308e7	0.
-0.000013830453121289452	1.2640488037030454e-11	-68069.42384101017	1.93076893242264e7	0.
-0.00001884589216527354	1.2640488037030454e-11	-51297.01560186896	1.274685286065359e7	0.
-0.0000136784701199566	1.2640488037030454e-11	-68740.86185580853	1.9585955737777334e7	0.
-0.000018693909163940688	1.2640488037030454e-11	-51686.913611710814	1.2890074083248602e7	0.
-0.00001352648711862375	1.2640488037030454e-11	-69424.90972380659	1.987057736043397e7	0.
-0.000018541926162607836	1.2640488037030454e-11	-52082.58608663894	1.3035907044240303e7	0.
-0.000013374504117290898	1.2640488037030454e-11	-70121.90382608795	2.0161738968444504e7	0.
-0.000018389943161274984	1.2640488037030454e-11	-52484.15777188958	1.3184415393519517e7	0.
-0.000013222521115958048	1.2640488037030454e-11	-70832.19175341364	2.0459643937156677e7	0.
-0.000018237960159942136	1.2640488037030454e-11	-52891.75689509678	1.3335667796511117e7	0.
-0.000013070538114625196	1.2640488037030454e-11	-71556.13273482201	2.0764495027211796e7	0.
-0.000018085977158609284	1.2640488037030454e-11	-53305.51528341836	1.3489731190767873e7	0.
-0.000012918555113292345	1.2640488037030454e-11	-72294.09808350836	2.107650634394061e7	0.
-0.000017933994157276432	1.2640488037030454e-11	-53725.56848517795	1.364667417172921e7	0.
-0.000012766572111959494	1.2640488037030454e-11	-73046.47166061481	2.139589647484032e7	0.
-0.00001778201115594358	1.2640488037030454e-11	-54152.05589621362	1.3806577459131394e7	0.
-0.000012614589110626643	1.2640488037030454e-11	-73813.65035757421	2.172289612521028e7	0.
-0.00001763002815461073	1.2640488037030454e-11	-54585.12089113046	1.3969507208437277e7	0.
-0.000012462606109293792	1.2640488037030454e-11	-74596.04459765638	2.2057742134306088e7	0.
-0.00001747804515327788	1.2640488037030454e-11	-55024.910959669905	1.4135547541538263e7	0.
-0.00001231062310796094	1.2640488037030454e-11	-75394.07885737327	2.2400681013559714e7	0.
-0.00001732606215194503	1.2640488037030454e-11	-55471.577848407804	1.4304777171751492e7	0.
-0.00001215864010662809	1.2640488037030454e-11	-76208.19220839906	2.275196300178125e7	0.
-0.000017174079150612177	1.2640488037030454e-11	-55925.277708011796	1.4477281240724074e7	0.
-0.000012006657105295239	1.2640488037030454e-11	-77038.83888066301	2.311185757705003e7	0.
-0.000017022096149279325	1.2640488037030454e-11	-56386.17124629243	1.4653140754330616e7	0.
-0.000011854674103962387	1.2640488037030454e-11	-77886.48884726432	2.348063811108093e7	0.
-0.000016870113147946473	1.2640488037030454e-11	-56854.42388729726	1.483244423166998e7	0.
-0.000011702691102629537	1.2640488037030454e-11	-78751.62843185272	2.3858586897177808e7	0.
-0.000016718130146613624	1.2640488037030454e-11	-57330.20593670344	1.501528733126474e7	0.
