# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-41-32.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:41:32
# Dir	-1
# field	5.5812616409657544e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	5.5812616409657544e-11	-31120.172001780513	5.978137070352131e6	0.
-0.000025229178221253285	5.5812616409657544e-11	-36663.02330882819	7.587737393624342e6	0.
-0.000030244617265237375	5.5812616409657544e-11	-31260.41108647395	6.017540023215735e6	0.
-0.000025077195219920433	5.5812616409657544e-11	-36853.97894237366	7.644986318681911e6	0.
-0.000030092634263904523	5.5812616409657544e-11	-31401.85360034543	6.0573544147180505e6	0.
-0.000024925212218587585	5.5812616409657544e-11	-37046.7918659348	7.7029060165101355e6	0.
-0.00002994065126257167	5.5812616409657544e-11	-31544.5142377901	6.097586637398618e6	0.
-0.000024773229217254733	5.5812616409657544e-11	-37241.48720565682	7.761506620927123e6	0.
-0.00002978866826123882	5.5812616409657544e-11	-31688.407918381068	6.138241865300771e6	0.
-0.00002462124621592188	5.5812616409657544e-11	-37438.09050138189	7.820797904290386e6	0.
-0.000029636685259905967	5.5812616409657544e-11	-31833.549790870064	6.179325318026062e6	0.
-0.00002446926321458903	5.5812616409657544e-11	-37636.62771416167	7.880790589246803e6	0.
-0.00002948470225857312	5.5812616409657544e-11	-31979.955237264745	6.220844413580078e6	0.
-0.00002431728021325618	5.5812616409657544e-11	-37837.1252339021	7.941495525868728e6	0.
-0.000029332719257240267	5.5812616409657544e-11	-32127.639876983743	6.26280415682929e6	0.
-0.00002416529721192333	5.5812616409657544e-11	-38039.60988714235	8.002924211769959e6	0.
-0.000029180736255907415	5.5812616409657544e-11	-32276.61957109233	6.30521176941402e6	0.
-0.000024013314210590477	5.5812616409657544e-11	-38244.108944968786	8.065085838386648e6	0.
-0.000029028753254574563	5.5812616409657544e-11	-32426.910426618273	6.348072455143502e6	0.
-0.000023861331209257626	5.5812616409657544e-11	-38450.65013106653	8.127993664195666e6	0.
-0.00002887677025324171	5.5812616409657544e-11	-32578.52880095125	6.391392636213896e6	0.
-0.000023709348207924774	5.5812616409657544e-11	-38659.261629908346	8.191657829412455e6	0.
-0.000028724787251908863	5.5812616409657544e-11	-32731.491306326	6.435179494583759e6	0.
-0.000023557365206591925	5.5812616409657544e-11	-38869.9720950838	8.256090624197503e6	0.
-0.00002857280425057601	5.5812616409657544e-11	-32885.81481439128	6.479439361243679e6	0.
-0.000023405382205259074	5.5812616409657544e-11	-39082.81065776876	8.321303493537491e6	0.
-0.00002842082124924316	5.5812616409657544e-11	-33041.51646086619	6.524178776637429e6	0.
-0.000023253399203926222	5.5812616409657544e-11	-39297.806935336994	8.3873085016132835e6	0.
-0.000028268838247910308	5.5812616409657544e-11	-33198.613650285515	6.569404905775686e6	0.
-0.00002310141620259337	5.5812616409657544e-11	-39514.99104011486	8.454118298926162e6	0.
-0.000028116855246577456	5.5812616409657544e-11	-33357.124060835326	6.615124794040333e6	0.
-0.000022949433201260518	5.5812616409657544e-11	-39734.39358827989	8.521745320834149e6	0.
-0.000027964872245244608	5.5812616409657544e-11	-33517.06564928072	6.661344841243426e6	0.
-0.00002279745019992767	5.5812616409657544e-11	-39956.04570890447	8.590201918989839e6	0.
-0.000027812889243911756	5.5812616409657544e-11	-33678.45665598757	6.708072717055272e6	0.
-0.000022645467198594818	5.5812616409657544e-11	-40179.979053145325	8.659501413473805e6	0.
-0.000027660906242578904	5.5812616409657544e-11	-33841.315610039295	6.755315974912825e6	0.
-0.000022493484197261966	5.5812616409657544e-11	-40406.22580357935	8.729657238666052e6	0.
-0.000027508923241246052	5.5812616409657544e-11	-34005.66133445072	6.803081681621599e6	0.
-0.000022341501195929114	5.5812616409657544e-11	-40634.818683686564	8.800681592444243e6	0.
-0.0000273569402399132	5.5812616409657544e-11	-34171.51295148079	6.851377174320319e6	0.
-0.000022189518194596263	5.5812616409657544e-11	-40865.790967480774	8.872588923776241e6	0.
-0.000027204957238580352	5.5812616409657544e-11	-34338.88988804565	6.900210763558583e6	0.
-0.000022037535193263414	5.5812616409657544e-11	-41099.176489287776	8.945392950478999e6	0.
-0.0000270529742372475	5.5812616409657544e-11	-34507.81188123349	6.949589685289487e6	0.
-0.000021885552191930562	5.5812616409657544e-11	-41335.00965367185	9.019108143408855e6	0.
-0.000026900991235914648	5.5812616409657544e-11	-34678.29898392364	6.999522552218373e6	0.
-0.00002173356919059771	5.5812616409657544e-11	-41573.32544551002	9.09374816428484e6	0.
-0.000026749008234581796	5.5812616409657544e-11	-34850.37157051065	7.050016404466462e6	0.
