# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-32-46.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:32:46
# Dir	-1
# field	2.5086507027337363e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	2.5086507027337363e-11	-32050.626118852775	6.312608341462974e6	0.
-0.000025229178221253285	2.5086507027337363e-11	-38186.67023287588	8.1772592231763955e6	0.
-0.000030244617265237375	2.5086507027337363e-11	-32203.53512661324	6.357261526719924e6	-2.52472477640723e-7
-0.000025077195219920433	2.5086507027337363e-11	-38401.63471889501	8.245166862100652e6	0.
-0.000030092634263904523	2.5086507027337363e-11	-32357.87262179903	6.402433167344246e6	0.
-0.000024925212218587585	2.5086507027337363e-11	-38618.94532876317	8.313985631990851e6	0.
-0.00002994065126257167	2.5086507027337363e-11	-32513.658182942356	6.448123637125924e6	-2.7250896862732484e-7
-0.000024773229217254733	2.5086507027337363e-11	-38838.639222012884	8.383732318606935e6	0.
-0.00002978866826123882	2.5086507027337363e-11	-32670.91173786692	6.494349084833349e6	0.
-0.00002462124621592188	2.5086507027337363e-11	-39060.754314577964	8.454421082812658e6	0.
-0.000029636685259905967	2.5086507027337363e-11	-32829.65357127093	6.5411138788295e6	0.
-0.00002446926321458903	2.5086507027337363e-11	-39285.32929722817	8.526072191538054e6	0.
-0.00002948470225857312	2.5086507027337363e-11	-32989.90433249991	6.588426698820431e6	0.
-0.00002431728021325618	2.5086507027337363e-11	-39512.403654513684	8.598701343644e6	0.
-0.000029332719257240267	2.5086507027337363e-11	-33151.68504351806	6.636296914818982e6	-2.835463457054736e-7
-0.00002416529721192333	2.5086507027337363e-11	-39742.017684237	8.672328210681085e6	0.
-0.000029180736255907415	2.5086507027337363e-11	-33315.01710707984	6.684735324259412e6	0.
-0.000024013314210590477	2.5086507027337363e-11	-39974.21251746565	8.746969633017227e6	0.
-0.000029028753254574563	2.5086507027337363e-11	-33479.922315112555	6.733747582702011e6	-2.822101535741861e-7
-0.000023861331209257626	2.5086507027337363e-11	-40209.03013910454	8.82264718753915e6	0.
-0.00002887677025324171	2.5086507027337363e-11	-33646.42285730996	6.783345845219373e6	-1.6405076544759274e-7
-0.000023709348207924774	2.5086507027337363e-11	-40446.51340904211	8.899375201705407e6	0.
-0.000028724787251908863	2.5086507027337363e-11	-33814.54132994837	6.833539824240617e6	0.
-0.000023557365206591925	2.5086507027337363e-11	-40686.70608389039	8.977177751642797e6	0.
-0.00002857280425057601	2.5086507027337363e-11	-33984.3007449287	6.884336794189821e6	0.
-0.000023405382205259074	2.5086507027337363e-11	-40929.652839334194	9.056074689049244e6	0.
-0.00002842082124924316	2.5086507027337363e-11	-34155.724539050796	6.935748997050318e6	0.
-0.000023253399203926222	2.5086507027337363e-11	-41175.39929310926	9.136084549745284e6	0.
-0.000028268838247910308	2.5086507027337363e-11	-34328.83658352822	6.987785686432122e6	0.
-0.00002310141620259337	2.5086507027337363e-11	-41423.9920286288	9.21723028386198e6	0.
-0.000028116855246577456	2.5086507027337363e-11	-34503.66119374981	7.040454979634877e6	0.
-0.000022949433201260518	2.5086507027337363e-11	-41675.47861927604	9.299532861952044e6	0.
-0.000027964872245244608	2.5086507027337363e-11	-34680.223139294736	7.093770342640619e6	0.
-0.00002279745019992767	2.5086507027337363e-11	-41929.90765338473	9.383015098833254e6	0.
