# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-32-26.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:32:26
# Dir	-1
# field	2.3919692746996092e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	2.3919692746996092e-11	-32088.163609639047	6.32635033079832e6	0.
-0.000025229178221253285	2.3919692746996092e-11	-38249.55384818869	8.202196804522037e6	0.
-0.000030244617265237375	2.3919692746996092e-11	-32241.604106869585	6.371228101497557e6	-1.552276419120296e-7
-0.000025077195219920433	2.3919692746996092e-11	-38465.56304062207	8.270582963549871e6	0.
-0.000030092634263904523	2.3919692746996092e-11	-32396.483000837194	6.41662831804326e6	0.
-0.000024925212218587585	2.3919692746996092e-11	-38683.941063636215	8.339891857012736e6	0.
-0.00002994065126257167	2.3919692746996092e-11	-32552.820098000204	6.462555076778019e6	-3.3952494954757664e-7
-0.000024773229217254733	2.3919692746996092e-11	-38904.72568131357	8.410139134153083e6	0.
-0.00002978866826123882	2.3919692746996092e-11	-32710.635560311108	6.509019292233446e6	-2.1975726660565144e-7
-0.00002462124621592188	2.3919692746996092e-11	-39127.955433029776	8.481342465117656e6	0.
-0.000029636685259905967	2.3919692746996092e-11	-32869.94991299372	6.556029716695662e6	0.
-0.00002446926321458903	2.3919692746996092e-11	-39353.66965255962	8.55351974501668e6	0.
-0.00002948470225857312	2.3919692746996092e-11	-33030.78405251748	6.603592716852858e6	0.
-0.00002431728021325618	2.3919692746996092e-11	-39581.90848772036	8.62668878801555e6	0.
-0.000029332719257240267	2.3919692746996092e-11	-33193.15925477558	6.651719435011903e6	0.
-0.00002416529721192333	2.3919692746996092e-11	-39812.712920569174	8.700868676426794e6	0.
-0.000029180736255907415	2.3919692746996092e-11	-33357.09718347263	6.7004165668209465e6	-3.135580945308958e-7
-0.000024013314210590477	2.3919692746996092e-11	-40046.124788171	8.776076483988753e6	0.
-0.000029028753254574563	2.3919692746996092e-11	-33522.61989872882	6.74969704563536e6	0.
-0.000023861331209257626	2.3919692746996092e-11	-40282.18680395585	8.85233363399173e6	0.
-0.00002887677025324171	2.3919692746996092e-11	-33689.74986590622	6.799568081021987e6	0.
-0.000023709348207924774	2.3919692746996092e-11	-40520.942579681156	8.929658403900862e6	0.
-0.000028724787251908863	2.3919692746996092e-11	-33858.50996466208	6.850038527488398e6	0.
-0.000023557365206591925	2.3919692746996092e-11	-40762.43664802091	9.00807150154466e6	0.
-0.00002857280425057601	2.3919692746996092e-11	-34028.92349823913	6.901119495942732e6	0.
-0.000023405382205259074	2.3919692746996092e-11	-41006.71448579827	9.087594150900634e6	0.
-0.00002842082124924316	2.3919692746996092e-11	-34201.01420299661	6.952821239362619e6	0.
