# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-33-12.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:33:12
# Dir	-1
# field	2.6642259401125728e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	2.6642259401125728e-11	-32000.844747159	6.294414858371975e6	0.
-0.000025229178221253285	2.6642259401125728e-11	-38103.4534716494	8.144333156599553e6	0.
-0.000030244617265237375	2.6642259401125728e-11	-32153.051404272872	6.338771077310929e6	-2.002780748167272e-7
-0.000025077195219920433	2.6642259401125728e-11	-38317.042244177195	8.211613062327445e6	0.
-0.000030092634263904523	2.6642259401125728e-11	-32306.673512263904	6.383638749183382e6	0.
-0.000024925212218587585	2.6642259401125728e-11	-38532.94742425444	8.279789068682574e6	0.
-0.00002994065126257167	2.6642259401125728e-11	-32461.730351436232	6.429020227219789e6	-2.5224645766005583e-7
-0.000024773229217254733	2.6642259401125728e-11	-38751.20538622315	8.348875890669969e6	0.
-0.00002978866826123882	2.6642259401125728e-11	-32618.241543321717	6.474929571679959e6	0.
-0.00002462124621592188	2.6642259401125728e-11	-38971.8532365145	8.418892161999872e6	0.
-0.000029636685259905967	2.6642259401125728e-11	-32776.22705801297	6.521373170687763e6	0.
-0.00002446926321458903	2.6642259401125728e-11	-39194.928831227255	8.489851114228303e6	0.
-0.00002948470225857312	2.6642259401125728e-11	-32935.70722167718	6.568355264676718e6	0.
-0.00002431728021325618	2.6642259401125728e-11	-39420.47079418517	8.561772660700072e6	0.
-0.000029332719257240267	2.6642259401125728e-11	-33096.702724259434	6.615889603232333e6	0.
-0.00002416529721192333	2.6642259401125728e-11	-39648.51853548477	8.6346744283803e6	0.
-0.000029180736255907415	2.6642259401125728e-11	-33259.23462737772	6.6639833636224605e6	0.
-0.000024013314210590477	2.6642259401125728e-11	-39879.112270549274	8.708572672355024e6	0.
-0.000029028753254574563	2.6642259401125728e-11	-33423.32437241718	6.712644695423252e6	-3.1597513655486173e-7
-0.000023861331209257626	2.6642259401125728e-11	-40112.29303970368	8.783487114328224e6	0.
-0.00002887677025324171	2.6642259401125728e-11	-33588.99378882754	6.761884459357106e6	-2.0121160233557013e-7
-0.000023709348207924774	2.6642259401125728e-11	-40348.102728284895	8.859435903495405e6	0.
-0.000028724787251908863	2.6642259401125728e-11	-33756.26510263124	6.811713942271702e6	0.
-0.000023557365206591925	2.6642259401125728e-11	-40586.58408730393	8.9364387583971e6	0.
-0.00002857280425057601	2.6642259401125728e-11	-33925.160945146454	6.862134989054162e6	0.
-0.000023405382205259074	2.6642259401125728e-11	-40827.78075467527	9.014514843043985e6	0.
-0.00002842082124924316	2.6642259401125728e-11	-34095.7043619321	6.913164457711048e6	0.
-0.000023253399203926222	2.6642259401125728e-11	-41071.73727703064	9.093684131120978e6	0.
-0.000028268838247910308	2.6642259401125728e-11	-34267.91882196026	6.964810118375102e6	0.
-0.00002310141620259337	2.6642259401125728e-11	-41318.499132133766	9.173967510216404e6	0.
-0.000028116855246577456	2.6642259401125728e-11	-34441.828227023856	7.0170813711804785e6	0.
-0.000022949433201260518	2.6642259401125728e-11	-41568.11275191373	9.255386122693628e6	0.
-0.000027964872245244608	2.6642259401125728e-11	-34617.45692138488	7.069988954479462e6	0.
-0.00002279745019992767	2.6642259401125728e-11	-41820.625546134965	9.337961210181907e6	0.
-0.000027812889243911756	2.6642259401125728e-11	-34794.82970167065	7.123543928435814e6	0.
-0.000022645467198594818	2.6642259401125728e-11	-42076.08592672242	9.421714846303714e6	0.
-0.000027660906242578904	2.6642259401125728e-11	-34973.97182702484	7.177756519698969e6	0.
-0.000022493484197261966	2.6642259401125728e-11	-42334.5433327607	9.50666891044756e6	0.
-0.000027508923241246052	2.6642259401125728e-11	-35154.90902952123	7.232638637651563e6	0.
-0.000022341501195929114	2.6642259401125728e-11	-42596.04825618701	9.592847666612515e6	0.
-0.0000273569402399132	2.6642259401125728e-11	-35337.66752484639	7.288199672428513e6	0.
-0.000022189518194596263	2.6642259401125728e-11	-42860.65226819736	9.6802738025637e6	0.
-0.000027204957238580352	2.6642259401125728e-11	-35522.27402326108	7.344453190253421e6	0.
-0.000022037535193263414	2.6642259401125728e-11	-43128.4080463874	9.768970674877066e6	0.
-0.0000270529742372475	2.6642259401125728e-11	-35708.75574084547	7.401408832132939e6	0.
-0.000021885552191930562	2.6642259401125728e-11	-43399.36940264849	9.858964478050312e6	0.
-0.000026900991235914648	2.6642259401125728e-11	-35897.14041103965	7.45908074750985e6	0.
-0.00002173356919059771	2.6642259401125728e-11	-43673.59131184047	9.950279864662452e6	0.
-0.000026749008234581796	2.6642259401125728e-11	-36087.45629648455	7.51747890563886e6	0.
-0.00002158158618926486	2.6642259401125728e-11	-43951.12994126418	1.0042943575263232e7	0.
-0.000026597025233248945	2.6642259401125728e-11	-36279.73220117514	7.576616736487919e6	0.
-0.000021429603187932007	2.6642259401125728e-11	-44232.042680955274	1.013698115367537e7	0.
-0.000026445042231916096	2.6642259401125728e-11	-36473.99748293231	7.636507770778032e6	0.
-0.00002127762018659916	2.6642259401125728e-11	-44516.3881748242	1.0232418821923876e7	0.
-0.000026293059230583244	2.6642259401125728e-11	-36670.28206620396	7.697163301512998e6	0.
-0.000021125637185266307	2.6642259401125728e-11	-44804.226352665115	1.0329286126324413e7	0.
-0.000026141076229250393	2.6642259401125728e-11	-36868.616455204916	7.758597448447952e6	0.
-0.000020973654183933455	2.6642259401125728e-11	-45095.61846305837	1.042761077529742e7	0.
-0.00002598909322791754	2.6642259401125728e-11	-37069.03174740474	7.820824012652214e6	0.
-0.000020821671182600603	2.6642259401125728e-11	-45390.62710719218	1.0527420295566795e7	0.
-0.00002583711022658469	2.6642259401125728e-11	-37271.55964737391	7.883856283709646e6	0.
-0.00002066968818126775	2.6642259401125728e-11	-45689.31627362911	1.0628747447249085e7	0.
-0.00002568512722525184	2.6642259401125728e-11	-37476.23248099915	7.947708920612144e6	0.
-0.000020517705179934903	2.6642259401125728e-11	-45991.75137404251	1.073162134174579e7	0.
-0.00002553314422391899	2.6642259401125728e-11	-37683.08321007769	8.012396078396622e6	0.
-0.00002036572217860205	2.6642259401125728e-11	-46297.999279951386	1.08360715808822e7	0.
-0.000025381161222586137	2.6642259401125728e-11	-37892.14544730254	8.077932469075864e6	0.
-0.0000202137391772692	2.6642259401125728e-11	-46608.1283604802	1.0942133443310669e7	0.
-0.000020061756175936347	2.6642259401125728e-11	-46922.20852117071	1.104983683828712e7	0.
-0.00001489433413061941	2.6642259401125728e-11	-60575.9078267417	1.5987324647400273e7	0.
-0.000019909773174603496	2.6642259401125728e-11	-47240.31124387676	1.1159218341763396e7	0.
-0.00001474235112928656	2.6642259401125728e-11	-61087.84271987335	1.6181142857562827e7	0.
-0.000019757790173270647	2.6642259401125728e-11	-47562.50962776792	1.1270309586422067e7	0.
-0.000014590368127953708	2.6642259401125728e-11	-61607.70280632568	1.6378534269572156e7	0.
-0.000019605807171937795	2.6642259401125728e-11	-47888.87843147472	1.1383146321297957e7	0.
-0.000014438385126620856	2.6642259401125728e-11	-62135.654565742465	1.6579578137273498e7	0.
-0.000019453824170604944	2.6642259401125728e-11	-48219.49411640296	1.1497764850754028e7	0.
-0.000014286402125288006	2.6642259401125728e-11	-62671.86857122064	1.67843621904681e7	0.
-0.000019301841169272092	2.6642259401125728e-11	-48554.43489124945	1.1614203990331048e7	0.
-0.000014134419123955154	2.6642259401125728e-11	-63216.519591665274	1.6992970053209633e7	0.
-0.00001914985816793924	2.6642259401125728e-11	-48893.78075774893	1.1732499832774753e7	0.
-0.000013982436122622304	2.6642259401125728e-11	-63769.78669600485	1.7205492696603294e7	0.
-0.00001899787516660639	2.6642259401125728e-11	-49237.61355768489	1.1852690939761383e7	0.
-0.000013830453121289452	2.6642259401125728e-11	-64331.85335922154	1.7422019259594828e7	0.
-0.00001884589216527354	2.6642259401125728e-11	-49586.01702119538	1.1974818998486051e7	0.
-0.0000136784701199566	2.6642259401125728e-11	-64902.90757014513	1.764264517196853e7	0.
-0.000018693909163940688	2.6642259401125728e-11	-49939.076816405905	1.2098923940658294e7	0.
-0.00001352648711862375	2.6642259401125728e-11	-65483.14194094676	1.7867464964329872e7	0.
-0.000018541926162607836	2.6642259401125728e-11	-50296.88060042283	1.2225046543503072e7	0.
-0.000013374504117290898	2.6642259401125728e-11	-66072.75381826019	1.8096576951054096e7	0.
-0.000018389943161274984	2.6642259401125728e-11	-50659.518071719474	1.2353230377311712e7	0.
-0.000013222521115958048	2.6642259401125728e-11	-66671.94539584464	1.833008151444232e7	0.
-0.000018237960159942136	2.6642259401125728e-11	-51027.08102394809	1.2483519295317795e7	0.
-0.000013070538114625196	2.6642259401125728e-11	-67280.92382869218	1.856808034567781e7	0.
-0.000018085977158609284	2.6642259401125728e-11	-51399.66340121139	1.2615961936350496e7	0.
-0.000012918555113292345	2.6642259401125728e-11	-67899.90134846797	1.881068177108178e7	0.
-0.000017933994157276432	2.6642259401125728e-11	-51777.36135482569	1.275059773076926e7	0.
-0.000012766572111959494	2.6642259401125728e-11	-68529.09538015694	1.9057992990154456e7	0.
-0.00001778201115594358	2.6642259401125728e-11	-52160.27330161141	1.2887480117041465e7	0.
-0.000012614589110626643	2.6642259401125728e-11	-69168.72865977552	1.9310121774523117e7	0.
-0.00001763002815461073	2.6642259401125728e-11	-52548.49998374115	1.3026653291164672e7	0.
-0.000012462606109293792	2.6642259401125728e-11	-69819.0293529893	1.9567186631245077e7	0.
-0.00001747804515327788	2.6642259401125728e-11	-52942.14453018112	1.3168170223020446e7	0.
-0.00001231062310796094	2.6642259401125728e-11	-70480.23117445766	1.9829298305082627e7	0.
-0.00001732606215194503	2.6642259401125728e-11	-53341.31251975675	1.3312079696519554e7	0.
-0.00001215864010662809	2.6642259401125728e-11	-71152.57350771083	2.0096579201413535e7	0.
-0.000017174079150612177	2.6642259401125728e-11	-53746.11204587647	1.3458436697784293e7	0.
-0.000012006657105295239	2.6642259401125728e-11	-71836.30152533826	2.036914984977486e7	0.
-0.000017022096149279325	2.6642259401125728e-11	-54156.653782943926	1.3607294220098892e7	0.
-0.000011854674103962387	2.6642259401125728e-11	-72531.6663092495	2.064713437489276e7	0.
-0.000016870113147946473	2.6642259401125728e-11	-54573.05105449135	1.375870444301109e7	0.
-0.000011702691102629537	2.6642259401125728e-11	-73238.92497074197	2.0930661798096374e7	0.
-0.000016718130146613624	2.6642259401125728e-11	-54995.41990306372	1.3912726570111819e7	0.
-0.000011550708101296685	2.6642259401125728e-11	-73958.34077008485	2.121985959258091e7	0.
-0.000016566147145280773	2.6642259401125728e-11	-55423.879161882935	1.4069418709485618e7	0.
-0.000011398725099963835	2.6642259401125728e-11	-74690.18323530281	2.1514863496856663e7	0.
-0.00001641416414394792	2.6642259401125728e-11	-55858.550528320346	1.4228839532556267e7	0.
-0.000011246742098630983	2.6642259401125728e-11	-75434.72827981132	2.1815808438190077e7	0.
-0.00001626218114261507	2.6642259401125728e-11	-56299.558639204944	1.4391049339686576e7	0.
-0.000011094759097298131	2.6642259401125728e-11	-76192.25831852836	2.212283451852982e7	0.
-0.000016110198141282217	2.6642259401125728e-11	-56747.03114799171	1.4556111560288275e7	0.
-0.000010942776095965281	2.6642259401125728e-11	-76963.06238205226	2.2436082977331642e7	0.
-0.00001079079309463243	2.6642259401125728e-11	-77747.4362284634	2.275569943222076e7	0.
-0.00001595821513994937	2.6642259401125728e-11	-57201.098803813584	1.4724090957218017e7	0.
-0.00001063881009329958	2.6642259401125728e-11	-78545.68245227044	2.3081832765933346e7	0.
-0.000015806232138616517	2.6642259401125728e-11	-57661.89553243852	1.4895049911845637e7	0.
-0.000010486827091966727	2.6642259401125728e-11	-79358.1105899855	2.341463363825735e7	0.
-0.000015654249137283665	2.6642259401125728e-11	-58129.5585191503	1.5069058880407242e7	0.
-0.000010334844090633876	2.6642259401125728e-11	-80185.03722177296	2.375425716461389e7	0.
-0.000015502266135950813	2.6642259401125728e-11	-58604.22829356877	1.5246187485232435e7	0.
-0.000010182861089301025	2.6642259401125728e-11	-81026.7860685758	2.410086032162932e7	0.
-0.00001535028313461796	2.6642259401125728e-11	-59086.048816422845	1.5426504161526514e7	0.
-0.000010030878087968174	2.6642259401125728e-11	-81883.68808408185	2.4454604393015258e7	0.
-9.878895086635324e-6	2.6642259401125728e-11	-82756.08154084692	2.481565252024491e7	0.
-0.000015198300133285111	2.6642259401125728e-11	-59575.16756828586	1.561008160834857e7	0.
-0.000015046317131952261	2.6642259401125728e-11	-60071.73564027862	1.5796996151619805e7	0.
-9.726912085302472e-6	2.6642259401125728e-11	-83644.31210984863	2.518417140348485e7	0.
-4.559490039985534e-6	2.6642259401125728e-11	-126224.45899406384	4.349557621522349e7	0.
-9.57492908396962e-6	2.6642259401125728e-11	-84548.73293269618	2.5560330681138087e7	0.
-4.407507038652682e-6	2.6642259401125728e-11	-127940.52568146332	4.424468696479993e7	0.
-9.42294608263677e-6	2.6642259401125728e-11	-85469.70468567529	2.5944303214533154e7	0.
-4.255524037319831e-6	2.6642259401125728e-11	-129689.25752175288	4.500792142018554e7	0.
-9.270963081303918e-6	2.6642259401125728e-11	-86407.59563475814	2.6336264112312872e7	0.
