# Filename	binding_0\395504a4-74de-473a-b39b-486ad9951c5b.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:55:42
# Dir	1
# field	5.1534297381739543e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.1534297381739543e-11	NaN	NaN	NaN	22504.71516905398	3.7871662998447414e6	0.
-0.00004164333941135815	5.1534297381739543e-11	NaN	NaN	NaN	24772.90355241891	4.383216986461212e6	0.
-0.0000378437646475481	5.1534297381739543e-11	NaN	NaN	NaN	27450.567831506745	5.127028198333944e6	0.
-0.000034044189883738054	5.1534297381739543e-11	NaN	NaN	NaN	30810.575206558635	6.120645261258614e6	0.
-0.000045442914175168206	5.1534297381739543e-11	NaN	NaN	NaN	22584.03774973075	3.807476014023777e6	0.
-0.00004149135642080575	5.1534297381739543e-11	NaN	NaN	NaN	24869.60952780654	4.409329512432858e6	0.
-0.0000376917816569957	5.1534297381739543e-11	NaN	NaN	NaN	27570.259731166137	5.1612773279566495e6	0.
-0.00003389220689318565	5.1534297381739543e-11	NaN	NaN	NaN	30963.06216830701	6.167313194966493e6	0.
-0.0000452909311846158	5.1534297381739543e-11	NaN	NaN	NaN	22663.936744540613	3.827973479105213e6	0.
-0.00004133937343025335	5.1534297381739543e-11	NaN	NaN	NaN	24967.098641985795	4.435709286149746e6	0.
-0.0000375397986664433	5.1534297381739543e-11	NaN	NaN	NaN	27691.043111083924	5.195926109840703e6	0.
-0.00003374022390263325	5.1534297381739543e-11	NaN	NaN	NaN	31117.14567344545	6.214607288164881e6	0.
-0.0000451389481940634	5.1534297381739543e-11	NaN	NaN	NaN	22744.418627551215	3.8486607658822257e6	0.
-0.000041187390439700946	5.1534297381739543e-11	NaN	NaN	NaN	25065.38075608607	4.4623630900642015e6	0.
-0.0000373878156758909	5.1534297381739543e-11	NaN	NaN	NaN	27812.933568142224	5.230978947141642e6	0.
-0.00003358824091208085	5.1534297381739543e-11	NaN	NaN	NaN	31272.85220007143	6.262541261168426e6	0.
-0.000044986965203511	5.1534297381739543e-11	NaN	NaN	NaN	22825.489972629857	3.86953912589708e6	0.
-0.00004103540744914855	5.1534297381739543e-11	NaN	NaN	NaN	25164.465902594682	4.489297264790687e6	0.
-0.00003723583268533849	5.1534297381739543e-11	NaN	NaN	NaN	27935.94700894806	5.266444678898783e6	0.
-0.000033436257921528444	5.1534297381739543e-11	NaN	NaN	NaN	31430.208842319036	6.311127055013208e6	0.
-0.000044834982212958595	5.1534297381739543e-11	NaN	NaN	NaN	22907.15745541983	3.8906122191197397e6	0.
-0.00004088342445859614	5.1534297381739543e-11	NaN	NaN	NaN	25264.364289201043	4.51650543047615e6	0.
-0.00003708384969478609	5.1534297381739543e-11	NaN	NaN	NaN	28060.099657820265	5.3023297739287885e6	0.
-0.000033284274930976045	5.1534297381739543e-11	NaN	NaN	NaN	31589.243329117457	6.360378309844718e6	0.
-0.000044682999222406196	5.1534297381739543e-11	NaN	NaN	NaN	22989.427855365157	3.911883140459449e6	0.
-0.00004073144146804374	5.1534297381739543e-11	NaN	NaN	NaN	25365.08630274763	4.54400360604363e6	0.
