# Filename	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Timeresults\2018-02-05T05-30-16.txt
# Source	C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of turning time vs. field and orbit energy.
# Date	2018-02-05T05:30:16
# Dir	-1
# field	1.633539992477782e-11
# zi	-6.
W	field	zt	t	argt
-0.000030396600266570223	1.633539992477782e-11	-32336.47574449632	6.41774026310626e6	0.
-0.000025229178221253285	1.633539992477782e-11	-38668.49879089912	8.369596256011317e6	0.
-0.000030244617265237375	1.633539992477782e-11	-32493.4732876524	6.464138400770977e6	0.
-0.000025077195219920433	1.633539992477782e-11	-38891.58247379128	8.441250570544261e6	0.
-0.000030092634263904523	1.633539992477782e-11	-32651.97652971889	6.511088463287101e6	0.
-0.000024925212218587585	1.633539992477782e-11	-39117.19195690245	8.513912113735067e6	0.
-0.00002994065126257167	1.633539992477782e-11	-32812.00685327881	6.558600402148946e6	0.
-0.000024773229217254733	1.633539992477782e-11	-39345.36929088713	8.587590356035199e6	-6.81860447402775e-7
-0.00002978866826123882	1.633539992477782e-11	-32973.58604023939	6.606681562194942e6	0.
-0.00002462124621592188	1.633539992477782e-11	-39576.15743982675	8.662317315445282e6	0.
-0.000029636685259905967	1.633539992477782e-11	-33136.7362810151	6.655342863375902e6	0.
-0.00002446926321458903	1.633539992477782e-11	-39809.600305433145	8.738100932278657e6	0.
-0.00002948470225857312	1.633539992477782e-11	-33301.48018395848	6.704594982817966e6	0.
-0.00002431728021325618	1.633539992477782e-11	-40045.74275200048	8.814969934458807e6	0.
-0.000029332719257240267	1.633539992477782e-11	-33467.84078504754	6.754446185238364e6	0.
-0.00002416529721192333	1.633539992477782e-11	-40284.63063213045	8.892943075742235e6	0.
-0.000029180736255907415	1.633539992477782e-11	-33635.841557839616	6.804906118554917e6	0.
-0.000024013314210590477	1.633539992477782e-11	-40526.31081325926	8.972040420762744e6	0.
-0.000029028753254574563	1.633539992477782e-11	-33805.50642369678	6.855984814253401e6	0.
-0.000023861331209257626	1.633539992477782e-11	-40770.83120501337	9.052286716912279e6	0.
-0.00002887677025324171	1.633539992477782e-11	-33976.8597622937	6.907693254922766e6	-2.6295633984072655e-7
-0.000023709348207924774	1.633539992477782e-11	-41018.24078742302	9.13370344512341e6	0.
-0.000028724787251908863	1.633539992477782e-11	-34149.926422415396	6.960045338559204e6	0.
-0.000023557365206591925	1.633539992477782e-11	-41268.589640024846	9.216314730808904e6	0.
-0.00002857280425057601	1.633539992477782e-11	-34324.73173305579	7.013047768263044e6	0.
-0.000023405382205259074	1.633539992477782e-11	-41521.92897188375	9.30014276043845e6	-4.3499655292654526e-7
-0.00002842082124924316	1.633539992477782e-11	-34501.30151482443	7.06671287547717e6	-3.2227358039461095e-7
-0.000023253399203926222	1.633539992477782e-11	-41778.311152567105	9.38521668072968e6	0.
