,f,tt_up,tt_down,tr_up,tr_down,tb_up,tb_down,tp_up,il
0,0.0,-1.217467482053164e-06,-1.2174894684763606e-06,-1.9326319586853102e-06,-1.932614042015823e-06,0.0,0.0,,-0.0
1,1.94469e-14,-1.1974584252310702e-06,-1.2373783685363886e-06,-1.9200303467604298e-06,-1.9451878572564624e-06,2.8346746671907315e-08,-2.8216938111838466e-08,,-2.7890428465694104e-07
2,3.88938e-14,-1.1773425112528614e-06,-1.2572118827249447e-06,-1.907410439437118e-06,-1.9577360072953754e-06,5.6813133193152046e-08,-5.629541233143043e-08,,-3.9443022196581235e-07
3,5.834070000000001e-14,-1.1571334551361155e-06,-1.2769459378085735e-06,-1.8947724084715222e-06,-1.9702611106524108e-06,8.543657550488792e-08,-8.427086280659393e-08,,-4.830763914744748e-07
4,7.77876e-14,-1.1368155210054243e-06,-1.2965582486477313e-06,-1.8821089108136186e-06,-1.982729062995965e-06,1.142109605612158e-07,-1.1209468002889408e-07,,-5.578085693138821e-07
5,9.72345e-14,-1.116399684184232e-06,-1.3160987905669959e-06,-1.8694237240288016e-06,-1.9952140280819e-06,1.430966578353916e-07,-1.3977366367846345e-07,,-6.236489397088718e-07
6,1.1668140000000001e-13,-1.0958801823098235e-06,-1.335522848508062e-06,-1.8567106563389617e-06,-2.0076428408357856e-06,1.7211967844128718e-07,-1.673106924042281e-07,,-6.831731844854568e-07
7,1.3612830000000002e-13,-1.075268740573089e-06,-1.3548963303571827e-06,-1.8439699587142086e-06,-2.0200606595199805e-06,2.0128239457346562e-07,-1.947599458748924e-07,,-7.379113767926336e-07
8,1.555752e-13,-1.0545424431733766e-06,-1.3741172356240185e-06,-1.8312009308962927e-06,-2.0324638624526582e-06,2.3054193545041703e-07,-2.220577197349059e-07,,-7.888604439316247e-07
9,1.7502210000000002e-13,-1.033717009369991e-06,-1.3932928107563615e-06,-1.8184132418416097e-06,-2.044828192931608e-06,2.599820186510271e-07,-2.492279628398663e-07,,-8.367128539708232e-07
10,1.94469e-13,-1.0127818268283878e-06,-1.4123249947566935e-06,-1.8056004571995065e-06,-2.057193609091709e-06,2.8955138547139013e-07,-2.762738728282797e-07,,-8.819727886958872e-07
11,2.1391590000000002e-13,-9.91749391067104e-07,-1.431330499239083e-06,-1.7927623312028378e-06,-2.0695182681500295e-06,3.1929310494480906e-07,-3.03222119903803e-07,,-9.250208646295498e-07
12,2.3336280000000003e-13,-9.705966893868243e-07,-1.4501898083147924e-06,-1.7798991503706262e-06,-2.081806798396617e-06,3.49115314686389e-07,-3.3000530567862246e-07,,-9.661527829489496e-07
13,2.5280970000000004e-13,-9.493501133080979e-07,-1.4690038869827407e-06,-1.7670083622790457e-06,-2.094085157531353e-06,3.7913000906637394e-07,-3.5666978744967417e-07,,-1.0056036992772054e-06
14,2.7225660000000005e-13,-9.279899460972512e-07,-1.4876958259349477e-06,-1.7540911375718281e-06,-2.1063319668115014e-06,4.092656604541418e-07,-3.832194057279604e-07,,-1.0435642768895456e-06
15,2.917035e-13,-9.065263320796661e-07,-1.5063149761264817e-06,-1.741146658485989e-06,-2.1185761482037692e-06,4.3954038690181973e-07,-4.0959254846460475e-07,,-1.0801916496622255e-06
16,3.111504e-13,-8.849488106727801e-07,-1.5248159365753556e-06,-1.728182679415586e-06,-2.1307592474498114e-06,4.6994584435130893e-07,-4.359076098500328e-07,,-1.1156171386277641e-06
17,3.3059730000000003e-13,-8.63269691527927e-07,-1.5432685003111794e-06,-1.7151826360135517e-06,-2.1429577537539767e-06,5.004992130230647e-07,-4.620775131414659e-07,,-1.149951825077903e-06
18,3.5004420000000004e-13,-8.414777675514886e-07,-1.5616205663664731e-06,-1.7021696822451797e-06,-2.1551171371611376e-06,5.312125297508466e-07,-4.881131018415752e-07,,-1.1832906658974372e-06
19,3.6949110000000005e-13,-8.195646295566768e-07,-1.5798729074019989e-06,-1.689122827175643e-06,-2.167251325711487e-06,5.620149857776395e-07,-5.140334168705919e-07,,-1.2157155917401077e-06
20,3.88938e-13,-7.975457782692501e-07,-1.5980751934217643e-06,-1.676051757420066e-06,-2.179371214657694e-06,5.930065946524138e-07,-5.398225133184748e-07,,-1.2472978794177437e-06
21,4.083849e-13,-7.75420827403e-07,-1.6161529343517584e-06,-1.6629571558096762e-06,-2.191462096361076e-06,6.241361666090694e-07,-5.655011105708901e-07,,-1.278099996087943e-06
22,4.2783180000000003e-13,-7.531762877261113e-07,-1.6341815421157732e-06,-1.6498320067638949e-06,-2.203515847744359e-06,6.554174775148881e-07,-5.910692107190623e-07,,-1.3081770522371963e-06
