,f,tt_up,tt_down,tr_up,tr_down,tb_up,tb_down,tp_up,il
23,4.4727870000000005e-13,-7.308181307489183e-07,-1.6521040831359351e-06,-1.6366835468121155e-06,-2.215529557887344e-06,6.868264246220153e-07,-6.164791240679946e-07,,-1.337577960344742e-06
24,4.667256000000001e-13,-7.083401830247973e-07,-1.669932331611532e-06,-1.6235120654512007e-06,-2.2275777573783033e-06,7.183909645951617e-07,-6.418005425279283e-07,,-1.3663463689709136e-06
25,4.861725e-13,-6.857495780646183e-07,-1.6876912162101909e-06,-1.6103145928443636e-06,-2.2395743472199024e-06,7.500676821617341e-07,-6.669906777178303e-07,,-1.3945214232847052e-06
26,5.056194000000001e-13,-6.630483291937251e-07,-1.705387552292901e-06,-1.5970865822534096e-06,-2.2515660049598117e-06,7.819538326271108e-07,-6.920872834761619e-07,,-1.4221383898903792e-06
27,5.250663000000001e-13,-6.402208923166151e-07,-1.7229909005510937e-06,-1.583836612763225e-06,-2.263517783872145e-06,8.139643295471976e-07,-7.170332968630385e-07,,-1.4492291744234243e-06
28,5.445132000000001e-13,-6.172839426476135e-07,-1.7404971574927772e-06,-1.5705464205924094e-06,-2.275448159147127e-06,8.460747842950892e-07,-7.418861065564078e-07,,-1.4758227535852671e-06
29,5.639601000000001e-13,-5.942218487900266e-07,-1.7579429090427242e-06,-1.5572466460868913e-06,-2.2873474335374976e-06,8.783911717736435e-07,-7.666074061187901e-07,,-1.5019455382935829e-06
30,5.83407e-13,-5.710456250345437e-07,-1.7752864761264212e-06,-1.5439082321246563e-06,-2.2992131638566594e-06,9.10835717542301e-07,-7.911990319164562e-07,,-1.527621680914486e-06
31,6.028539e-13,-5.477433240552449e-07,-1.7925803525774064e-06,-1.5305513375315784e-06,-2.3110699285644915e-06,9.434509163114388e-07,-8.15683647749992e-07,,-1.5528733367535165e-06
32,6.223008e-13,-5.243191924277086e-07,-1.8097827820687173e-06,-1.5171658736612215e-06,-2.3229120571810574e-06,9.761775958129303e-07,-8.400705529620163e-07,,-1.5777208878632494e-06
33,6.417477000000001e-13,-5.007716075409525e-07,-1.826886554600586e-06,-1.503750570231214e-06,-2.3347449859519044e-06,1.009069297521526e-06,-8.643180819301709e-07,,-1.602183135599673e-06
34,6.611946000000001e-13,-4.771082092826896e-07,-1.8439594063362284e-06,-1.4903166509509698e-06,-2.3465470734107782e-06,1.0421460465421838e-06,-8.884556731732516e-07,,-1.6262774671008635e-06
35,6.806415000000001e-13,-4.5332048843220556e-07,-1.8609276960376541e-06,-1.476843506451593e-06,-2.358292137586285e-06,1.0753375852051378e-06,-9.12505314808293e-07,,-1.6500199998787894e-06
36,7.000884000000001e-13,-4.2941096281228186e-07,-1.8778012069702216e-06,-1.4633536903584633e-06,-2.3700310376576427e-06,1.1086892960744769e-06,-9.364137893979139e-07,,-1.6734257079416464e-06
37,7.195353000000001e-13,-4.0537373322386194e-07,-1.894626195002582e-06,-1.4498235062416255e-06,-2.3817598026116144e-06,1.1421731723037824e-06,-9.602155510109588e-07,,-1.6965085322508698e-06
38,7.389822000000001e-13,-3.812069504707237e-07,-1.911369708920922e-06,-1.436276171967828e-06,-2.3934674812840903e-06,1.1758662155443802e-06,-9.839124553495269e-07,,-1.7192814778272929e-06
39,7.584291000000001e-13,-3.5692678116661056e-07,-1.9280501551620987e-06,-1.4227049395466384e-06,-2.4051578383494418e-06,1.2096909994074426e-06,-1.0074746698253167e-06,,-1.741756699427334e-06
40,7.77876e-13,-3.324995577910999e-07,-1.944643212186786e-06,-1.4091021191853843e-06,-2.4168077102178832e-06,1.2436179064090144e-06,-1.0309721505009244e-06,,-1.7639455773917743e-06
41,7.973229000000001e-13,-3.079488122757318e-07,-1.961185164039169e-06,-1.3954707332464604e-06,-2.428465688781967e-06,1.2777678214414398e-06,-1.054341489050211e-06,,-1.78585878501073e-06
42,8.167698e-13,-2.832792581053385e-07,-1.977632218847731e-06,-1.381810551687492e-06,-2.4400719239422416e-06,1.3120531704186787e-06,-1.077566437317779e-06,,-1.807506348536569e-06
43,8.362167e-13,-2.584754159829236e-07,-1.994011750758966e-06,-1.3681215224936453e-06,-2.4516797786697946e-06,1.34647955521105e-06,-1.100725223375445e-06,,-1.8288977008023165e-06
44,8.556636000000001e-13,-2.3353930617003854e-07,-2.0102939396704196e-06,-1.354408012296889e-06,-2.4632681720250162e-06,1.381059444208436e-06,-1.1237453526188496e-06,,-1.8500417292590997e-06
45,8.751105e-13,-2.084759164873873e-07,-2.02654813745105e-06,-1.340663089622307e-06,-2.474807222403491e-06,1.4158006446582709e-06,-1.1466751252009804e-06,,-1.8709468191266154e-06
46,8.945574000000001e-13,-1.8327174049705676e-07,-2.0426992247975786e-06,-1.326897374509155e-06,-2.486333324581425e-06,1.4506956117401389e-06,-1.1694827939287796e-06,,-1.8916208922508761e-06
47,9.140043e-13,-1.579497171484191e-07,-2.058798931114517e-06,-1.313105017952061e-06,-2.4978229263686706e-06,1.485759156788819e-06,-1.1922022107453311e-06,,-1.9120714421799202e-06
48,9.334512000000001e-13,-1.324770604362886e-07,-2.0748432128688047e-06,-1.2992801472220955e-06,-2.50931384737054e-06,1.5210014494322955e-06,-1.214784644232468e-06,,-1.9323055658978993e-06
49,9.528981e-13,-1.0688397717681047e-07,-2.090773479763618e-06,-1.2854240243816145e-06,-2.5207895992638907e-06,1.556389705921188e-06,-1.2373135323152057e-06,,-1.9523299925985875e-06
50,9.72345e-13,-8.11533043203745e-08,-2.106709001613314e-06,-1.2715435160817475e-06,-2.5322380034785393e-06,1.5919183196820663e-06,-1.2596692128960763e-06,,-1.972151109829062e-06
51,9.917919e-13,-5.5283019410865185e-08,-2.122521543726409e-06,-1.2576388556973608e-06,-2.5436477889244698e-06,1.6276088143360081e-06,-1.2819816843997894e-06,,-1.991774987291486e-06
52,1.0112388000000002e-12,-2.9269992711780355e-08,-2.1382624288199817e-06,-1.2436982413439393e-06,-2.555068043517454e-06,1.6634510524397034e-06,-1.3041519451084776e-06,,-2.011207398554411e-06
53,1.0306857000000003e-12,-3.126473261488437e-09,-2.153961570651928e-06,-1.2297351534789942e-06,-2.5664529117110667e-06,1.699496289318707e-06,-1.326228410321995e-06,,-2.0304538408937054e-06
54,1.0501326000000002e-12,2.3150514103416526e-08,-2.169581899227391e-06,-1.215734967006446e-06,-2.5778057880694935e-06,1.7356657150201056e-06,-1.3481964800658359e-06,,-2.0495195534563705e-06
55,1.0695795e-12,4.9571711525383514e-08,-2.185154297224557e-06,-1.201714916182987e-06,-2.5891334777532564e-06,1.772017454862157e-06,-1.370069379409784e-06,,-2.068409533917304e-06
56,1.0890264000000002e-12,7.613196101560249e-08,-2.2006564554524702e-06,-1.187664981635495e-06,-2.6004827032761467e-06,1.8085304807586126e-06,-1.3918328015695674e-06,,-2.087128553779091e-06
57,1.1084733000000001e-12,1.0283616005499329e-07,-2.2160664118835173e-06,-1.1735877535462874e-06,-2.611782383248155e-06,1.8452033547058345e-06,-1.4134956737500296e-06,,-2.105681172447529e-06
58,1.1279202000000002e-12,1.2968025829605645e-07,-2.231437207705781e-06,-1.1594774603899543e-06,-2.623041010931846e-06,1.8820439410641253e-06,-1.435066994239561e-06,,-2.124071750200544e-06
59,1.1473671000000001e-12,1.5666699405651381e-07,-2.2467175743952468e-06,-1.1453470010580275e-06,-2.63429708181949e-06,1.9190315437841606e-06,-1.4565582522350835e-06,,-2.142304460154999e-06
60,1.166814e-12,1.8378711563034278e-07,-2.2619782738338395e-06,-1.1311762093994786e-06,-2.6455417685764333e-06,1.956196154079978e-06,-1.4779131687269865e-06,,-2.160383299324451e-06
61,1.1862609000000002e-12,2.1106621365058165e-07,-2.277133928543577e-06,-1.1169786546841406e-06,-2.6567511101721828e-06,1.993515309374421e-06,-1.4991607701513019e-06,,-2.1783120988508514e-06
62,1.2057078e-12,2.384795468340111e-07,-2.2922795371960744e-06,-1.102760177325989e-06,-2.6679261626517933e-06,2.0310220958493965e-06,-1.520338134904205e-06,,-2.1960945334843855e-06
63,1.2251547000000002e-12,2.6604259979280915e-07,-2.307324279717144e-06,-1.0885008188258942e-06,-2.679113567032622e-06,2.0686532624126336e-06,-1.5413943757348436e-06,,-2.213734130377901e-06
64,1.2446016e-12,2.937478698183984e-07,-2.3223328311961533e-06,-1.0742237693774971e-06,-2.6902524907485617e-06,2.1064797641411355e-06,-1.5623892229709036e-06,,-2.2312342772555283e-06
65,1.2640485e-12,3.215993586756718e-07,-2.337257488825853e-06,-1.0599151613971389e-06,-2.7013793856282987e-06,2.1444940335780363e-06,-1.5832480318467231e-06,,-2.248598230009087e-06
66,1.2834954000000001e-12,3.496113027102083e-07,-2.3521161285743984e-06,-1.045573228521748e-06,-2.7124843369995207e-06,2.1826615541771992e-06,-1.604016494000005e-06,,-2.2658291197705093e-06
67,1.3029423e-12,3.7775672810607945e-07,-2.366921101343635e-06,-1.0312009631078258e-06,-2.7235974087517256e-06,2.220959456927377e-06,-1.6247236943501717e-06,,-2.282929959503795e-06
68,1.3223892000000001e-12,4.060532322064592e-07,-2.3816887265903396e-06,-1.0168092636151532e-06,-2.7346774754522694e-06,2.259483369360875e-06,-1.645301489823969e-06,,-2.299903650155806e-06
69,1.3418361e-12,4.3450764956345557e-07,-2.3963659979989896e-06,-1.0023730157840897e-06,-2.745715625478023e-06,2.2981268245924694e-06,-1.6657968822044408e-06,,-2.316752986401442e-06
70,1.3612830000000001e-12,4.63107816136263e-07,-2.411019095885312e-06,-9.879226091990102e-07,-2.756745019536085e-06,2.336981798169057e-06,-1.686182004948571e-06,,-2.3334806620154365e-06
71,1.3807299e-12,4.918644934992519e-07,-2.425581221001436e-06,-9.73426841089413e-07,-2.7677655859375465e-06,2.3759897602885476e-06,-1.7064605886395174e-06,,-2.3500892748999984e-06
72,1.4001768000000002e-12,5.207679892573663e-07,-2.4401039052768195e-06,-9.589094882529077e-07,-2.778763703512164e-06,2.415163711368036e-06,-1.726696196631402e-06,,-2.3665813317948744e-06
73,1.4196237000000003e-12,5.498199928020351e-07,-2.454573256264132e-06,-9.443622047393648e-07,-2.789710043401737e-06,2.454501805125496e-06,-1.7467852162142738e-06,,-2.3829592526940112e-06
74,1.4390706000000002e-12,5.790393439188473e-07,-2.468960047259726e-06,-9.297880979985895e-07,-2.80067327892148e-06,2.4940131826735156e-06,-1.7668219408770202e-06,,-2.3992253749908534e-06
75,1.4585175e-12,6.083963694972889e-07,-2.483328429501378e-06,-9.151848251708754e-07,-2.8116203111856086e-06,2.533722330891008e-06,-1.786737531005725e-06,,-2.4153819573723738e-06
76,1.4779644000000002e-12,6.379253324105066e-07,-2.4976237435306812e-06,-9.005403657339439e-07,-2.8225163068561137e-06,2.5735806586952893e-06,-1.8065846134052688e-06,,-2.4314311834802154e-06
77,1.4974113000000001e-12,6.675993410784334e-07,-2.5118415013292196e-06,-8.858794356558759e-07,-2.8334048577967416e-06,2.6136105629145083e-06,-1.8263214853742989e-06,,-2.4473751653557327e-06
78,1.5168582000000002e-12,6.974388898574758e-07,-2.5260232992739787e-06,-8.71174496494518e-07,-2.844258637243944e-06,2.6538214747042927e-06,-1.8459919762431187e-06,,-2.4632159466843345e-06
79,1.5363051000000001e-12,7.274243787350867e-07,-2.540167801462324e-06,-8.564551592193529e-07,-2.8551341818931723e-06,2.6941997489760843e-06,-1.865563407459058e-06,,-2.4789555058532215e-06
80,1.555752e-12,7.575799071432895e-07,-2.5542354975539332e-06,-8.41691991938721e-07,-2.8659590775308324e-06,2.734788486997515e-06,-1.8850326849866017e-06,,-2.4945957588354873e-06
81,1.5751989e-12,7.878950725890259e-07,-2.568251221742092e-06,-8.269023734624196e-07,-2.87678456068658e-06,2.775512752602418e-06,-1.9043968696277544e-06,,-2.5101385619124695e-06
82,1.5946458000000003e-12,8.183685652920942e-07,-2.5822154203209684e-06,-8.120840172418245e-07,-2.8875950981922014e-06,2.816422531864416e-06,-1.9237035892706017e-06,,-2.525585714245312e-06
83,1.6140927000000002e-12,8.48992929354013e-07,-2.596144135001421e-06,-7.972351004272344e-07,-2.8983700975298504e-06,2.8574855883227987e-06,-1.9429458974406456e-06,,-2.5409389603058157e-06
84,1.6335396e-12,8.79782640944045e-07,-2.610000495732138e-06,-7.823572777374547e-07,-2.9091481586502153e-06,2.898771240141167e-06,-1.9620505125671426e-06,,-2.556199992175886e-06
85,1.6529865e-12,9.107411949055393e-07,-2.6237964748719407e-06,-7.674399317083105e-07,-2.919868598848674e-06,2.940208107661683e-06,-1.981084758257521e-06,,-2.5713704517241383e-06
86,1.6724334e-12,9.418541444442378e-07,-2.6375642923525444e-06,-7.525009442774523e-07,-2.9305578518481197e-06,2.981803432888658e-06,-2.0000332746107325e-06,,-2.586451932667607e-06
87,1.6918803000000002e-12,9.731412764501036e-07,-2.6512577972155716e-06,-7.375309283151799e-07,-2.941282845570312e-06,3.023599971938702e-06,-2.018880250352417e-06,,-2.6014459825258723e-06
88,1.7113272000000001e-12,1.0045932726420195e-06,-2.6649292751708776e-06,-7.225276521978874e-07,-2.9519574505872275e-06,3.0655773669817796e-06,-2.0376539497032382e-06,,-2.6163541044743927e-06
89,1.7307741e-12,1.036198768724686e-06,-2.6785537595134732e-06,-7.074853306498336e-07,-2.9626162675243926e-06,3.107737126023223e-06,-2.056363247841877e-06,,-2.631177759103326e-06
90,1.750221e-12,1.0679828912155354e-06,-2.692096213442702e-06,-6.92424109353298e-07,-2.973266030185208e-06,3.1500593850292693e-06,-2.074981030268688e-06,,-2.6459183660876614e-06
91,1.7696679e-12,1.0999251450621367e-06,-2.7056114304822664e-06,-6.773341797101598e-07,-2.983890575827397e-06,3.1925555140545438e-06,-2.0934820466563597e-06,,-2.6605773057740684e-06
92,1.7891148000000002e-12,1.1320400423183572e-06,-2.7190677906665965e-06,-6.622050052455675e-07,-2.994466270972121e-06,3.2352503178131612e-06,-2.111930833325505e-06,,-2.675155920689484e-06
93,1.8085617000000003e-12,1.1643147431413137e-06,-2.732471165778275e-06,-6.470404597450927e-07,-3.005071025776733e-06,3.2781241507912196e-06,-2.130303157134037e-06,,-2.6896555169761054e-06
94,1.8280086e-12,1.1967648918332625e-06,-2.7458236504686206e-06,-6.318538520296244e-07,-3.0156241611268617e-06,3.3211458126121126e-06,-2.1485490844227885e-06,,-2.7040773657571264e-06
95,1.8474555e-12,1.2293839521801176e-06,-2.7591465081221486e-06,-6.166318256992824e-07,-3.026197313999955e-06,3.3643595511304853e-06,-2.166747658942227e-06,,-2.7184227044372624e-06
96,1.8669024000000002e-12,1.2621770161229966e-06,-2.772410685924763e-06,-6.013777313721068e-07,-3.036715552547092e-06,3.4077901138891727e-06,-2.1848868208078645e-06,,-2.7326927379418273e-06
97,1.8863493000000003e-12,1.2951325191324103e-06,-2.7856182930387016e-06,-5.860865440048719e-07,-3.0472147682679635e-06,3.4513917835755873e-06,-2.2029141596110054e-06,,-2.7468886398978756e-06
98,1.9057962e-12,1.3282677076161124e-06,-2.7987931803541873e-06,-5.707756852034249e-07,-3.057699750436096e-06,3.495156448472791e-06,-2.2208629476638495e-06,,-2.7610115537606866e-06
99,1.9252431e-12,1.3615711773683685e-06,-2.8119357809928267e-06,-5.55420560184656e-07,-3.068180537926786e-06,3.5391371953455776e-06,-2.238715094070144e-06,,-2.77506259388865e-06
100,1.94469e-12,1.3950502916566369e-06,-2.825008751587615e-06,-5.400436246270941e-07,-3.078656620331553e-06,3.5832545885720044e-06,-2.256530590967921e-06,,-2.7890428465694104e-06
101,1.9641369000000004e-12,1.4287017300487352e-06,-2.838026983126942e-06,-5.246247551250584e-07,-3.0890983651857316e-06,3.6275897738998635e-06,-2.2742316961471296e-06,,-2.802953370999953e-06
102,1.9835838e-12,1.4625298344044813e-06,-2.851039531424079e-06,-5.091854370142386e-07,-3.0995195800088075e-06,3.672073640174316e-06,-2.2918527760886414e-06,,-2.816795200223119e-06
103,2.0030307e-12,1.4965362870146602e-06,-2.863965312549308e-06,-4.937105757891137e-07,-3.1098890390330726e-06,3.7167966296439857e-06,-2.30942040577445e-06,,-2.8305693420229084e-06
104,2.0224776000000003e-12,1.530720095537915e-06,-2.8768384707648925e-06,-4.781932982222332e-07,-3.1203025968146535e-06,3.7616643490001216e-06,-2.3269112607254933e-06,,-2.8442767797807583e-06
105,2.0419245e-12,1.5650733143606518e-06,-2.889695000118714e-06,-4.6265288692213604e-07,-3.1306378958316217e-06,3.8067228205937677e-06,-2.344306540813316e-06,,-2.8579184732948557e-06
106,2.0613714000000005e-12,1.5996111409037404e-06,-2.9025288466275138e-06,-4.470779497025252e-07,-3.1410240246684526e-06,3.851967706453267e-06,-2.3616253954813187e-06,,-2.8714953595644206e-06
107,2.0808183000000002e-12,1.6343213870661934e-06,-2.915303831082629e-06,-4.3147505939232826e-07,-3.15133319806885e-06,3.8974135698361695e-06,-2.378840454165949e-06,,-2.8850083535407658e-06
108,2.1002652000000004e-12,1.6692149813865918e-06,-2.9279934040476612e-06,-4.1583119519429134e-07,-3.1616555908195973e-06,3.943048607014962e-06,-2.3960277446970796e-06,,-2.8984583488468487e-06
109,2.1197121e-12,1.7042800528386024e-06,-2.9406640357034187e-06,-4.001678770307648e-07,-3.1719487020316705e-06,3.988840659342836e-06,-2.413121568580644e-06,,-2.9118462184669027e-06
110,2.139159e-12,1.7395317908493298e-06,-2.9533012726453435e-06,-3.8445996398168425e-07,-3.182216907433424e-06,4.034851468021355e-06,-2.4301433244325067e-06,,-2.9251728154076644e-06
111,2.1586059000000003e-12,1.774964232864696e-06,-2.965893562589657e-06,-3.6872462403694734e-07,-3.1924714762322016e-06,4.081028106885016e-06,-2.447119350901487e-06,,-2.93843897333261e-06
112,2.1780528000000004e-12,1.8105828118732832e-06,-2.978444774099168e-06,-3.529482974263938e-07,-3.2026965856987442e-06,4.127410364469375e-06,-2.4639781755993853e-06,,-2.9516455071705343e-06
113,2.1974997e-12,1.8463819794713732e-06,-2.9909689497639413e-06,-3.3714862344204225e-07,-3.2129277123494285e-06,4.173956078609146e-06,-2.480791635538822e-06,,-2.9647932136997346e-06
114,2.2169466000000002e-12,1.882360098354541e-06,-3.0034297441398924e-06,-3.213135177984982e-07,-3.2231364739852583e-06,4.220710907411645e-06,-2.4975074045959326e-06,,-2.9778828721089755e-06
115,2.2363935e-12,1.918526012207101e-06,-3.015837692588378e-06,-3.054471804710971e-07,-3.23331196962019e-06,4.267664313796449e-06,-2.514142514690548e-06,,-2.990915244536361e-06
116,2.2558404000000004e-12,1.9548677254079982e-06,-3.028207846429315e-06,-2.8954653042709504e-07,-3.2434913932871035e-06,4.314789103827868e-06,-2.5307310513353766e-06,,-3.0038910765871658e-06
117,2.2752873e-12,1.9914071142512184e-06,-3.0405552150564505e-06,-2.736057918867786e-07,-3.2536375885995295e-06,4.3620946433216585e-06,-2.547231125091193e-06,,-3.016811097831616e-06
118,2.2947342000000003e-12,2.0281227073541597e-06,-3.052858427470669e-06,-2.576426290618545e-07,-3.2638026944253963e-06,4.409613131802168e-06,-2.563694903937718e-06,,-3.029676022283571e-06
119,2.3141811e-12,2.0650277218923037e-06,-3.0651302128898682e-06,-2.416384265740379e-07,-3.273892253289766e-06,4.457309276547754e-06,-2.5800471413875757e-06,,-3.0424865488609806e-06
120,2.333628e-12,2.1021212639383337e-06,-3.077317131208332e-06,-2.2561050275312544e-07,-3.284008219660682e-06,4.505200356546365e-06,-2.596345745779722e-06,,-3.055243361828972e-06
121,2.3530749e-12,2.1394045876141463e-06,-3.089541125021437e-06,-2.095327824508074e-07,-3.2940897139051307e-06,4.553300144910837e-06,-2.6125796565052853e-06,,-3.0679471312263516e-06
122,2.3725218000000003e-12,2.176866345418284e-06,-3.101657952343686e-06,-1.9343248591905163e-07,-3.3041498287164274e-06,4.601585607106314e-06,-2.628738277656359e-06,,-3.0805985132762757e-06
123,2.3919687000000004e-12,2.214524021384692e-06,-3.1137749304264032e-06,-1.7729382452207177e-07,-3.314184215864207e-06,4.650046553458965e-06,-2.64483158566658e-06,,-3.093198150781809e-06
124,2.4114156e-12,2.2523773799817735e-06,-3.1258222337176722e-06,-1.6112916697963961e-07,-3.324224134977541e-06,4.698724316982801e-06,-2.6608398285209164e-06,,-3.105746673507033e-06
125,2.4308625000000002e-12,2.290412051286497e-06,-3.1378468547932597e-06,-1.4492699080716115e-07,-3.334247995813774e-06,4.7476011330485145e-06,-2.676826802208864e-06,,-3.118244698544359e-06
126,2.4503094000000003e-12,2.3286433504147124e-06,-3.1498610482370975e-06,-1.2869184191690147e-07,-3.3442628030933254e-06,4.796608038086618e-06,-2.692686147335225e-06,,-3.1306928306686368e-06
127,2.4697563000000005e-12,2.3670658470039794e-06,-3.1617989488297754e-06,-1.1241877090319023e-07,-3.3542267529150345e-06,4.845887350692492e-06,-2.7085023494840534e-06,,-3.1430916626786437e-06
128,2.4892032e-12,2.40567692318711e-06,-3.173724575777978e-06,-9.610880617015168e-08,-3.364204798513395e-06,4.895297296335189e-06,-2.724260273713539e-06,,-3.155441775726499e-06
129,2.5086501000000003e-12,2.444478776718183e-06,-3.1856047325140684e-06,-7.977713782562286e-08,-3.374150961868347e-06,4.944966086197815e-06,-2.7399519077063443e-06,,-3.1677437396355154e-06
130,2.528097e-12,2.4834798229258933e-06,-3.197437386228329e-06,-6.34004171604803e-08,-3.384063961492439e-06,4.994768881203191e-06,-2.7555809609022988e-06,,-3.1799981132069876e-06
131,2.5475439000000005e-12,2.5226764319998273e-06,-3.209226759330618e-06,-4.699242524361789e-08,-3.3939889702945456e-06,5.044793183793776e-06,-2.7711226754614307e-06,,-3.1922054445163775e-06
132,2.5669908000000002e-12,2.562063509860767e-06,-3.220994266365116e-06,-3.055345567400093e-08,-3.403857417052263e-06,5.095023712371902e-06,-2.7866136860789753e-06,,-3.204366271199346e-06
133,2.5864377000000003e-12,2.6016508979681634e-06,-3.2327318142113817e-06,-1.407630264985372e-08,-3.413768472243969e-06,5.145453630883934e-06,-2.8020198611184325e-06,,-3.2164811207280546e-06
134,2.6058846e-12,2.641422779763085e-06,-3.2444021363601943e-06,2.4448237051625394e-09,-3.423619507372244e-06,5.196075475881819e-06,-2.8173894242759727e-06,2.480789736892154e-09,-3.228550510678128e-06
135,2.6253315e-12,2.681396724741999e-06,-3.2560804977325263e-06,1.8986299697294646e-08,-3.4334633440551934e-06,5.246894770471096e-06,-2.832709619418706e-06,2.0127363300387822e-08,-3.2405749489866766e-06
136,2.6447784000000003e-12,2.7215742023748694e-06,-3.2676901349433284e-06,3.556324775864504e-08,-3.443291102000758e-06,5.2978897884194214e-06,-2.847907070361184e-06,3.856388891470741e-08,-3.252554934201727e-06
137,2.6642253000000004e-12,2.7619486908522435e-06,-3.2792695512900722e-06,5.2184529726860564e-08,-3.4531096217131675e-06,5.3491028423562046e-06,-2.863098505578054e-06,5.7636768422910204e-08,-3.264490955723419e-06
138,2.6836722e-12,2.8025135958145324e-06,-3.2908464275003846e-06,6.88346300102569e-08,-3.4629243123667462e-06,5.400511153183394e-06,-2.8782020801332766e-06,7.722862075782694e-08,-3.27638349403729e-06
