,f,W0,p
0,0,-100.0,0.3996696028335542
1,0,-99.0,0.39100052089233406
2,0,-98.0,0.37811562556052414
3,0,-97.0,0.3977998437688434
4,0,-96.0,0.38963280806151795
5,0,-95.0,0.3848127150496852
6,0,-94.0,0.3790297085109998
7,0,-93.0,0.3763229326367692
8,0,-92.0,0.38247197913323794
9,0,-91.0,0.384407308406656
10,0,-90.0,0.38894025532837007
11,0,-89.0,0.35600622636419926
12,0,-88.0,0.38024741254894934
13,0,-87.0,0.3809852582886189
14,0,-86.0,0.3826340396482233
15,0,-85.0,0.3844325638067346
16,0,-84.0,0.3936805822743372
17,0,-83.0,0.40246043327562514
18,0,-82.0,0.4267386580234523
19,0,-81.0,0.42482391924515434
20,0,-80.0,0.4061286462618551
21,0,-79.0,0.38106230768822247
22,0,-78.0,0.39003263488921514
23,0,-77.0,0.377446613747874
24,0,-76.0,0.3610582819271935
25,0,-75.0,0.3554431939526157
26,0,-74.0,0.3427228440810248
27,0,-73.0,0.3635934297608334
28,0,-72.0,0.3420971315585314
29,0,-71.0,0.32941849125151224
30,0,-70.0,0.31297268265710115
31,0,-69.0,0.32370066699601363
32,0,-68.0,0.324827717952591
33,0,-67.0,0.31699194397260994
34,0,-66.0,0.3078524296609169
35,0,-65.0,0.3101514148407213
36,0,-64.0,0.3053738828378911
37,0,-63.0,0.2998100084593493
38,0,-62.0,0.29389475511429963
39,0,-61.00000000000001,0.30615972832352356
40,0,-59.99999999999999,0.2947544319271841
41,0,-59.0,0.294021397195893
42,0,-58.0,0.28594834285685156
43,0,-57.0,0.2847390540403685
44,0,-56.0,0.26820639072150376
45,0,-55.00000000000001,0.278959711564177
46,0,-53.99999999999999,0.28227754918760034
47,0,-53.0,0.2794116881063835
48,0,-52.0,0.3025259969710019
49,0,-51.0,0.2626882876800693
50,0,-50.0,0.2646441505438372
51,0,-49.0,0.26327604864051163
52,0,-48.0,0.27730133725958284
53,0,-47.0,0.2630329105632201
54,0,-46.0,0.2551075925699605
55,0,-45.0,0.26488934153840915
56,0,-44.0,0.23913161482675965
57,0,-43.0,0.2642472437028067
58,0,-42.0,0.24605447327112642
59,0,-41.0,0.2570829715610745
60,0,-40.0,0.2498375103497943
61,0,-39.0,0.2603631027292116
62,0,-38.0,0.22694537769437256
63,0,-37.0,0.2401658728506582
64,0,-36.0,0.23331112705233348
65,0,-35.0,0.23684376726407516
66,0,-34.0,0.24174111038296534
67,0,-33.0,0.2432713059532524
68,0,-32.0,0.25161236628766515
69,0,-31.0,0.22799631513303503
70,0,-29.999999999999996,0.24386114062170144
71,0,-29.0,0.2172050690149579
72,0,-28.0,0.2373354502395206
73,0,-26.999999999999996,0.23544523386875654
74,0,-26.0,0.221534132408522
75,0,-25.0,0.23231429164749973
76,0,-24.0,0.21374922439334168
77,0,-23.0,0.23069919609044992
78,0,-22.0,0.22431082876079628
79,0,-21.0,0.2334534532751618
80,0,-20.0,0.22884170700670642
81,0,-19.0,0.22028809411844813
82,0,-18.0,0.21800461937514912
83,0,-17.0,0.2250768926381572
84,0,-16.0,0.25312638891576505
85,0,-14.999999999999998,0.24097319251029703
86,0,-14.0,0.25177225228307215
87,0,-13.0,0.2311854666172086
88,0,-12.0,0.2633581150274874
89,0,-11.0,0.2532327941510641
90,0,-10.0,0.27832843983740835
91,0,-9.0,0.3154800756187324
92,0,-8.0,0.3714027134834122
93,0,-7.0,0.40163488242019363
94,0,-6.0,0.36777393372839823
95,0,-5.0,0.1762267264076655
96,0,-4.0,0.08063579669188493
97,0,-3.0,0.030618910168036927
