,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
10,-3.0396598110480402e-06,2.8003542728190542e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T23-37-11.txt,-0.06300123707299289,1.4828683428768391e-34,1.0,0.0,0.4503863772809674,3.7359788244796697e-32,0.5925,7.414341441382129e-35
11,-3.0396598110480402e-06,2.8003542728190542e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-30T23-37-11.txt,-0.05417086712253636,1.2357235886126553e-35,1.0,3.1415926535897927,0.8954075474240729,4.211043785667695e-33,0.12,6.178617884048851e-36
12,-3.0396598110480402e-06,4.2005314092285815e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T03-05-13.txt,0.05253820206595613,8.571854681252984e-35,-1.0,0.0,0.35588260174419645,3.105449094136352e-32,0.5025,4.285927389010764e-35
13,-3.0396598110480402e-06,4.2005314092285815e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T03-05-13.txt,-0.04723773716454197,7.26012045943244e-36,-1.0,3.1415926535897927,0.8485586937936268,3.2536111063538354e-33,0.0775,3.6300602439811085e-36
14,-3.0396598110480402e-06,4.2005314092285815e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T03-05-13.txt,0.05253820206595613,8.571854681252984e-35,1.0,0.0,0.35588260174419645,3.105449094136352e-32,0.5025,4.285927389010764e-35
15,-3.0396598110480402e-06,4.2005314092285815e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T03-05-13.txt,-0.04723773716454197,7.26012045943244e-36,1.0,3.1415926535897927,0.8485586937936268,3.2536111063538354e-33,0.0775,3.6300602439811085e-36
16,-3.0396598110480402e-06,5.6007085456381085e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T06-24-51.txt,0.025018175151446963,8.540570791419056e-35,-1.0,0.0,0.6032487885847821,1.364506736796707e-31,0.5220833333333333,4.270285257818665e-35
17,-3.0396598110480402e-06,5.6007085456381085e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T06-24-51.txt,-0.04772784647941351,7.304724764359506e-36,-1.0,3.1415926535897927,0.4218379935297583,3.206713650709315e-33,0.07333333333333332,3.652362392958796e-36
18,-3.0396598110480402e-06,5.6007085456381085e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T06-24-51.txt,0.025018175151446963,8.540570791419056e-35,1.0,0.0,0.6032487885847821,1.364506736796707e-31,0.5220833333333333,4.270285257818665e-35
19,-3.0396598110480402e-06,5.6007085456381085e-12,C:\Users\edmag\Documents\Work\2D-Comp-Model\computation\results\2018-01-31T06-24-51.txt,-0.04772784647941351,7.304724764359506e-36,1.0,3.1415926535897927,0.4218379935297583,3.206713650709315e-33,0.07333333333333332,3.652362392958796e-36
