,E0,Ep,dL,phi,th_LRL,Error,n,wfinal
170,0.,1.4001771364095273e-12,-1,5.340707511102648,0,NOERR,1,4.7538905029065455e-6
195,0.,1.4001771364095273e-12,-1,6.126105674500097,0,NOERR,1,-7.62109692742709e-7
188,0.,1.4001771364095273e-12,-1,5.9061941887488105,0,NOERR,2,2.0447773921028595e-6
171,0.,1.4001771364095273e-12,-1,5.372123437638546,0,NOERR,2,1.1010375283281174e-6
177,0.,1.4001771364095273e-12,-1,5.5606189968539335,0,NOERR,3,-0.000054344826573730245
179,0.,1.4001771364095273e-12,-1,5.62345084992573,0,NOERR,2,-7.035894579922898e-7
