,E0,Ep,dL,phi,th_LRL
581,0.0,43.2,1.0,181.0,0.0
434,0.0,72.0,1.0,34.0,0.0
164,0.0,115.2,-1.0,164.0,0.0
414,0.0,144.0,1.0,14.0,0.0
439,-20.0,86.4,1.0,39.0,0.0
405,-20.0,100.8,1.0,5.0,0.0
483,-20.0,100.8,1.0,83.0,0.0
562,-20.0,100.8,1.0,162.0,0.0
561,-20.0,115.2,1.0,161.0,0.0
458,-20.0,187.2,1.0,58.0,0.0
3,-20.0,288.0,-1.0,3.0,0.0
31,-20.0,288.0,-1.0,31.0,0.0
73,-20.0,288.0,-1.0,73.0,0.0
410,-20.0,288.0,1.0,10.0,0.0
451,0.0,172.8,1.0,51.0,0.0
75,0.0,201.6,-1.0,75.0,0.0
2,0.0,230.4,-1.0,2.0,0.0
11,0.0,230.4,-1.0,11.0,0.0
448,0.0,230.4,1.0,48.0,0.0
41,-20.0,259.2,-1.0,41.0,0.0
