,E0,Ep,dL,phi,th_LRL
3682,0.,28.8,1.,82.,0.
3773,0.,28.8,1.,173.,0.
3774,0.,28.8,1.,174.,0.
3780,0.,28.8,1.,180.,0.
3895,0.,28.8,1.,95.,1.
3903,0.,28.8,1.,103.,1.
3906,0.,28.8,1.,106.,1.
3923,0.,28.8,1.,123.,1.
3936,0.,28.8,1.,136.,1.
3937,0.,28.8,1.,137.,1.
3939,0.,28.8,1.,139.,1.
4002,0.,36.,-1.,2.,0.
4013,0.,36.,-1.,13.,0.
4014,0.,36.,-1.,14.,0.
4019,0.,36.,-1.,19.,0.
4021,0.,36.,-1.,21.,0.
4030,0.,36.,-1.,30.,0.
4032,0.,36.,-1.,32.,0.
4034,0.,36.,-1.,34.,0.
4035,0.,36.,-1.,35.,0.
4036,0.,36.,-1.,36.,0.
4040,0.,36.,-1.,40.,0.
4054,0.,36.,-1.,54.,0.
4064,0.,36.,-1.,64.,0.
4081,0.,36.,-1.,81.,0.
4083,0.,36.,-1.,83.,0.
4161,0.,36.,-1.,161.,0.
4175,0.,36.,-1.,175.,0.
4176,0.,36.,-1.,176.,0.
4177,0.,36.,-1.,177.,0.
4185,0.,36.,-1.,185.,0.
4194,0.,36.,-1.,194.,0.
4309,0.,36.,-1.,109.,1.
4316,0.,36.,-1.,116.,1.
4318,0.,36.,-1.,118.,1.
4319,0.,36.,-1.,119.,1.
4321,0.,36.,-1.,121.,1.
4327,0.,36.,-1.,127.,1.
4328,0.,36.,-1.,128.,1.
4334,0.,36.,-1.,134.,1.
4402,0.,36.,1.,2.,0.
4413,0.,36.,1.,13.,0.
4414,0.,36.,1.,14.,0.
4419,0.,36.,1.,19.,0.
4421,0.,36.,1.,21.,0.
4430,0.,36.,1.,30.,0.
4432,0.,36.,1.,32.,0.
4434,0.,36.,1.,34.,0.
4435,0.,36.,1.,35.,0.
4436,0.,36.,1.,36.,0.
4440,0.,36.,1.,40.,0.
4454,0.,36.,1.,54.,0.
4464,0.,36.,1.,64.,0.
4481,0.,36.,1.,81.,0.
4483,0.,36.,1.,83.,0.
4561,0.,36.,1.,161.,0.
4575,0.,36.,1.,175.,0.
4576,0.,36.,1.,176.,0.
4577,0.,36.,1.,177.,0.
4585,0.,36.,1.,185.,0.
4594,0.,36.,1.,194.,0.
4709,0.,36.,1.,109.,1.
4716,0.,36.,1.,116.,1.
4718,0.,36.,1.,118.,1.
4719,0.,36.,1.,119.,1.
4721,0.,36.,1.,121.,1.
4727,0.,36.,1.,127.,1.
4728,0.,36.,1.,128.,1.
4734,0.,36.,1.,134.,1.
4804,0.,43.2,-1.,4.,0.
4807,0.,43.2,-1.,7.,0.
4808,0.,43.2,-1.,8.,0.
4811,0.,43.2,-1.,11.,0.
4816,0.,43.2,-1.,16.,0.
4818,0.,43.2,-1.,18.,0.
4823,0.,43.2,-1.,23.,0.
4826,0.,43.2,-1.,26.,0.
4848,0.,43.2,-1.,48.,0.
4862,0.,43.2,-1.,62.,0.
4863,0.,43.2,-1.,63.,0.
4864,0.,43.2,-1.,64.,0.
4876,0.,43.2,-1.,76.,0.
4885,0.,43.2,-1.,85.,0.
4957,0.,43.2,-1.,157.,0.
4961,0.,43.2,-1.,161.,0.
4976,0.,43.2,-1.,176.,0.
4977,0.,43.2,-1.,177.,0.
4981,0.,43.2,-1.,181.,0.
4982,0.,43.2,-1.,182.,0.
4988,0.,43.2,-1.,188.,0.
4992,0.,43.2,-1.,192.,0.
4996,0.,43.2,-1.,196.,0.
4997,0.,43.2,-1.,197.,0.
4998,0.,43.2,-1.,198.,0.
5105,0.,43.2,-1.,105.,1.
5120,0.,43.2,-1.,120.,1.
5125,0.,43.2,-1.,125.,1.
5204,0.,43.2,1.,4.,0.
5207,0.,43.2,1.,7.,0.
5208,0.,43.2,1.,8.,0.
5211,0.,43.2,1.,11.,0.
5216,0.,43.2,1.,16.,0.
