,E0,Ep,dL,phi,th_LRL
10748,-20.,0.,-1.,148.,1.
10826,-20.,0.,1.,26.,0.
10832,-20.,0.,1.,32.,0.
10845,-20.,0.,1.,45.,0.
10848,-20.,0.,1.,48.,0.
10987,-20.,0.,1.,187.,0.
11087,-20.,0.,1.,87.,1.
11126,-20.,0.,1.,126.,1.
11132,-20.,0.,1.,132.,1.
11145,-20.,0.,1.,145.,1.
11148,-20.,0.,1.,148.,1.
11241,-20.,7.2,-1.,41.,0.
11259,-20.,7.2,-1.,59.,0.
11286,-20.,7.2,-1.,86.,0.
11287,-20.,7.2,-1.,87.,0.
11353,-20.,7.2,-1.,153.,0.
11354,-20.,7.2,-1.,154.,0.
11355,-20.,7.2,-1.,155.,0.
11392,-20.,7.2,-1.,192.,0.
11478,-20.,7.2,-1.,78.,1.
11492,-20.,7.2,-1.,92.,1.
11504,-20.,7.2,-1.,104.,1.
11505,-20.,7.2,-1.,105.,1.
11522,-20.,7.2,-1.,122.,1.
11641,-20.,7.2,1.,41.,0.
11659,-20.,7.2,1.,59.,0.
11686,-20.,7.2,1.,86.,0.
11687,-20.,7.2,1.,87.,0.
11753,-20.,7.2,1.,153.,0.
11754,-20.,7.2,1.,154.,0.
11755,-20.,7.2,1.,155.,0.
11792,-20.,7.2,1.,192.,0.
11878,-20.,7.2,1.,78.,1.
11892,-20.,7.2,1.,92.,1.
11904,-20.,7.2,1.,104.,1.
11905,-20.,7.2,1.,105.,1.
11922,-20.,7.2,1.,122.,1.
12000,-20.,14.4,-1.,0.,0.
12005,-20.,14.4,-1.,5.,0.
12015,-20.,14.4,-1.,15.,0.
12029,-20.,14.4,-1.,29.,0.
12050,-20.,14.4,-1.,50.,0.
12059,-20.,14.4,-1.,59.,0.
12065,-20.,14.4,-1.,65.,0.
12066,-20.,14.4,-1.,66.,0.
12079,-20.,14.4,-1.,79.,0.
12083,-20.,14.4,-1.,83.,0.
12155,-20.,14.4,-1.,155.,0.
12159,-20.,14.4,-1.,159.,0.
12171,-20.,14.4,-1.,171.,0.
12276,-20.,14.4,-1.,76.,1.
12279,-20.,14.4,-1.,79.,1.
12300,-20.,14.4,-1.,100.,1.
12313,-20.,14.4,-1.,113.,1.
12326,-20.,14.4,-1.,126.,1.
12343,-20.,14.4,-1.,143.,1.
12350,-20.,14.4,-1.,150.,1.
12363,-20.,14.4,-1.,163.,1.
12400,-20.,14.4,1.,0.,0.
12405,-20.,14.4,1.,5.,0.
12415,-20.,14.4,1.,15.,0.
12429,-20.,14.4,1.,29.,0.
12450,-20.,14.4,1.,50.,0.
12459,-20.,14.4,1.,59.,0.
12465,-20.,14.4,1.,65.,0.
12466,-20.,14.4,1.,66.,0.
12479,-20.,14.4,1.,79.,0.
12483,-20.,14.4,1.,83.,0.
12555,-20.,14.4,1.,155.,0.
12559,-20.,14.4,1.,159.,0.
12571,-20.,14.4,1.,171.,0.
12676,-20.,14.4,1.,76.,1.
12679,-20.,14.4,1.,79.,1.
12700,-20.,14.4,1.,100.,1.
12713,-20.,14.4,1.,113.,1.
12726,-20.,14.4,1.,126.,1.
12743,-20.,14.4,1.,143.,1.
12750,-20.,14.4,1.,150.,1.
12763,-20.,14.4,1.,163.,1.
12800,-20.,21.6,-1.,0.,0.
12802,-20.,21.6,-1.,2.,0.
12803,-20.,21.6,-1.,3.,0.
12809,-20.,21.6,-1.,9.,0.
12818,-20.,21.6,-1.,18.,0.
12825,-20.,21.6,-1.,25.,0.
12834,-20.,21.6,-1.,34.,0.
12843,-20.,21.6,-1.,43.,0.
12845,-20.,21.6,-1.,45.,0.
12853,-20.,21.6,-1.,53.,0.
12859,-20.,21.6,-1.,59.,0.
12861,-20.,21.6,-1.,61.,0.
12863,-20.,21.6,-1.,63.,0.
12866,-20.,21.6,-1.,66.,0.
12870,-20.,21.6,-1.,70.,0.
12878,-20.,21.6,-1.,78.,0.
12954,-20.,21.6,-1.,154.,0.
12956,-20.,21.6,-1.,156.,0.
12961,-20.,21.6,-1.,161.,0.
12966,-20.,21.6,-1.,166.,0.
12967,-20.,21.6,-1.,167.,0.
12974,-20.,21.6,-1.,174.,0.
12985,-20.,21.6,-1.,185.,0.
12991,-20.,21.6,-1.,191.,0.
12992,-20.,21.6,-1.,192.,0.
13076,-20.,21.6,-1.,76.,1.
13079,-20.,21.6,-1.,79.,1.
13080,-20.,21.6,-1.,80.,1.
13148,-20.,21.6,-1.,148.,1.
13155,-20.,21.6,-1.,155.,1.
13161,-20.,21.6,-1.,161.,1.
13200,-20.,21.6,1.,0.,0.
13202,-20.,21.6,1.,2.,0.
13203,-20.,21.6,1.,3.,0.
13209,-20.,21.6,1.,9.,0.
13218,-20.,21.6,1.,18.,0.
13225,-20.,21.6,1.,25.,0.
13234,-20.,21.6,1.,34.,0.
13243,-20.,21.6,1.,43.,0.
13245,-20.,21.6,1.,45.,0.
13253,-20.,21.6,1.,53.,0.
13259,-20.,21.6,1.,59.,0.
13261,-20.,21.6,1.,61.,0.
13263,-20.,21.6,1.,63.,0.
13266,-20.,21.6,1.,66.,0.
13270,-20.,21.6,1.,70.,0.
13278,-20.,21.6,1.,78.,0.
13354,-20.,21.6,1.,154.,0.
13356,-20.,21.6,1.,156.,0.
13361,-20.,21.6,1.,161.,0.
13366,-20.,21.6,1.,166.,0.
13367,-20.,21.6,1.,167.,0.
13374,-20.,21.6,1.,174.,0.
13385,-20.,21.6,1.,185.,0.
13391,-20.,21.6,1.,191.,0.
13392,-20.,21.6,1.,192.,0.
13476,-20.,21.6,1.,76.,1.
13479,-20.,21.6,1.,79.,1.
13480,-20.,21.6,1.,80.,1.
13548,-20.,21.6,1.,148.,1.
13555,-20.,21.6,1.,155.,1.
13561,-20.,21.6,1.,161.,1.
13605,-20.,28.8,-1.,5.,0.
13607,-20.,28.8,-1.,7.,0.
13623,-20.,28.8,-1.,23.,0.
13625,-20.,28.8,-1.,25.,0.
13633,-20.,28.8,-1.,33.,0.
13635,-20.,28.8,-1.,35.,0.
13644,-20.,28.8,-1.,44.,0.
13646,-20.,28.8,-1.,46.,0.
13653,-20.,28.8,-1.,53.,0.
13660,-20.,28.8,-1.,60.,0.
13661,-20.,28.8,-1.,61.,0.
13663,-20.,28.8,-1.,63.,0.
13670,-20.,28.8,-1.,70.,0.
13679,-20.,28.8,-1.,79.,0.
13682,-20.,28.8,-1.,82.,0.
13692,-20.,28.8,-1.,92.,0.
13757,-20.,28.8,-1.,157.,0.
13758,-20.,28.8,-1.,158.,0.
13759,-20.,28.8,-1.,159.,0.
13778,-20.,28.8,-1.,178.,0.
13779,-20.,28.8,-1.,179.,0.
13782,-20.,28.8,-1.,182.,0.
13790,-20.,28.8,-1.,190.,0.
13882,-20.,28.8,-1.,82.,1.
13883,-20.,28.8,-1.,83.,1.
13907,-20.,28.8,-1.,107.,1.
13909,-20.,28.8,-1.,109.,1.
13932,-20.,28.8,-1.,132.,1.
13938,-20.,28.8,-1.,138.,1.
14005,-20.,28.8,1.,5.,0.
14007,-20.,28.8,1.,7.,0.
14023,-20.,28.8,1.,23.,0.
14025,-20.,28.8,1.,25.,0.
14033,-20.,28.8,1.,33.,0.
14035,-20.,28.8,1.,35.,0.
14044,-20.,28.8,1.,44.,0.
14046,-20.,28.8,1.,46.,0.
14053,-20.,28.8,1.,53.,0.
14060,-20.,28.8,1.,60.,0.
14061,-20.,28.8,1.,61.,0.
14063,-20.,28.8,1.,63.,0.
14070,-20.,28.8,1.,70.,0.
14079,-20.,28.8,1.,79.,0.
14082,-20.,28.8,1.,82.,0.
14092,-20.,28.8,1.,92.,0.
14157,-20.,28.8,1.,157.,0.
14158,-20.,28.8,1.,158.,0.
14159,-20.,28.8,1.,159.,0.
14178,-20.,28.8,1.,178.,0.
14179,-20.,28.8,1.,179.,0.
14182,-20.,28.8,1.,182.,0.
14190,-20.,28.8,1.,190.,0.
14282,-20.,28.8,1.,82.,1.
14283,-20.,28.8,1.,83.,1.
14307,-20.,28.8,1.,107.,1.
14309,-20.,28.8,1.,109.,1.
14332,-20.,28.8,1.,132.,1.
14338,-20.,28.8,1.,138.,1.
14403,-20.,36.,-1.,3.,0.
14408,-20.,36.,-1.,8.,0.
14409,-20.,36.,-1.,9.,0.
14413,-20.,36.,-1.,13.,0.
14419,-20.,36.,-1.,19.,0.
14423,-20.,36.,-1.,23.,0.
14427,-20.,36.,-1.,27.,0.
14430,-20.,36.,-1.,30.,0.
14442,-20.,36.,-1.,42.,0.
14467,-20.,36.,-1.,67.,0.
14469,-20.,36.,-1.,69.,0.
14471,-20.,36.,-1.,71.,0.
14475,-20.,36.,-1.,75.,0.
14482,-20.,36.,-1.,82.,0.
14486,-20.,36.,-1.,86.,0.
14494,-20.,36.,-1.,94.,0.
14531,-20.,36.,-1.,131.,0.
14547,-20.,36.,-1.,147.,0.
14550,-20.,36.,-1.,150.,0.
14556,-20.,36.,-1.,156.,0.
14558,-20.,36.,-1.,158.,0.
14559,-20.,36.,-1.,159.,0.
14562,-20.,36.,-1.,162.,0.
14563,-20.,36.,-1.,163.,0.
14564,-20.,36.,-1.,164.,0.
14565,-20.,36.,-1.,165.,0.
14568,-20.,36.,-1.,168.,0.
14569,-20.,36.,-1.,169.,0.
14574,-20.,36.,-1.,174.,0.
14578,-20.,36.,-1.,178.,0.
14582,-20.,36.,-1.,182.,0.
14592,-20.,36.,-1.,192.,0.
14593,-20.,36.,-1.,193.,0.
14596,-20.,36.,-1.,196.,0.
14681,-20.,36.,-1.,81.,1.
14687,-20.,36.,-1.,87.,1.
14695,-20.,36.,-1.,95.,1.
14698,-20.,36.,-1.,98.,1.
14703,-20.,36.,-1.,103.,1.
14708,-20.,36.,-1.,108.,1.
14731,-20.,36.,-1.,131.,1.
14740,-20.,36.,-1.,140.,1.
14748,-20.,36.,-1.,148.,1.
14752,-20.,36.,-1.,152.,1.
14803,-20.,36.,1.,3.,0.
14808,-20.,36.,1.,8.,0.
14809,-20.,36.,1.,9.,0.
14813,-20.,36.,1.,13.,0.
14819,-20.,36.,1.,19.,0.
14823,-20.,36.,1.,23.,0.
14827,-20.,36.,1.,27.,0.
14830,-20.,36.,1.,30.,0.
14842,-20.,36.,1.,42.,0.
14867,-20.,36.,1.,67.,0.
14869,-20.,36.,1.,69.,0.
14871,-20.,36.,1.,71.,0.
14875,-20.,36.,1.,75.,0.
14882,-20.,36.,1.,82.,0.
14886,-20.,36.,1.,86.,0.
14894,-20.,36.,1.,94.,0.
14931,-20.,36.,1.,131.,0.
14947,-20.,36.,1.,147.,0.
14950,-20.,36.,1.,150.,0.
14956,-20.,36.,1.,156.,0.
14958,-20.,36.,1.,158.,0.
14959,-20.,36.,1.,159.,0.
14962,-20.,36.,1.,162.,0.
14963,-20.,36.,1.,163.,0.
14964,-20.,36.,1.,164.,0.
14965,-20.,36.,1.,165.,0.
14968,-20.,36.,1.,168.,0.
14969,-20.,36.,1.,169.,0.
14974,-20.,36.,1.,174.,0.
14978,-20.,36.,1.,178.,0.
14982,-20.,36.,1.,182.,0.
14992,-20.,36.,1.,192.,0.
14993,-20.,36.,1.,193.,0.
14996,-20.,36.,1.,196.,0.
15081,-20.,36.,1.,81.,1.
15087,-20.,36.,1.,87.,1.
15095,-20.,36.,1.,95.,1.
15098,-20.,36.,1.,98.,1.
15103,-20.,36.,1.,103.,1.
15108,-20.,36.,1.,108.,1.
15131,-20.,36.,1.,131.,1.
15140,-20.,36.,1.,140.,1.
15148,-20.,36.,1.,148.,1.
15152,-20.,36.,1.,152.,1.
15205,-20.,43.2,-1.,5.,0.
15208,-20.,43.2,-1.,8.,0.
15209,-20.,43.2,-1.,9.,0.
15210,-20.,43.2,-1.,10.,0.
15225,-20.,43.2,-1.,25.,0.
15233,-20.,43.2,-1.,33.,0.
15247,-20.,43.2,-1.,47.,0.
15254,-20.,43.2,-1.,54.,0.
15263,-20.,43.2,-1.,63.,0.
15265,-20.,43.2,-1.,65.,0.
15266,-20.,43.2,-1.,66.,0.
15273,-20.,43.2,-1.,73.,0.
15279,-20.,43.2,-1.,79.,0.
15281,-20.,43.2,-1.,81.,0.
15294,-20.,43.2,-1.,94.,0.
15328,-20.,43.2,-1.,128.,0.
15331,-20.,43.2,-1.,131.,0.
15337,-20.,43.2,-1.,137.,0.
15340,-20.,43.2,-1.,140.,0.
15347,-20.,43.2,-1.,147.,0.
15357,-20.,43.2,-1.,157.,0.
15358,-20.,43.2,-1.,158.,0.
15359,-20.,43.2,-1.,159.,0.
15360,-20.,43.2,-1.,160.,0.
15372,-20.,43.2,-1.,172.,0.
15375,-20.,43.2,-1.,175.,0.
15376,-20.,43.2,-1.,176.,0.
15380,-20.,43.2,-1.,180.,0.
15383,-20.,43.2,-1.,183.,0.
15384,-20.,43.2,-1.,184.,0.
15385,-20.,43.2,-1.,185.,0.
15389,-20.,43.2,-1.,189.,0.
15392,-20.,43.2,-1.,192.,0.
15393,-20.,43.2,-1.,193.,0.
15496,-20.,43.2,-1.,96.,1.
15527,-20.,43.2,-1.,127.,1.
15534,-20.,43.2,-1.,134.,1.
15538,-20.,43.2,-1.,138.,1.
15551,-20.,43.2,-1.,151.,1.
15605,-20.,43.2,1.,5.,0.
15608,-20.,43.2,1.,8.,0.
15609,-20.,43.2,1.,9.,0.
15610,-20.,43.2,1.,10.,0.
15625,-20.,43.2,1.,25.,0.
15633,-20.,43.2,1.,33.,0.
15647,-20.,43.2,1.,47.,0.
15654,-20.,43.2,1.,54.,0.
15663,-20.,43.2,1.,63.,0.
15665,-20.,43.2,1.,65.,0.
15666,-20.,43.2,1.,66.,0.
15673,-20.,43.2,1.,73.,0.
15679,-20.,43.2,1.,79.,0.
15681,-20.,43.2,1.,81.,0.
15694,-20.,43.2,1.,94.,0.
15728,-20.,43.2,1.,128.,0.
15731,-20.,43.2,1.,131.,0.
15737,-20.,43.2,1.,137.,0.
15740,-20.,43.2,1.,140.,0.
15747,-20.,43.2,1.,147.,0.
15757,-20.,43.2,1.,157.,0.
15758,-20.,43.2,1.,158.,0.
15759,-20.,43.2,1.,159.,0.
15760,-20.,43.2,1.,160.,0.
15772,-20.,43.2,1.,172.,0.
15775,-20.,43.2,1.,175.,0.
15776,-20.,43.2,1.,176.,0.
15780,-20.,43.2,1.,180.,0.
15783,-20.,43.2,1.,183.,0.
15784,-20.,43.2,1.,184.,0.
15785,-20.,43.2,1.,185.,0.
15789,-20.,43.2,1.,189.,0.
15792,-20.,43.2,1.,192.,0.
15793,-20.,43.2,1.,193.,0.
15896,-20.,43.2,1.,96.,1.
15927,-20.,43.2,1.,127.,1.
15934,-20.,43.2,1.,134.,1.
15938,-20.,43.2,1.,138.,1.
15951,-20.,43.2,1.,151.,1.
16000,-20.,57.6,-1.,0.,0.
16004,-20.,57.6,-1.,4.,0.
16009,-20.,57.6,-1.,9.,0.
16020,-20.,57.6,-1.,20.,0.
16025,-20.,57.6,-1.,25.,0.
16026,-20.,57.6,-1.,26.,0.
16027,-20.,57.6,-1.,27.,0.
16036,-20.,57.6,-1.,36.,0.
16038,-20.,57.6,-1.,38.,0.
16042,-20.,57.6,-1.,42.,0.
16043,-20.,57.6,-1.,43.,0.
16056,-20.,57.6,-1.,56.,0.
16061,-20.,57.6,-1.,61.,0.
16075,-20.,57.6,-1.,75.,0.
16077,-20.,57.6,-1.,77.,0.
16078,-20.,57.6,-1.,78.,0.
16081,-20.,57.6,-1.,81.,0.
16082,-20.,57.6,-1.,82.,0.
16086,-20.,57.6,-1.,86.,0.
16091,-20.,57.6,-1.,91.,0.
16094,-20.,57.6,-1.,94.,0.
16101,-20.,57.6,-1.,101.,0.
16105,-20.,57.6,-1.,105.,0.
16119,-20.,57.6,-1.,119.,0.
16124,-20.,57.6,-1.,124.,0.
16140,-20.,57.6,-1.,140.,0.
16145,-20.,57.6,-1.,145.,0.
16156,-20.,57.6,-1.,156.,0.
16160,-20.,57.6,-1.,160.,0.
16165,-20.,57.6,-1.,165.,0.
16178,-20.,57.6,-1.,178.,0.
16181,-20.,57.6,-1.,181.,0.
16184,-20.,57.6,-1.,184.,0.
16186,-20.,57.6,-1.,186.,0.
16187,-20.,57.6,-1.,187.,0.
16192,-20.,57.6,-1.,192.,0.
16196,-20.,57.6,-1.,196.,0.
16197,-20.,57.6,-1.,197.,0.
16198,-20.,57.6,-1.,198.,0.
16288,-20.,57.6,-1.,88.,1.
16289,-20.,57.6,-1.,89.,1.
16295,-20.,57.6,-1.,95.,1.
16301,-20.,57.6,-1.,101.,1.
16310,-20.,57.6,-1.,110.,1.
16312,-20.,57.6,-1.,112.,1.
16326,-20.,57.6,-1.,126.,1.
16330,-20.,57.6,-1.,130.,1.
16346,-20.,57.6,-1.,146.,1.
16400,-20.,57.6,1.,0.,0.
16404,-20.,57.6,1.,4.,0.
16409,-20.,57.6,1.,9.,0.
16420,-20.,57.6,1.,20.,0.
16425,-20.,57.6,1.,25.,0.
16426,-20.,57.6,1.,26.,0.
16427,-20.,57.6,1.,27.,0.
16436,-20.,57.6,1.,36.,0.
16438,-20.,57.6,1.,38.,0.
16442,-20.,57.6,1.,42.,0.
16443,-20.,57.6,1.,43.,0.
16456,-20.,57.6,1.,56.,0.
16461,-20.,57.6,1.,61.,0.
16475,-20.,57.6,1.,75.,0.
16477,-20.,57.6,1.,77.,0.
16478,-20.,57.6,1.,78.,0.
16481,-20.,57.6,1.,81.,0.
16482,-20.,57.6,1.,82.,0.
16486,-20.,57.6,1.,86.,0.
16491,-20.,57.6,1.,91.,0.
16494,-20.,57.6,1.,94.,0.
16501,-20.,57.6,1.,101.,0.
16505,-20.,57.6,1.,105.,0.
16519,-20.,57.6,1.,119.,0.
16524,-20.,57.6,1.,124.,0.
16540,-20.,57.6,1.,140.,0.
16545,-20.,57.6,1.,145.,0.
16556,-20.,57.6,1.,156.,0.
16560,-20.,57.6,1.,160.,0.
16565,-20.,57.6,1.,165.,0.
16578,-20.,57.6,1.,178.,0.
16581,-20.,57.6,1.,181.,0.
16584,-20.,57.6,1.,184.,0.
16586,-20.,57.6,1.,186.,0.
16587,-20.,57.6,1.,187.,0.
16592,-20.,57.6,1.,192.,0.
16596,-20.,57.6,1.,196.,0.
16597,-20.,57.6,1.,197.,0.
16598,-20.,57.6,1.,198.,0.
16688,-20.,57.6,1.,88.,1.
16689,-20.,57.6,1.,89.,1.
16695,-20.,57.6,1.,95.,1.
16701,-20.,57.6,1.,101.,1.
16710,-20.,57.6,1.,110.,1.
16712,-20.,57.6,1.,112.,1.
16726,-20.,57.6,1.,126.,1.
16730,-20.,57.6,1.,130.,1.
16746,-20.,57.6,1.,146.,1.
16802,-20.,72.,-1.,2.,0.
16804,-20.,72.,-1.,4.,0.
16807,-20.,72.,-1.,7.,0.
16808,-20.,72.,-1.,8.,0.
16817,-20.,72.,-1.,17.,0.
16823,-20.,72.,-1.,23.,0.
16825,-20.,72.,-1.,25.,0.
16831,-20.,72.,-1.,31.,0.
16834,-20.,72.,-1.,34.,0.
16835,-20.,72.,-1.,35.,0.
16841,-20.,72.,-1.,41.,0.
16846,-20.,72.,-1.,46.,0.
16849,-20.,72.,-1.,49.,0.
16850,-20.,72.,-1.,50.,0.
16863,-20.,72.,-1.,63.,0.
16867,-20.,72.,-1.,67.,0.
16873,-20.,72.,-1.,73.,0.
16875,-20.,72.,-1.,75.,0.
16878,-20.,72.,-1.,78.,0.
16880,-20.,72.,-1.,80.,0.
16881,-20.,72.,-1.,81.,0.
16887,-20.,72.,-1.,87.,0.
16903,-20.,72.,-1.,103.,0.
16917,-20.,72.,-1.,117.,0.
16918,-20.,72.,-1.,118.,0.
16935,-20.,72.,-1.,135.,0.
16941,-20.,72.,-1.,141.,0.
16959,-20.,72.,-1.,159.,0.
16961,-20.,72.,-1.,161.,0.
16962,-20.,72.,-1.,162.,0.
16964,-20.,72.,-1.,164.,0.
16972,-20.,72.,-1.,172.,0.
16975,-20.,72.,-1.,175.,0.
16976,-20.,72.,-1.,176.,0.
16985,-20.,72.,-1.,185.,0.
16986,-20.,72.,-1.,186.,0.
16991,-20.,72.,-1.,191.,0.
16993,-20.,72.,-1.,193.,0.
16995,-20.,72.,-1.,195.,0.
16997,-20.,72.,-1.,197.,0.
16999,-20.,72.,-1.,199.,0.
17098,-20.,72.,-1.,98.,1.
17099,-20.,72.,-1.,99.,1.
17102,-20.,72.,-1.,102.,1.
17104,-20.,72.,-1.,104.,1.
17113,-20.,72.,-1.,113.,1.
17114,-20.,72.,-1.,114.,1.
17127,-20.,72.,-1.,127.,1.
17136,-20.,72.,-1.,136.,1.
17140,-20.,72.,-1.,140.,1.
17202,-20.,72.,1.,2.,0.
17204,-20.,72.,1.,4.,0.
17207,-20.,72.,1.,7.,0.
17208,-20.,72.,1.,8.,0.
17217,-20.,72.,1.,17.,0.
17223,-20.,72.,1.,23.,0.
17225,-20.,72.,1.,25.,0.
17231,-20.,72.,1.,31.,0.
17234,-20.,72.,1.,34.,0.
17235,-20.,72.,1.,35.,0.
17241,-20.,72.,1.,41.,0.
17246,-20.,72.,1.,46.,0.
17249,-20.,72.,1.,49.,0.
17250,-20.,72.,1.,50.,0.
17263,-20.,72.,1.,63.,0.
17267,-20.,72.,1.,67.,0.
17273,-20.,72.,1.,73.,0.
17275,-20.,72.,1.,75.,0.
17278,-20.,72.,1.,78.,0.
17280,-20.,72.,1.,80.,0.
17281,-20.,72.,1.,81.,0.
17287,-20.,72.,1.,87.,0.
17303,-20.,72.,1.,103.,0.
17317,-20.,72.,1.,117.,0.
17318,-20.,72.,1.,118.,0.
17335,-20.,72.,1.,135.,0.
17341,-20.,72.,1.,141.,0.
17359,-20.,72.,1.,159.,0.
17361,-20.,72.,1.,161.,0.
17362,-20.,72.,1.,162.,0.
17364,-20.,72.,1.,164.,0.
17372,-20.,72.,1.,172.,0.
17375,-20.,72.,1.,175.,0.
17376,-20.,72.,1.,176.,0.
17385,-20.,72.,1.,185.,0.
17386,-20.,72.,1.,186.,0.
17391,-20.,72.,1.,191.,0.
17393,-20.,72.,1.,193.,0.
17395,-20.,72.,1.,195.,0.
17397,-20.,72.,1.,197.,0.
17399,-20.,72.,1.,199.,0.
17498,-20.,72.,1.,98.,1.
17499,-20.,72.,1.,99.,1.
17502,-20.,72.,1.,102.,1.
17504,-20.,72.,1.,104.,1.
17513,-20.,72.,1.,113.,1.
17514,-20.,72.,1.,114.,1.
17527,-20.,72.,1.,127.,1.
17536,-20.,72.,1.,136.,1.
17540,-20.,72.,1.,140.,1.
17600,-20.,86.4,-1.,0.,0.
17603,-20.,86.4,-1.,3.,0.
17609,-20.,86.4,-1.,9.,0.
17610,-20.,86.4,-1.,10.,0.
17612,-20.,86.4,-1.,12.,0.
17622,-20.,86.4,-1.,22.,0.
17623,-20.,86.4,-1.,23.,0.
17624,-20.,86.4,-1.,24.,0.
17625,-20.,86.4,-1.,25.,0.
17629,-20.,86.4,-1.,29.,0.
17631,-20.,86.4,-1.,31.,0.
17634,-20.,86.4,-1.,34.,0.
17635,-20.,86.4,-1.,35.,0.
17638,-20.,86.4,-1.,38.,0.
17639,-20.,86.4,-1.,39.,0.
17640,-20.,86.4,-1.,40.,0.
17644,-20.,86.4,-1.,44.,0.
17649,-20.,86.4,-1.,49.,0.
17662,-20.,86.4,-1.,62.,0.
17671,-20.,86.4,-1.,71.,0.
17675,-20.,86.4,-1.,75.,0.
17679,-20.,86.4,-1.,79.,0.
17682,-20.,86.4,-1.,82.,0.
17702,-20.,86.4,-1.,102.,0.
17714,-20.,86.4,-1.,114.,0.
17724,-20.,86.4,-1.,124.,0.
17727,-20.,86.4,-1.,127.,0.
17751,-20.,86.4,-1.,151.,0.
17756,-20.,86.4,-1.,156.,0.
17757,-20.,86.4,-1.,157.,0.
17759,-20.,86.4,-1.,159.,0.
17761,-20.,86.4,-1.,161.,0.
17762,-20.,86.4,-1.,162.,0.
17765,-20.,86.4,-1.,165.,0.
17767,-20.,86.4,-1.,167.,0.
17769,-20.,86.4,-1.,169.,0.
17772,-20.,86.4,-1.,172.,0.
17773,-20.,86.4,-1.,173.,0.
17774,-20.,86.4,-1.,174.,0.
17775,-20.,86.4,-1.,175.,0.
17777,-20.,86.4,-1.,177.,0.
17780,-20.,86.4,-1.,180.,0.
17781,-20.,86.4,-1.,181.,0.
17782,-20.,86.4,-1.,182.,0.
17785,-20.,86.4,-1.,185.,0.
17786,-20.,86.4,-1.,186.,0.
17790,-20.,86.4,-1.,190.,0.
17794,-20.,86.4,-1.,194.,0.
17799,-20.,86.4,-1.,199.,0.
17903,-20.,86.4,-1.,103.,1.
17906,-20.,86.4,-1.,106.,1.
17910,-20.,86.4,-1.,110.,1.
17911,-20.,86.4,-1.,111.,1.
17914,-20.,86.4,-1.,114.,1.
17921,-20.,86.4,-1.,121.,1.
17929,-20.,86.4,-1.,129.,1.
17933,-20.,86.4,-1.,133.,1.
17934,-20.,86.4,-1.,134.,1.
18000,-20.,86.4,1.,0.,0.
18003,-20.,86.4,1.,3.,0.
18009,-20.,86.4,1.,9.,0.
18010,-20.,86.4,1.,10.,0.
18012,-20.,86.4,1.,12.,0.
18022,-20.,86.4,1.,22.,0.
18023,-20.,86.4,1.,23.,0.
18024,-20.,86.4,1.,24.,0.
18025,-20.,86.4,1.,25.,0.
18029,-20.,86.4,1.,29.,0.
18031,-20.,86.4,1.,31.,0.
18034,-20.,86.4,1.,34.,0.
18035,-20.,86.4,1.,35.,0.
18038,-20.,86.4,1.,38.,0.
18039,-20.,86.4,1.,39.,0.
18040,-20.,86.4,1.,40.,0.
18044,-20.,86.4,1.,44.,0.
18049,-20.,86.4,1.,49.,0.
18062,-20.,86.4,1.,62.,0.
18071,-20.,86.4,1.,71.,0.
18075,-20.,86.4,1.,75.,0.
18079,-20.,86.4,1.,79.,0.
18082,-20.,86.4,1.,82.,0.
18102,-20.,86.4,1.,102.,0.
18114,-20.,86.4,1.,114.,0.
18124,-20.,86.4,1.,124.,0.
18127,-20.,86.4,1.,127.,0.
18151,-20.,86.4,1.,151.,0.
18156,-20.,86.4,1.,156.,0.
18157,-20.,86.4,1.,157.,0.
18159,-20.,86.4,1.,159.,0.
18161,-20.,86.4,1.,161.,0.
18162,-20.,86.4,1.,162.,0.
18165,-20.,86.4,1.,165.,0.
18167,-20.,86.4,1.,167.,0.
18169,-20.,86.4,1.,169.,0.
18172,-20.,86.4,1.,172.,0.
18173,-20.,86.4,1.,173.,0.
18174,-20.,86.4,1.,174.,0.
18175,-20.,86.4,1.,175.,0.
18177,-20.,86.4,1.,177.,0.
18180,-20.,86.4,1.,180.,0.
18181,-20.,86.4,1.,181.,0.
18182,-20.,86.4,1.,182.,0.
18185,-20.,86.4,1.,185.,0.
18186,-20.,86.4,1.,186.,0.
18190,-20.,86.4,1.,190.,0.
18194,-20.,86.4,1.,194.,0.
18199,-20.,86.4,1.,199.,0.
18303,-20.,86.4,1.,103.,1.
18306,-20.,86.4,1.,106.,1.
18310,-20.,86.4,1.,110.,1.
18311,-20.,86.4,1.,111.,1.
18314,-20.,86.4,1.,114.,1.
18321,-20.,86.4,1.,121.,1.
18329,-20.,86.4,1.,129.,1.
18333,-20.,86.4,1.,133.,1.
18334,-20.,86.4,1.,134.,1.
18400,-20.,100.8,-1.,0.,0.
18403,-20.,100.8,-1.,3.,0.
18404,-20.,100.8,-1.,4.,0.
18405,-20.,100.8,-1.,5.,0.
18412,-20.,100.8,-1.,12.,0.
18417,-20.,100.8,-1.,17.,0.
18420,-20.,100.8,-1.,20.,0.
18422,-20.,100.8,-1.,22.,0.
18430,-20.,100.8,-1.,30.,0.
18437,-20.,100.8,-1.,37.,0.
18451,-20.,100.8,-1.,51.,0.
18452,-20.,100.8,-1.,52.,0.
18455,-20.,100.8,-1.,55.,0.
18465,-20.,100.8,-1.,65.,0.
