,E0,Ep,dL,phi,th_LRL,Error,n,wfinal
3903.,0.,5.600708545638109e-12,1.,3.235840433197487,3.141592653589793,NOERR,1,2.1772702971199725e-6
4961.,0.,8.401062818457165e-12,-1.,5.057964172279568,0.,NOERR,1,-5.920642549633332e-6
4976.,0.,8.401062818457165e-12,-1.,5.529203070318036,0.,NOERR,2,0.000012675615696983482
3906.,0.,5.600708545638109e-12,1.,3.330088212805181,3.141592653589793,NOERR,1,2.4302421940303407e-6
4977.,0.,8.401062818457165e-12,-1.,5.5606189968539335,0.,NOERR,2,-1.83939148878659e-6
3923.,0.,5.600708545638109e-12,1.,3.8641589639154454,3.141592653589793,NOERR,2,1.2893311306474325e-6
3936.,0.,5.600708545638109e-12,1.,4.272566008882119,3.141592653589793,NOERR,2,4.172376107821093e-6
4981.,0.,8.401062818457165e-12,-1.,5.686282702997525,0.,NOERR,2,-6.689535734706701e-6
2181.,0.,2.8003542728190546e-12,1.,5.686282702997525,0.,ShortOrb,2,-0.00006899808151350495
4982.,0.,8.401062818457165e-12,-1.,5.717698629533424,0.,ShortOrb,3,-0.00004526982886177687
2291.,0.,2.8003542728190546e-12,1.,2.858849314766712,3.141592653589793,NOERR,1,2.3440105194148446e-6
23.,0.,1.4001771364095273e-12,-1.,0.7225663103256524,0.,NOERR,2,-0.000027775676880311168
4988.,0.,8.401062818457165e-12,-1.,5.9061941887488105,0.,NOERR,2,-1.3581762131316278e-6
2349.,0.,2.8003542728190546e-12,1.,4.680973053848792,3.141592653589793,NOERR,6,-3.2642754228285793e-6
3937.,0.,5.600708545638109e-12,1.,4.303981935418017,3.141592653589793,NOERR,1,-0.000013372219097008426
4992.,0.,8.401062818457165e-12,-1.,6.031857894892402,0.,NOERR,2,-1.2725829560099676e-6
2402.,0.,4.200531409228582e-12,-1.,0.06283185307179587,0.,NOERR,1,-4.734684108319282e-7
4996.,0.,8.401062818457165e-12,-1.,6.157521601035994,0.,NOERR,1,-2.7129438570608964e-8
2404.,0.,4.200531409228582e-12,-1.,0.12566370614359174,0.,NOERR,1,-4.756389299647892e-7
4997.,0.,8.401062818457165e-12,-1.,6.188937527571892,0.,NOERR,1,6.4367499412566725e-6
2412.,0.,4.200531409228582e-12,-1.,0.37699111843077515,0.,NOERR,2,-1.2648557108213996e-6
4998.,0.,8.401062818457165e-12,-1.,6.220353454107791,0.,ShortOrb,2,-0.000048160161163666396
5105.,0.,8.401062818457165e-12,-1.,3.2986722862692828,3.141592653589793,NOERR,2,5.354265637723625e-6
27.,0.,1.4001771364095273e-12,-1.,0.8482300164692442,0.,NOERR,2,-0.000019917021839781586
5120.,0.,8.401062818457165e-12,-1.,3.7699111843077517,3.141592653589793,NOERR,2,1.924228846273829e-6
5125.,0.,8.401062818457165e-12,-1.,3.9269908169872414,3.141592653589793,NOERR,2,2.996111620887113e-6
3939.,0.,5.600708545638109e-12,1.,4.366813788489812,3.141592653589793,ShortOrb,3,-0.00003635467595319852
5204.,0.,8.401062818457165e-12,1.,0.12566370614359174,0.,NOERR,1,-1.2366414030554033e-6
5207.,0.,8.401062818457165e-12,1.,0.21991148575128555,0.,NOERR,1,2.9575888577726774e-6
