,E0,Ep,dL,phi,th_LRL,Error,n,wfinal
458.,-3.0396598110480402e-6,3.640460554664771e-11,1.,1.82212373908208,0.,ShortOrb,4,-0.00005091396832251895
414.,0.,2.8003542728190545e-11,1.,0.4398229715025711,0.,NOERR,2,4.337698435007575e-6
581.,0.,8.401062818457165e-12,1.,5.686282702997525,0.,NOERR,2,-5.557451420267158e-6
483.,-3.0396598110480402e-6,1.9602479909733385e-11,1.,2.607521902479528,0.,NOERR,1,-2.4593149031157473e-6
439.,-3.0396598110480402e-6,1.680212563691433e-11,1.,1.2252211349000193,0.,NOERR,1,-1.3574530079666834e-6
562.,-3.0396598110480402e-6,1.9602479909733385e-11,1.,5.089380098815465,0.,NOERR,2,-5.343022446306253e-7
561.,-3.0396598110480402e-6,2.2402834182552437e-11,1.,5.057964172279568,0.,NOERR,2,2.608621740024397e-7
434.,0.,1.4001771364095272e-11,1.,1.0681415022205298,0.,NOERR,2,1.6771218199551974e-6
405.,-3.0396598110480402e-6,1.9602479909733385e-11,1.,0.15707963267948966,0.,NOERR,1,-3.211386725582389e-6
164.,0.,2.2402834182552437e-11,-1.,5.15221195188726,0.,NOERR,2,2.5040640550188796e-6
451.,0.,3.360425127382866e-11,1.,1.6022122533307945,0.,NOERR,4,3.591378669182142e-7
73.,-3.0396598110480402e-6,5.600708545638109e-11,-1.,2.293362637120549,0.,NOERR,3,-7.1422736427283044e-6
410.,-3.0396598110480402e-6,5.600708545638109e-11,1.,0.3141592653589793,0.,NOERR,1,0.000026799421046569147
3.,-3.0396598110480402e-6,5.600708545638109e-11,-1.,0.09424777960769379,0.,ShortOrb,3,-0.00009999240928842967
31.,-3.0396598110480402e-6,5.600708545638109e-11,-1.,0.9738937226128359,0.,NOERR,1,0.00002114649088175813
448.,0.,4.4805668365104874e-11,1.,1.5079644737231006,0.,NOERR,2,1.377718443993283e-6
2.,0.,4.4805668365104874e-11,-1.,0.06283185307179587,0.,NOERR,2,-6.29936531129203e-6
11.,0.,4.4805668365104874e-11,-1.,0.34557519189487723,0.,NOERR,1,0.00001604419402060804
75.,0.,3.920495981946677e-11,-1.,2.356194490192345,0.,NOERR,2,-0.0000498825562158008
41.,-3.0396598110480402e-6,5.040637691074298e-11,-1.,1.288052987971815,0.,NOERR,3,-0.000042597380369049346
