,E0,Ep,dL,phi,th_LRL,Error,Dlow,Dhigh,enfinal
1765,0.,2.8003542728190542e-12,-1.,5.183627878423159,0.,ndsz,0.,1.3539575857885985e9,-1.9322889863726544e-6
1772,0.,2.8003542728190542e-12,-1.,5.403539364174444,0.,ndsz,0.,5.397590844801568e8,5.208814393142802e-6
1781,0.,2.8003542728190542e-12,-1.,5.686282702997525,0.,mxst,0.,1.2843403483968592e9,-0.000053573843516147024
1891,0.,2.8003542728190542e-12,-1.,2.858849314766712,3.141592653589793,mxst,0.,2.164075071684254e9,-0.00004084718518322085
1949,0.,2.8003542728190542e-12,-1.,4.680973053848792,3.141592653589793,ndsz,0.,1.0519242837718732e9,-5.2895152240495236e-6
2004,0.,2.8003542728190542e-12,1.,0.12566370614359174,0.,mxst,0.,1.4461200535490243e9,-0.000027016655982592397
2016,0.,2.8003542728190542e-12,1.,0.5026548245743669,0.,ndsz,0.,1.0614503572134799e9,4.980012526800692e-7
2017,0.,2.8003542728190542e-12,1.,0.5340707511102649,0.,mxst,0.,1.9192968059729726e9,-0.00003604219240821686
2018,0.,2.8003542728190542e-12,1.,0.5654866776461628,0.,mxst,0.,1.7238910653104513e9,-0.000027561660986843983
2020,0.,2.8003542728190542e-12,1.,0.6283185307179586,0.,ndsz,0.,8.629319402637267e8,-0.00003500613639317862
2036,0.,2.8003542728190542e-12,1.,1.1309733552923256,0.,ndsz,0.,9.476977362642766e8,-3.322494585233926e-6
2056,0.,2.8003542728190542e-12,1.,1.7592918860102844,0.,ndsz,0.,8.492632160544337e8,-7.86246059814033e-6
2060,0.,2.8003542728190542e-12,1.,1.8849555921538759,0.,mxst,0.,1.8835288720053763e9,-0.000027022144619637256
2065,0.,2.8003542728190542e-12,1.,2.0420352248333655,0.,ndsz,0.,7.523183498922064e8,-0.000011500495347149808
2066,0.,2.8003542728190542e-12,1.,2.0734511513692637,0.,ndsz,0.,7.453703561988654e8,-5.655678722057966e-6
2165,0.,2.8003542728190542e-12,1.,5.183627878423159,0.,ndsz,0.,1.3539575857885985e9,-1.9322889863726544e-6
2172,0.,2.8003542728190542e-12,1.,5.403539364174444,0.,ndsz,0.,5.397590844801568e8,5.208814393142802e-6
2181,0.,2.8003542728190542e-12,1.,5.686282702997525,0.,mxst,0.,1.2843403483968592e9,-0.000053573843516147024
2291,0.,2.8003542728190542e-12,1.,2.858849314766712,3.141592653589793,mxst,0.,2.164075071684254e9,-0.00004084718518322085
2349,0.,2.8003542728190542e-12,1.,4.680973053848792,3.141592653589793,ndsz,0.,1.0519242837718732e9,-5.2895152240495236e-6
2402,0.,4.2005314092285815e-12,-1.,0.06283185307179587,0.,mxst,0.,1.6356520452791092e9,-0.00006505301025256136
2404,0.,4.2005314092285815e-12,-1.,0.12566370614359174,0.,mxst,0.,1.5596715503627384e9,-0.00006482652637507247
2412,0.,4.2005314092285815e-12,-1.,0.37699111843077515,0.,ndsz,0.,9.376118148311839e8,-0.000048856759470083944
2414,0.,4.2005314092285815e-12,-1.,0.4398229715025711,0.,mxst,0.,1.776389054853402e9,-0.000032279151307740284
2420,0.,4.2005314092285815e-12,-1.,0.6283185307179586,0.,mxst,0.,1.7660169120335028e9,-0.00004743919226003193
2440,0.,4.2005314092285815e-12,-1.,1.2566370614359172,0.,ndsz,0.,9.517672772213911e8,-1.8116611002483296e-6
2464,0.,4.2005314092285815e-12,-1.,2.0106192982974678,0.,ndsz,0.,4.9605261708050036e8,-3.0237355017892487e-6
2465,0.,4.2005314092285815e-12,-1.,2.0420352248333655,0.,ndsz,0.,5.2483765330492103e8,1.655804950928541e-7
2568,0.,4.2005314092285815e-12,-1.,5.277875658030852,0.,mxst,0.,2.4050612400763655e9,-0.00003733505215541312
2573,0.,4.2005314092285815e-12,-1.,5.4349552907103424,0.,ndsz,0.,4.037510402758928e8,-1.968674028018924e-6
2575,0.,4.2005314092285815e-12,-1.,5.497787143782138,0.,ndsz,0.,4.225977670790896e8,-4.106420377791853e-6
2691,0.,4.2005314092285815e-12,-1.,2.858849314766712,3.141592653589793,mxst,0.,1.6254814446925268e9,-0.00004637143740349181
2704,0.,4.2005314092285815e-12,-1.,3.267256359733385,3.141592653589793,mxst,0.,1.853389565789744e9,-0.00004576116042356794
2707,0.,4.2005314092285815e-12,-1.,3.3615041393410787,3.141592653589793,ndsz,0.,8.268274667312505e8,-0.00004676037722477951
2741,0.,4.2005314092285815e-12,-1.,4.429645641561608,3.141592653589793,ndsz,0.,1.2391999264462795e9,-4.522114693372714e-6
2743,0.,4.2005314092285815e-12,-1.,4.492477494633404,3.141592653589793,ndsz,0.,8.47090334538353e8,-0.000035932515885406247
2744,0.,4.2005314092285815e-12,-1.,4.523893421169302,3.141592653589793,ndsz,0.,7.129591893567146e8,2.1874490112733236e-6
2802,0.,4.2005314092285815e-12,1.,0.06283185307179587,0.,mxst,0.,1.6356520452791092e9,-0.00006505301025256136
