# Final Energy vs Phase
# En0 (GHz)	0.0
# fmw (V/cm)	4.0
phi	efinal
0.	-36.27341176238438
0.03079992797637052	-36.90837735088811
0.06159985595274104	-37.50891496889037
0.09239978392911156	-38.07444879819173
0.12319971190548208	-38.6044333524421
0.1539996398818526	-39.098353978437274
0.18479956785822313	-39.55572735745312
0.21559949583459367	-39.97610192080161
0.24639942381096416	-40.35905861554807
0.2771993517873347	-40.70421112289444
0.3079992797637052	-41.011206550295505
0.33879920774007577	-41.27972567820683
0.36959913571644626	-41.509483609694946
0.40039906369281675	-41.70023010441225
0.43119899166918735	-41.85174980034446
0.46199891964555784	-41.963862760748384
0.4927988476219283	-42.03642494330756
0.5235987755982988	-42.069328135377
0.5543987035746694	-42.06250047595496
0.5851986315510399	-42.01590679864469
0.6159985595274104	-41.92954854025578
0.6467984875037809	-41.80346432509106
0.6775984154801515	-41.63772959191735
0.708398343456522	-41.43245729860041
0.7391982714328925	-41.187797607262425
0.769998199409263	-40.90393792175684
0.8007981273856335	-40.581103103272675
0.831598055362004	-40.219555086673424
0.8623979833383747	-39.819593266046944
0.893197911314745	-39.3815538281393
0.9239978392911157	-38.90581001908611
0.9547977672674861	-38.39277163937852
0.9855976952438567	-37.84288512369375
1.0163976232202272	-37.25663276221221
1.0471975511965976	-36.63453279693246
1.0779974791729683	-35.97713897775016
1.1087974071493387	-35.28503986528014
1.1395973351257092	-34.55885875018993
1.1703972631020798	-33.79925293268553
1.2011971910784502	-33.00691335958696
1.231997119054821	-32.18256398467264
1.2627970470311913	-31.326960998688048
1.2935969750075618	-30.440892566196215
1.3243969029839324	-29.525177766970412
1.355196830960303	-28.580666189917846
1.3859967589366733	-27.608236987814173
1.416796686913044	-26.608798292867892
1.4475966148894144	-25.583286206388653
1.478396542865785	-24.53266403996928
1.5091964708421555	-23.457921475712677
1.539996398818526	-22.360073539480936
1.5707963267948966	-21.240159792710124
1.601596254771267	-20.099243208438388
1.6323961827476376	-18.938409361541652
