# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-31-11.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:31:11
# Dir	-1
# field	1.9446904672354544e-12
# zi	-6.
W	field	zb	t	argt
3.0396598110480402e-6	1.9446904672354544e-12	-1.8421911841741665e6	1.1924368000355082e9	0.
5.0154386882292664e-6	1.9446904672354544e-12	-2.765015995799159e6	1.5617917238301086e9	0.
6.991217565410493e-6	1.9446904672354544e-12	-3.732786314098213e6	1.8685933705100894e9	0.
1.2158639244192162e-6	1.9446904672354544e-12	-1.094881197268669e6	7.850166170751888e8	0.
3.1916428016004424e-6	1.9446904672354544e-12	-1.9103804926926482e6	1.2236086645871508e9	0.
5.167421678781669e-6	1.9446904672354544e-12	-2.8383629825803847e6	1.5873046209334292e9	0.
7.143200555962895e-6	1.9446904672354544e-12	-3.808210711472177e6	1.8902430765948136e9	0.
1.3678469149716181e-6	1.9446904672354544e-12	-1.1503769903697001e6	8.204818945689778e8	0.
3.3436257921528446e-6	1.9446904672354544e-12	-1.979176848718602e6	1.2542906272227752e9	0.
5.319404669334071e-6	1.9446904672354544e-12	-2.911938244667594e6	1.6124610482661061e9	0.
7.295183546515297e-6	1.9446904672354544e-12	-3.8837375917030866e6	1.9116546335494993e9	0.
1.5198299055240201e-6	1.9446904672354544e-12	-1.2074139036164526e6	8.558936831352919e8	0.
3.4956087827052463e-6	1.9446904672354544e-12	-2.0485331794556763e6	1.2844871481686792e9	0.
5.4713876598864726e-6	1.9446904672354544e-12	-2.9857268194538616e6	1.637272022768195e9	0.
7.447166537067699e-6	1.9446904672354544e-12	-3.95936147375054e6	1.9328349958093927e9	0.
1.6718128960764223e-6	1.9446904672354544e-12	-1.2658926214330492e6	8.911574936393243e8	0.
3.6475917732576485e-6	1.9446904672354544e-12	-2.118406398140675e6	1.3142049345948243e9	0.
5.623370650438875e-6	1.9446904672354544e-12	-3.0597149429438678e6	1.6617484321434214e9	0.
