# Filename	binding\67ac3fb9-10ad-4c06-bb11-87d3d9084ee4.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:58:04
# Dir	-1
# field	2.9170357008531817e-12
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	2.9170357008531817e-12	NaN	NaN	NaN	-32795.2045902994	-32795.2045902994	3.141592653589793
-0.00002720495530887996	2.9170357008531817e-12	NaN	NaN	NaN	-36614.26376389026	-36614.26376389026	3.141592653589793
-0.000024165295497831922	2.9170357008531817e-12	NaN	NaN	NaN	-41176.98611087717	-41176.98611087717	3.141592653589793
-0.00002112563568678388	2.9170357008531817e-12	NaN	NaN	NaN	-47030.43893063085	-47030.43893063085	3.141592653589793
-0.000030244615119928003	2.9170357008531817e-12	NaN	NaN	NaN	-32958.96606024701	-32958.96606024701	3.141592653589793
-0.00002705297231832756	2.9170357008531817e-12	NaN	NaN	NaN	-36818.34595133822	-36818.34595133822	3.141592653589793
-0.00002401331250727952	2.9170357008531817e-12	NaN	NaN	NaN	-41435.010579580034	-41435.010579580034	3.141592653589793
-0.000020973652696231478	2.9170357008531817e-12	NaN	NaN	NaN	-47366.82287450568	-47366.82287450568	3.141592653589793
-0.0000300926321293756	2.9170357008531817e-12	NaN	NaN	NaN	-33124.365965772246	-33124.365965772246	3.141592653589793
-0.00002690098932777516	2.9170357008531817e-12	NaN	NaN	NaN	-37024.706823173074	-37024.706823173074	3.141592653589793
-0.000023861329516727117	2.9170357008531817e-12	NaN	NaN	NaN	-41696.27270066596	-41696.27270066596	3.141592653589793
-0.000020821669705679075	2.9170357008531817e-12	NaN	NaN	NaN	-47708.021471720254	-47708.021471720254	3.141592653589793
-0.000029940649138823198	2.9170357008531817e-12	NaN	NaN	NaN	-33291.428939463694	-33291.428939463694	3.141592653589793
-0.000026749006337222757	2.9170357008531817e-12	NaN	NaN	NaN	-37233.38460252664	-37233.38460252664	3.141592653589793
-0.000023709346526174715	2.9170357008531817e-12	NaN	NaN	NaN	-41960.83348233741	-41960.83348233741	3.141592653589793
-0.000020669686715126676	2.9170357008531817e-12	NaN	NaN	NaN	-48054.13813423353	-48054.13813423353	3.141592653589793
-0.000029788666148270795	2.9170357008531817e-12	NaN	NaN	NaN	-33460.180108543274	-33460.180108543274	3.141592653589793
-0.000026597023346670354	2.9170357008531817e-12	NaN	NaN	NaN	-37444.41836867862	-37444.41836867862	3.141592653589793
-0.000023557363535622312	2.9170357008531817e-12	NaN	NaN	NaN	-42228.75546718298	-42228.75546718298	3.141592653589793
-0.000020517703724574274	2.9170357008531817e-12	NaN	NaN	NaN	-48405.27923623492	-48405.27923623492	3.141592653589793
-0.000029636683157718393	2.9170357008531817e-12	NaN	NaN	NaN	-33630.645107299446	-33630.645107299446	3.141592653589793
-0.00002644504035611795	2.9170357008531817e-12	NaN	NaN	NaN	-37657.848081059565	-37657.848081059565	3.141592653589793
-0.000023405380545069913	2.9170357008531817e-12	NaN	NaN	NaN	-42500.10278045285	-42500.10278045285	3.141592653589793
-0.00002036572073402187	2.9170357008531817e-12	NaN	NaN	NaN	-48761.55422021004	-48761.55422021004	3.141592653589793
-0.000029484700167165993	2.9170357008531817e-12	NaN	NaN	NaN	-33802.850089900916	-33802.850089900916	3.141592653589793
-0.00002629305736556555	2.9170357008531817e-12	NaN	NaN	NaN	-37873.714604063935	-37873.714604063935	3.141592653589793
-0.00002325339755451751	2.9170357008531817e-12	NaN	NaN	NaN	-42774.941180170994	-42774.941180170994	3.141592653589793
-0.00002021373774346947	2.9170357008531817e-12	NaN	NaN	NaN	-49123.07570756176	-49123.07570756176	3.141592653589793
-0.00002933271717661359	2.9170357008531817e-12	NaN	NaN	NaN	-33976.821743598186	-33976.821743598186	3.141592653589793
-0.000026141074375013146	2.9170357008531817e-12	NaN	NaN	NaN	-38092.05973270412	-38092.05973270412	3.141592653589793
-0.000023101414563965108	2.9170357008531817e-12	NaN	NaN	NaN	-43053.33810913954	-43053.33810913954	3.141592653589793
-0.000020061754752917066	2.9170357008531817e-12	NaN	NaN	NaN	-49489.95961401784	-49489.95961401784	3.141592653589793
-0.000029180734186061188	2.9170357008531817e-12	NaN	NaN	NaN	-34152.587302326436	-34152.587302326436	3.141592653589793
-0.000025989091384460747	2.9170357008531817e-12	NaN	NaN	NaN	-38312.92621913442	-38312.92621913442	3.141592653589793
-0.000022949431573412705	2.9170357008531817e-12	NaN	NaN	NaN	-43335.36274894205	-43335.36274894205	3.141592653589793
-0.000019909771762364663	2.9170357008531817e-12	NaN	NaN	NaN	-49862.32527005799	-49862.32527005799	3.141592653589793
-0.000029028751195508785	2.9170357008531817e-12	NaN	NaN	NaN	-34330.17456072775	-34330.17456072775	3.141592653589793
-0.000025837108393908344	2.9170357008531817e-12	NaN	NaN	NaN	-38536.3578000891	-38536.3578000891	3.141592653589793
-0.000022797448582860302	2.9170357008531817e-12	NaN	NaN	NaN	-43621.086076019456	-43621.086076019456	3.141592653589793
-0.000019757788771812264	2.9170357008531817e-12	NaN	NaN	NaN	-50240.2955466286	-50240.2955466286	3.141592653589793
