# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-33-33.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:33:33
# Dir	-1
# field	4.453341169969191e-11
# zi	-6.
W	field	zb	t	argt
1.5198299055240202e-7	4.453341169969191e-11	-151566.2009441057	4.9759591826280534e7	0.
2.1277618677336284e-6	4.453341169969191e-11	-175631.9083010985	5.813637298199187e7	0.
4.103540744914854e-6	4.453341169969191e-11	-202845.4853710438	6.7043312673511446e7	0.
6.0793196220960804e-6	4.453341169969191e-11	-232918.68125430364	7.620522391734247e7	0.
3.0396598110480404e-7	4.453341169969191e-11	-153301.7359646517	5.037900020268573e7	0.
2.27974485828603e-6	4.453341169969191e-11	-177616.2862084013	5.880624121849818e7	0.
4.255523735467257e-6	4.453341169969191e-11	-205061.81233439938	6.774241309967776e7	0.
6.231302612648483e-6	4.453341169969191e-11	-235339.6950707798	7.691327138566352e7	0.
4.5594897165720606e-7	4.453341169969191e-11	-155056.68651244388	5.100298341364386e7	0.
2.4317278488384323e-6	4.453341169969191e-11	-179619.27447595898	5.947912946597375e7	0.
4.4075067260196586e-6	4.453341169969191e-11	-207294.94363520536	6.844287954276818e7	0.
6.383285603200885e-6	4.453341169969191e-11	-237775.1646462339	7.762127870553835e7	0.
6.079319622096081e-7	4.453341169969191e-11	-156831.03373270357	5.163143397513595e7	0.
2.5837108393908345e-6	4.453341169969191e-11	-181640.76461258018	6.015490852103548e7	0.
4.55948971657206e-6	4.453341169969191e-11	-209544.7115818463	6.914459440773182e7	0.
6.5352685937532865e-6	4.453341169969191e-11	-240224.90048079882	7.832915406287734e7	0.
7.599149527620101e-7	4.453341169969191e-11	-158624.7512799563	5.226424181314733e7	0.
2.7356938299432363e-6	4.453341169969191e-11	-183680.64228103455	6.083344833005433e7	0.
4.711472707124463e-6	4.453341169969191e-11	-211810.94551589698	6.984743870538637e7	0.
6.687251584305689e-6	4.453341169969191e-11	-242688.7127609718	7.903680715529889e7	0.
9.118979433144121e-7	4.453341169969191e-11	-160437.8053689696	5.290129639697266e7	0.
2.8876768204956385e-6	4.453341169969191e-11	-185738.7874956572	6.151462008863414e7	0.
4.863455697676865e-6	4.453341169969191e-11	-214093.47203975054	7.055129522058104e7	0.
6.839234574858091e-6	4.453341169969191e-11	-245166.41152628924	7.974415173298664e7	0.
1.0638809338668142e-6	4.453341169969191e-11	-162270.1548398495	5.354248120783493e7	0.
3.0396598110480402e-6	4.453341169969191e-11	-187815.0748266945	6.219829401199735e7	0.
5.0154386882292664e-6	4.453341169969191e-11	-216392.11524191944	7.125604684409015e7	0.
6.991217565410493e-6	4.453341169969191e-11	-247657.80682961948	8.045110249219088e7	0.
1.2158639244192162e-6	4.453341169969191e-11	-164121.75123700572	5.418767926914196e7	0.
3.1916428016004424e-6	4.453341169969191e-11	-189909.37361062845	6.288434192227238e7	0.
5.167421678781669e-6	4.453341169969191e-11	-218706.69691948523	7.196158477546825e7	0.
7.143200555962895e-6	4.453341169969191e-11	-250162.70889099195	8.115757720119138e7	0.
1.3678469149716181e-6	4.453341169969191e-11	-165992.5389016324	5.4836772858546905e7	0.
3.3436257921528446e-6	4.453341169969191e-11	-192021.54816571163	6.357263512100151e7	0.
5.319404669334071e-6	4.453341169969191e-11	-221037.03679720632	7.266779571958353e7	0.
7.295183546515297e-6	4.453341169969191e-11	-252680.92824491032	8.186349670574537e7	0.
1.5198299055240201e-6	4.453341169969191e-11	-167882.45507729726	5.548964027291551e7	0.
3.4956087827052463e-6	4.453341169969191e-11	-194151.45801194655	6.426304448006013e7	0.
5.4713876598864726e-6	4.453341169969191e-11	-223382.95274283164	7.337457138401915e7	0.
7.447166537067699e-6	4.453341169969191e-11	-255212.27588112184	8.25687827823136e7	0.
1.6718128960764223e-6	4.453341169969191e-11	-169791.43002817602	5.6146158208010375e7	0.
3.6475917732576485e-6	4.453341169969191e-11	-196298.95809474902	6.495544302148574e7	0.
5.623370650438875e-6	4.453341169969191e-11	-225744.2609782009	7.40818052060298e7	0.
7.599149527620101e-6	4.453341169969191e-11	-257756.56337884028	8.327336123071164e7	0.
1.8237958866288243e-6	4.453341169969191e-11	-171719.3871694197	5.680620395161752e7	0.
3.7995747638100507e-6	4.453341169969191e-11	-198463.89901154282	6.564970464993678e7	0.
5.775353640991277e-6	4.453341169969191e-11	-228120.77628575184	7.478939346293904e7	0.
7.751132518172502e-6	4.453341169969191e-11	-260313.60303444127	8.39771593405957e7	0.
1.9757788771812262e-6	4.453341169969191e-11	-173666.24320909518	5.746965077481526e7	0.
3.9515577543624524e-6	4.453341169969191e-11	-200646.12724054826	6.6345702151877016e7	0.
5.927336631543679e-6	4.453341169969191e-11	-230512.31221008857	7.54972330569076e7	0.
7.903115508724905e-6	4.453341169969191e-11	-262883.20798267116	8.468010912112923e7	0.
8.055098499277307e-6	4.453341169969191e-11	-265465.19231142785	8.538214227640696e7	0.
0.000010030877376458533	4.453341169969191e-11	-300075.25286156946	9.439885499305308e7	0.
0.00001200665625363976	4.453341169969191e-11	-336367.55092757265	1.0314660559571478e8	0.
0.000013982435130820985	4.453341169969191e-11	-374014.23981072975	1.11569638255829e8	0.
8.207081489829708e-6	4.453341169969191e-11	-268059.37117019243	8.608319165289722e7	0.
0.000010182860367010935	4.453341169969191e-11	-302811.7824146794	9.508230042211573e7	0.
0.000012158639244192161	4.453341169969191e-11	-339219.14921091526	1.0380648952106668e8	0.
0.000014134418121373388	4.453341169969191e-11	-376958.15021861566	1.1220337772804967e8	0.
8.359064480382111e-6	4.453341169969191e-11	-270665.5608722042	8.67831999594981e7	0.
0.000010334843357563338	4.453341169969191e-11	-305558.07668794517	9.576409312448975e7	0.
0.000012310622234744563	4.453341169969191e-11	-342078.59751772333	1.0446441979654e8	0.
0.00001428640111192579	4.453341169969191e-11	-379908.3490089735	1.1283506871068446e8	0.
8.511047470934514e-6	4.453341169969191e-11	-273283.5789904858	8.748210397754209e7	0.
0.000010486826348115739	4.453341169969191e-11	-308313.975831612	9.644420150738874e7	0.
0.000012462605225296966	4.453341169969191e-11	-344945.7634008056	1.0512038407166402e8	0.
0.000014438384102478191	4.453341169969191e-11	-382864.7298905721	1.134647077828377e8	0.
8.663030461486915e-6	4.453341169969191e-11	-275913.2444478418	8.817984469770414e7	0.
