# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-32-56.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:32:56
# Dir	-1
# field	3.344867603644982e-11
# zi	-6.
W	field	zb	t	argt
1.5198299055240202e-7	3.344867603644982e-11	-175192.99554386392	6.179245633191069e7	0.
2.1277618677336284e-6	3.344867603644982e-11	-207613.63466289057	7.385043060883166e7	0.
4.103540744914854e-6	3.344867603644982e-11	-244805.42874279837	8.67071491236057e7	0.
6.0793196220960804e-6	3.344867603644982e-11	-286208.0741181594	9.985068797756486e7	0.
3.0396598110480404e-7	3.344867603644982e-11	-177509.64616519844	6.267982863718033e7	0.
2.27974485828603e-6	3.344867603644982e-11	-210310.70367094225	7.481782566819751e7	0.
4.255523735467257e-6	3.344867603644982e-11	-247849.35219212016	8.771408265664725e7	0.
6.231302612648483e-6	3.344867603644982e-11	-289547.210378946	1.0086088395926629e8	0.
4.5594897165720606e-7	3.344867603644982e-11	-179856.11579524446	6.357469744716467e7	0.
2.4317278488384323e-6	3.344867603644982e-11	-213035.96435327307	7.578971256818332e7	0.
4.4075067260196586e-6	3.344867603644982e-11	-250917.95072793565	8.872243921013066e7	0.
6.383285603200885e-6	3.344867603644982e-11	-292906.7156830294	1.018701209775069e8	0.
6.079319622096081e-7	3.344867603644982e-11	-182232.3658983302	6.447685438069066e7	0.
2.5837108393908345e-6	3.344867603644982e-11	-215789.20027949364	7.676584318442954e7	0.
4.55948971657206e-6	3.344867603644982e-11	-254010.90702127063	8.973200512882657e7	0.
6.5352685937532865e-6	3.344867603644982e-11	-296286.2553729306	1.0287825777761102e8	0.
7.599149527620101e-7	3.344867603644982e-11	-184638.34266376446	6.538608835875635e7	0.
2.7356938299432363e-6	3.344867603644982e-11	-218570.18408201032	7.774597336704886e7	0.
4.711472707124463e-6	3.344867603644982e-11	-257127.89970854035	9.074257159260845e7	0.
6.687251584305689e-6	3.344867603644982e-11	-299685.4961184639	1.0388515152534238e8	0.
9.118979433144121e-7	3.344867603644982e-11	-187073.9771440811	6.6302183896487795e7	0.
2.8876768204956385e-6	3.344867603644982e-11	-221378.67795912529	7.872985728363591e7	0.
4.863455697676865e-6	3.344867603644982e-11	-260268.6038943935	9.175393520613752e7	0.
6.839234574858091e-6	3.344867603644982e-11	-303104.1062098453	1.0489067135395516e8	0.
1.0638809338668142e-6	3.344867603644982e-11	-189539.18543135875	6.722491731910391e7	0.
3.0396598110480402e-6	3.344867603644982e-11	-224214.43419104212	7.971724960469797e7	0.
5.0154386882292664e-6	3.344867603644982e-11	-263432.69164244237	9.27658942934359e7	0.
6.991217565410493e-6	3.344867603644982e-11	-306541.75583323324	1.0589468527840176e8	0.
1.2158639244192162e-6	3.344867603644982e-11	-192033.8688705704	6.815406284474102e7	0.
3.1916428016004424e-6	3.344867603644982e-11	-227077.19566637994	8.070790830655389e7	0.
5.167421678781669e-6	3.344867603644982e-11	-266619.8324527606	9.377825711066754e7	0.
7.143200555962895e-6	3.344867603644982e-11	-309998.1173289296	1.0689707160310577e8	0.
1.3678469149716181e-6	3.344867603644982e-11	-194557.91430870592	6.908938874042127e7	0.
3.3436257921528446e-6	3.344867603644982e-11	-229966.69641682968	8.170159121165368e7	0.
5.319404669334071e-6	3.344867603644982e-11	-269829.6937251614	9.479083386544655e7	0.
7.295183546515297e-6	3.344867603644982e-11	-313472.86543252436	1.0789771372682239e8	0.
1.5198299055240201e-6	3.344867603644982e-11	-197111.1943782167	7.003066297229396e7	0.
3.4956087827052463e-6	3.344867603644982e-11	-232882.66215763544	8.26980639215998e7	0.
5.4713876598864726e-6	3.344867603644982e-11	-273061.94120739936	9.58034409830199e7	0.
7.447166537067699e-6	3.344867603644982e-11	-316965.6774993237	1.0889649658080381e8	0.
1.6718128960764223e-6	3.344867603644982e-11	-199693.56781314834	7.097764416611244e7	0.
3.6475917732576485e-6	3.344867603644982e-11	-235824.81083164437	8.369708647757274e7	0.
5.623370650438875e-6	3.344867603644982e-11	-276316.23942756205	9.681590014331044e7	0.
7.599149527620101e-6	3.344867603644982e-11	-320476.233712446	1.0989331310888731e8	0.
1.8237958866288243e-6	3.344867603644982e-11	-202304.87979616463	7.19300946893955e7	0.
3.7995747638100507e-6	3.344867603644982e-11	-238792.85315474813	8.469842604433022e7	0.
5.775353640991277e-6	3.344867603644982e-11	-279592.25211004395	9.782803942983605e7	0.
7.751132518172502e-6	3.344867603644982e-11	-324004.2172750112	1.1088805922727317e8	0.
1.9757788771812262e-6	3.344867603644982e-11	-204944.96233451724	7.288777211218454e7	0.
3.9515577543624524e-6	3.344867603644982e-11	-241786.49316062557	8.570185647047114e7	0.
5.927336631543679e-6	3.344867603644982e-11	-282889.64257460856	9.883968812998775e7	0.
7.903115508724905e-6	3.344867603644982e-11	-327549.3145868835	1.1188064076213026e8	0.
8.055098499277307e-6	3.344867603644982e-11	-331111.21540645615	1.1287096273727845e8	0.
0.000010030877376458533	3.344867603644982e-11	-378810.74819405	1.2550530560445997e8	0.
0.00001200665625363976	3.344867603644982e-11	-428695.947022526	1.3761969538221407e8	0.
0.000013982435130820985	3.344867603644982e-11	-480275.33579805883	1.4916783770318344e8	0.
8.207081489829708e-6	3.344867603644982e-11	-334689.6129979916	1.1385893605368057e8	0.
0.000010182860367010935	3.344867603644982e-11	-382577.47497953876	1.2645666246802588e8	0.
0.000012158639244192161	3.344867603644982e-11	-432608.92564089585	1.385282916689186e8	0.
0.000014134418121373388	3.344867603644982e-11	-484301.5953048765	1.5003261534619048e8	0.
8.359064480382111e-6	3.344867603644982e-11	-338284.20426504954	1.1484447643278341e8	0.
0.000010334843357563338	3.344867603644982e-11	-386356.82519066567	1.2740486543455012e8	0.
0.000012310622234744563	3.344867603644982e-11	-436531.67938853847	1.3943350739321083e8	0.
0.00001428640111192579	3.344867603644982e-11	-488335.43782522145	1.5089407018886206e8	0.
8.511047470934514e-6	3.344867603644982e-11	-341894.689870547	1.1582750844327539e8	0.
0.000010486826348115739	3.344867603644982e-11	-390148.5542218517	1.2834988180543536e8	0.
0.000012462605225296966	3.344867603644982e-11	-440464.01779264497	1.4033534059733728e8	0.
0.000014438384102478191	3.344867603644982e-11	-492376.71841898275	1.517522077162579e8	0.
8.663030461486915e-6	3.344867603644982e-11	-345520.77434400894	1.1680795444397011e8	0.
0.000010638809338668142	3.344867603644982e-11	-393952.4218146451	1.2929168508861235e8	0.
0.000012614588215849367	3.344867603644982e-11	-444405.754233611	1.412337895046981e8	0.
0.000014590367093030594	3.344867603644982e-11	-496425.2952276132	1.5260704771741343e8	0.
8.815013452039317e-6	3.344867603644982e-11	-349162.166176572	1.1778574466721316e8	0.
0.000010790792329220544	3.344867603644982e-11	-397768.1920425934	1.3023024557473078e8	0.
0.00001276657120640177	3.344867603644982e-11	-448356.7058896074	1.4212885104633024e8	0.
0.000014742350083582997	3.344867603644982e-11	-500481.0294141176	1.53458593645703e8	0.
8.96699644259172e-6	3.344867603644982e-11	-352818.57790430554	1.1876081359772053e8	0.
0.000010942775319772945	3.344867603644982e-11	-401595.63329100225	1.3116554122848034e8	0.
0.000012918554196954172	3.344867603644982e-11	-452316.6936799049	1.430205279192021e8	0.
0.000014894333074135398	3.344867603644982e-11	-504543.7851034361	1.5430686943524775e8	0.
9.11897943314412e-6	3.344867603644982e-11	-356489.7261804169	1.1973309718985914e8	0.
0.000011094758310325348	3.344867603644982e-11	-405434.518231979	1.32097552181096e8	0.
0.000013070537187506573	3.344867603644982e-11	-456285.54220714385	1.4390882390547812e8	0.
0.0000150463160646878	3.344867603644982e-11	-508613.42932328314	1.5515188083031836e8	0.
9.270962423696523e-6	3.344867603644982e-11	-360175.33183690323	1.2070253698149219e8	0.
0.00001124674130087775	3.344867603644982e-11	-409284.62379514147	1.3302625725645098e8	0.
0.000013222520178058976	3.344867603644982e-11	-460263.07969872537	1.4479374184601134e8	0.
0.000015198299055240203	3.344867603644982e-11	-512689.83194550656	1.5599364712143597e8	0.
9.422945414248926e-6	3.344867603644982e-11	-363875.1199362047	1.2166907998091106e8	0.
0.000011398724291430151	3.344867603644982e-11	-413145.7311343575	1.3395163974895884e8	0.
0.000013374503168611378	3.344867603644982e-11	-464249.13794749236	1.456752837030346e8	0.
0.000015350282045792605	3.344867603644982e-11	-516772.8656280171	1.5683218186205044e8	0.
9.574928404801327e-6	3.344867603644982e-11	-367588.81981340906	1.2263267420472229e8	0.
0.000011550707281982554	3.344867603644982e-11	-417017.62559086055	1.348736874326215e8	0.
0.00001352648615916378	3.344867603644982e-11	-468243.5522518524	1.465534552323526e8	0.
0.000015502265036345005	3.344867603644982e-11	-520862.40575733857	1.5766750235388976e8	0.
9.72691139535373e-6	3.344867603644982e-11	-371316.16510954674	1.2359327136041994e8	0.
0.000011702690272534956	3.344867603644982e-11	-420900.0966530686	1.357923847350572e8	0.
0.000013678469149716182	3.344867603644982e-11	-472246.1613554859	1.474282668962485e8	0.
0.000015654248026897407	3.344867603644982e-11	-524958.3303918206	1.584996194922433e8	0.
9.878894385906132e-6	3.344867603644982e-11	-375056.893796501	1.2455082879060015e8	0.
0.000011854673263087357	3.344867603644982e-11	-424792.93791342125	1.367077253021208e8	0.
0.000013830452140268584	3.344867603644982e-11	-476256.8073867728	1.4829972478492567e8	0.
0.00001580623101744981	3.344867603644982e-11	-529060.5202055543	1.5932855490057784e8	0.
0.000015958214008002212	3.344867603644982e-11	-533168.8584330204	1.6015432539859176e8	0.
0.000017782009894631037	3.344867603644982e-11	-582909.2538316395	1.6982310238922104e8	0.
0.00001960580578125986	3.344867603644982e-11	-633349.794996508	1.7907099126334667e8	0.
0.000021429601667888686	3.344867603644982e-11	-684356.7675479668	1.879320674076192e8	0.
0.000016110196998554615	3.344867603644982e-11	-537283.2308145048	1.6097694310375622e8	0.
0.00001793399288518344	3.344867603644982e-11	-587087.9650023533	1.70609368245182e8	0.
0.000019757788771812264	3.344867603644982e-11	-637580.3490191398	1.7982372094046265e8	0.
0.00002158158465844109	3.344867603644982e-11	-688629.4800883026	1.886540884454898e8	0.
0.000016262179989107018	3.344867603644982e-11	-541403.5255423037	1.6179643076129252e8	0.
0.000018085975875735842	3.344867603644982e-11	-591271.4296538756	1.7139272999949846e8	0.
0.000019909771762364663	3.344867603644982e-11	-641814.7527788451	1.8057378315524706e8	0.
0.000021733567648993488	3.344867603644982e-11	-692905.3395333902	1.893736696760136e8	0.
0.000016414162979659417	3.344867603644982e-11	-545529.6332077405	1.626128029105024e8	0.
0.00001823795886628824	3.344867603644982e-11	-595459.5633464389	1.7217320903031546e8	0.
0.000020061754752917066	3.344867603644982e-11	-646052.9407993241	1.8132119911873555e8	0.
0.00002188555063954589	3.344867603644982e-11	-697184.2947554674	1.9009083542949507e8	0.
0.00001656614597021182	3.344867603644982e-11	-549661.4467490163	1.6342608220457095e8	0.
0.000018389941856840644	3.344867603644982e-11	-599652.2834294289	1.7295082036075413e8	0.
0.00002021373774346947	3.344867603644982e-11	-650294.8489587065	1.8206598684351513e8	0.
0.000016718128960764222	3.344867603644982e-11	-553798.8613999044	1.6423628257222033e8	0.
0.000018541924847393046	3.344867603644982e-11	-603849.509000621	1.7372558871292815e8	0.
0.00002036572073402187	3.344867603644982e-11	-654540.4144583916	1.8280816777154136e8	0.
0.000022037533630098293	3.344867603644982e-11	-701466.295651915	1.9080560266149455e8	0.
0.000016870111951316625	3.344867603644982e-11	-557941.7746393075	1.6504342405295894e8	0.
0.00001869390783794545	3.344867603644982e-11	-608051.1608662746	1.7449753247512698e8	0.
0.000020517703724574274	3.344867603644982e-11	-658789.5757926077	1.8354776249957108e8	0.
0.000022189516620650695	3.344867603644982e-11	-705751.2931218684	1.915179896033672e8	0.
0.000017022094941869027	3.344867603644982e-11	-562090.0861416841	1.6584752559448677e8	0.
0.00001884589082849785	3.344867603644982e-11	-612257.1615020764	1.7526667298324403e8	0.
0.000020669686715126676	3.344867603644982e-11	-663042.2727186801	1.8428479042369476e8	0.
0.000022341499611203098	3.344867603644982e-11	-710039.2390433903	1.9222801603868306e8	0.
0.00001717407793242143	3.344867603644982e-11	-566243.6977283509	1.6664860464315438e8	0.
0.000018997873819050254	3.344867603644982e-11	-616467.4350149259	1.760330255097368e8	0.
0.000020821669705679075	3.344867603644982e-11	-667298.4462279925	1.850192664508609e8	0.
0.0000224934826017555	3.344867603644982e-11	-714330.086251193	1.9293569673411536e8	0.
0.00001732606092297383	3.344867603644982e-11	-570402.513319671	1.674466833455779e8	0.
0.000019149856809602654	3.344867603644982e-11	-620681.9071055495	1.7679661626197124e8	0.
0.000020973652696231478	3.344867603644982e-11	-671558.0385176311	1.8575121417792422e8	0.
0.0000226454655923079	3.344867603644982e-11	-718623.7885148998	1.9364104972608262e8	0.
0.00001747804391352623	3.344867603644982e-11	-574566.4388881279	1.682417811300062e8	0.
0.000019301839800155056	3.344867603644982e-11	-624900.5050319352	1.7755746037809044e8	0.
0.00002112563568678388	3.344867603644982e-11	-675820.9929626934	1.8648065116566175e8	0.
0.000022797448582860302	3.344867603644982e-11	-722920.3005178296	1.943440958395739e8	0.
0.000017630026904078634	3.344867603644982e-11	-578735.3824122854	1.690339127291497e8	0.
0.00001945382279070746	3.344867603644982e-11	-629123.1575735756	1.7831557936118776e8	0.
0.000021277618677336283	3.344867603644982e-11	-680087.2540892536	1.872075963836714e8	0.
0.000022949431573412705	3.344867603644982e-11	-727219.577836295	1.9504485116973862e8	0.
0.000023101414563965108	3.344867603644982e-11	-731521.576919402	1.9574333319974515e8	0.
0.00002325339755451751	3.344867603644982e-11	-735826.2550693387	1.964395593025908e8	0.
0.000025077193441146335	3.344867603644982e-11	-787676.9021352417	2.0462444533821926e8	0.
0.00002690098932777516	3.344867603644982e-11	-839844.4809954705	2.1251493447457185e8	0.
0.000023405380545069913	3.344867603644982e-11	-740133.570422142	1.9713354680855373e8	0.
0.000025229176431698734	3.344867603644982e-11	-792012.8777520178	2.0529286218419325e8	0.
0.00002705297231832756	3.344867603644982e-11	-844204.4023998642	2.1316000043874034e8	0.
0.000028724785214403984	3.344867603644982e-11	-892277.8388195605	2.2013637976989034e8	0.
0.000023557363535622312	3.344867603644982e-11	-744443.4819289305	1.9782531264436367e8	0.
0.000025381159422251137	3.344867603644982e-11	-796351.0142714421	2.0595925018213594e8	0.
0.00002720495530887996	3.344867603644982e-11	-848566.1376894068	2.138032145503805e8	0.
0.000028876768204956383	3.344867603644982e-11	-896657.9326235367	2.207600863417011e8	0.
