# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-32-49.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:32:49
# Dir	-1
# field	3.1309516522490816e-11
# zi	-6.
W	field	zb	t	argt
1.5198299055240202e-7	3.1309516522490816e-11	-181158.92057769277	6.49637382237785e7	0.
2.1277618677336284e-6	3.1309516522490816e-11	-215896.42212689642	7.808080107381856e7	0.
4.103540744914854e-6	3.1309516522490816e-11	-255883.08207441831	9.207307568706343e7	0.
6.0793196220960804e-6	3.1309516522490816e-11	-300466.89690949203	1.0635110996557318e8	0.
3.0396598110480404e-7	3.1309516522490816e-11	-183635.4577543942	6.592794702444163e7	0.
2.27974485828603e-6	3.1309516522490816e-11	-218792.4625517667	7.9133919455089e7	0.
4.255523735467257e-6	3.1309516522490816e-11	-259159.3417737108	9.316816108668676e7	0.
6.231302612648483e-6	3.1309516522490816e-11	-304063.6935344527	1.0744685095719922e8	0.
4.5594897165720606e-7	3.1309516522490816e-11	-186144.91911919095	6.690055404252178e7	0.
2.4317278488384323e-6	3.1309516522490816e-11	-221719.51369633482	8.019193852911723e7	0.
4.4075067260196586e-6	3.1309516522490816e-11	-262462.51856370387	9.426462090982832e7	0.
6.383285603200885e-6	3.1309516522490816e-11	-307682.47331964533	1.0854129353121553e8	0.
6.079319622096081e-7	3.1309516522490816e-11	-188687.25922250282	6.788132187430125e7	0.
2.5837108393908345e-6	3.1309516522490816e-11	-224677.32197929246	8.125457459892294e7	0.
4.55948971657206e-6	3.1309516522490816e-11	-265792.24585640465	9.536220823136163e7	0.
6.5352685937532865e-6	3.1309516522490816e-11	-311322.8565238015	1.0963428154194161e8	0.
7.599149527620101e-7	3.1309516522490816e-11	-191262.41461033124	6.887000062833472e7	0.
2.7356938299432363e-6	3.1309516522490816e-11	-227665.62123431626	8.232154325421482e7	0.
4.711472707124463e-6	3.1309516522490816e-11	-269148.15288231603	9.646068944867288e7	0.
6.687251584305689e-6	3.1309516522490816e-11	-314984.4654530523	1.1072565951027901e8	0.
9.118979433144121e-7	3.1309516522490816e-11	-193870.3039983219	6.986634112395106e7	0.
2.8876768204956385e-6	3.1309516522490816e-11	-230684.13333253757	8.339255800245582e7	0.
4.863455697676865e-6	3.1309516522490816e-11	-272529.86528889736	9.75598301265881e7	0.
6.839234574858091e-6	3.1309516522490816e-11	-318666.9247878135	1.1181528284975064e8	0.
1.0638809338668142e-6	3.1309516522490816e-11	-196510.82849364547	7.087008385290441e7	0.
3.0396598110480402e-6	3.1309516522490816e-11	-233732.5688195481	8.446733904944167e7	0.
5.0154386882292664e-6	3.1309516522490816e-11	-275937.0057223425	9.865940788072293e7	0.
6.991217565410493e-6	3.1309516522490816e-11	-322369.8618879683	1.1290300837695478e8	0.
1.2158639244192162e-6	3.1309516522490816e-11	-199183.87186329282	7.188096232272553e7	0.
3.1916428016004424e-6	3.1309516522490816e-11	-236810.62756384007	8.554560508774742e7	0.
5.167421678781669e-6	3.1309516522490816e-11	-279369.19439139176	9.97592040911924e7	0.
7.143200555962895e-6	3.1309516522490816e-11	-326092.90707675426	1.1398870542595086e8	0.
1.3678469149716181e-6	3.1309516522490816e-11	-201889.30084710073	7.289870988177645e7	0.
3.3436257921528446e-6	3.1309516522490816e-11	-239917.99941363683	8.662707774756585e7	0.
5.319404669334071e-6	3.1309516522490816e-11	-282826.04961207084	1.0085900374739578e8	0.
7.295183546515297e-6	3.1309516522490816e-11	-329835.6939038233	1.150722453086795e8	0.
1.5198299055240201e-6	3.1309516522490816e-11	-204626.96551356296	7.392305271987696e7	0.
3.4956087827052463e-6	3.1309516522490816e-11	-243054.36485914557	8.771148357549001e7	0.
5.4713876598864726e-6	3.1309516522490816e-11	-286307.1883324187	1.0195860286398003e8	0.
7.447166537067699e-6	3.1309516522490816e-11	-333597.8593880083	1.1615350565051393e8	0.
1.6718128960764223e-6	3.1309516522490816e-11	-207396.69965624477	7.495371447226928e7	0.
3.6475917732576485e-6	3.1309516522490816e-11	-246219.39569736188	8.87985515683061e7	0.
5.623370650438875e-6	3.1309516522490816e-11	-289812.22663642804	1.030578036734846e8	0.
7.599149527620101e-6	3.1309516522490816e-11	-337379.04424037324	1.1723237274138814e8	0.
1.8237958866288243e-6	3.1309516522490816e-11	-210198.32122840168	7.599041433889683e7	0.
3.7995747638100507e-6	3.1309516522490816e-11	-249412.75569667184	8.98880137450956e7	0.
5.775353640991277e-6	3.1309516522490816e-11	-293340.78022658185	1.0415641029756087e8	0.
7.751132518172502e-6	3.1309516522490816e-11	-341178.89306817175	1.1830873595652133e8	0.
1.9757788771812262e-6	3.1309516522490816e-11	-213031.63281321552	7.703287127957068e7	0.
3.9515577543624524e-6	3.1309516522490816e-11	-252634.10125862763	9.097960675090046e7	0.
5.927336631543679e-6	3.1309516522490816e-11	-296892.4648845176	1.0525423910275288e8	0.
7.903115508724905e-6	3.1309516522490816e-11	-344997.05456037	1.1938249332107444e8	0.
8.055098499277307e-6	3.1309516522490816e-11	-348833.1816554188	1.2045354037077253e8	0.
0.000010030877376458533	3.1309516522490816e-11	-400188.269756704	1.3409533032606159e8	0.
0.00001200665625363976	3.1309516522490816e-11	-453855.6226105341	1.471393814591043e8	0.
0.000013982435130820985	3.1309516522490816e-11	-509299.36445514567	1.5954556725804716e8	0.
8.207081489829708e-6	3.1309516522490816e-11	-352686.9316919832	1.2152178930077073e8	0.
0.000010182860367010935	3.1309516522490816e-11	-404242.120321652	1.3512091738617587e8	0.
0.000012158639244192161	3.1309516522490816e-11	-458063.38792772614	1.481164147100923e8	0.
0.000014134418121373388	3.1309516522490816e-11	-513625.38251721504	1.604736393909762e8	0.
8.359064480382111e-6	3.1309516522490816e-11	-356557.9665433481	1.2258715284017603e8	0.
0.000010334843357563338	3.1309516522490816e-11	-408309.3086627979	1.3614288951007012e8	0.
0.000012310622234744563	3.1309516522490816e-11	-462281.3914373294	1.4908964622503895e8	0.
0.00001428640111192579	3.1309516522490816e-11	-517959.28502475715	1.613980199274331e8	0.
