# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-34-14.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:34:14
# Dir	-1
# field	5.678496164327527e-11
# zi	-6.
W	field	zb	t	argt
1.5198299055240202e-7	5.678496164327527e-11	-134048.77177301783	4.1409485786160834e7	0.
2.1277618677336284e-6	5.678496164327527e-11	-152755.05630884794	4.7560523610378e7	0.
4.103540744914854e-6	5.678496164327527e-11	-173667.14619268675	5.408045350942515e7	0.
6.0793196220960804e-6	5.678496164327527e-11	-196622.5778433951	6.080852912339467e7	0.
3.0396598110480404e-7	5.678496164327527e-11	-135407.24477883405	4.1866032545147724e7	0.
2.27974485828603e-6	5.678496164327527e-11	-154286.90840340222	4.80509932246669e7	0.
4.255523735467257e-6	5.678496164327527e-11	-175362.99659160565	5.459263377378179e7	0.
6.231302612648483e-6	5.678496164327527e-11	-198466.78898572185	6.1330274324881986e7	0.
4.5594897165720606e-7	5.678496164327527e-11	-136779.20443267518	4.232558494386732e7	0.
2.4317278488384323e-6	5.678496164327527e-11	-155831.80515246914	4.8543579322636954e7	0.
4.4075067260196586e-6	5.678496164327527e-11	-177070.87522195178	5.5105967184183106e7	0.
6.383285603200885e-6	5.678496164327527e-11	-200321.65065122955	6.185229816637892e7	0.
6.079319622096081e-7	5.678496164327527e-11	-138164.64045993012	4.2788081122228704e7	0.
2.5837108393908345e-6	5.678496164327527e-11	-157389.6864877488	4.903820932809166e7	0.
4.55948971657206e-6	5.678496164327527e-11	-178790.6858762977	5.562037927910451e7	0.
6.5352685937532865e-6	5.678496164327527e-11	-202187.04871691437	6.237453938549493e7	0.
7.599149527620101e-7	5.678496164327527e-11	-139563.53849804273	4.3253458821782745e7	0.
2.7356938299432363e-6	5.678496164327527e-11	-158960.4889704471	4.953480726548019e7	0.
4.711472707124463e-6	5.678496164327527e-11	-180522.33031479325	5.6135800521768324e7	0.
6.687251584305689e-6	5.678496164327527e-11	-204062.8684066665	6.289693997202887e7	0.
9.118979433144121e-7	5.678496164327527e-11	-140975.88011831796	4.372165351335717e7	0.
2.8876768204956385e-6	5.678496164327527e-11	-160544.14587947814	5.003329929182839e7	0.
4.863455697676865e-6	5.678496164327527e-11	-182265.70837668347	5.6652158279063284e7	0.
6.839234574858091e-6	5.678496164327527e-11	-205948.99438561333	6.341944304349745e7	0.
1.0638809338668142e-6	5.678496164327527e-11	-142401.6428538258	4.419259968186554e7	0.
3.0396598110480402e-6	5.678496164327527e-11	-162140.58730316864	5.0533609626899175e7	0.
5.0154386882292664e-6	5.678496164327527e-11	-184020.7180917085	5.71693827396816e7	0.
6.991217565410493e-6	5.678496164327527e-11	-207845.3108520954	6.3941991105703e7	0.
1.2158639244192162e-6	5.678496164327527e-11	-143840.80023330447	4.466623054777056e7	0.
3.1916428016004424e-6	5.678496164327527e-11	-163749.74023418428	5.103566550198656e7	0.
5.167421678781669e-6	5.678496164327527e-11	-185787.255791143	5.768740504951818e7	0.
7.143200555962895e-6	5.678496164327527e-11	-209751.70162718536	6.446452935062044e7	0.
1.3678469149716181e-6	5.678496164327527e-11	-145293.32182094487	4.514247823118668e7	0.
3.3436257921528446e-6	5.678496164327527e-11	-165371.52866739186	5.1539391350761965e7	0.
5.319404669334071e-6	5.678496164327527e-11	-187565.21621824527	5.8206157414155476e7	0.
7.295183546515297e-6	5.678496164327527e-11	-211668.05024167153	6.498700354486947e7	0.
1.5198299055240201e-6	5.678496164327527e-11	-146759.17326191647	4.562127375641194e7	0.
3.4956087827052463e-6	5.678496164327527e-11	-167005.87370036996	5.204471214155572e7	0.
5.4713876598864726e-6	5.678496164327527e-11	-189354.49263789554	5.872557126564223e7	0.
7.447166537067699e-6	5.678496164327527e-11	-213594.2400204385	6.550936149394335e7	0.
1.6718128960764223e-6	5.678496164327527e-11	-148238.31633347803	4.61025472255228e7	0.
3.6475917732576485e-6	5.678496164327527e-11	-168652.6936362774	5.255155190371247e7	0.
5.623370650438875e-6	5.678496164327527e-11	-191154.97694521418	5.924558005670763e7	0.
7.599149527620101e-6	5.678496164327527e-11	-215530.1541641888	6.603155256416443e7	0.
1.8237958866288243e-6	5.678496164327527e-11	-149730.7090014972	4.658622755154796e7	0.
3.7995747638100507e-6	5.678496164327527e-11	-170311.90408878945	5.305983938919424e7	0.
5.775353640991277e-6	5.678496164327527e-11	-192966.55977296224	5.976611857740047e7	0.
7.751132518172502e-6	5.678496164327527e-11	-217475.67582845836	6.6553525658651e7	0.
1.9757788771812262e-6	5.678496164327527e-11	-151236.30548218655	4.707224367755255e7	0.
3.9515577543624524e-6	5.678496164327527e-11	-171983.4180888119	5.3569497655284666e7	0.
5.927336631543679e-6	5.678496164327527e-11	-194789.13059753794	6.02871233124605e7	0.
7.903115508724905e-6	5.678496164327527e-11	-219430.6881998907	6.7075232399194784e7	0.
8.055098499277307e-6	5.678496164327527e-11	-221395.07456974153	6.759662462569451e7	0.
0.000010030877376458533	5.678496164327527e-11	-247732.62230094732	7.432692835912389e7	0.
0.00001200665625363976	5.678496164327527e-11	-275387.9931836447	8.09170966135837e7	0.
0.000013982435130820985	5.678496164327527e-11	-304137.28368922276	8.731665676486409e7	0.
8.207081489829708e-6	5.678496164327527e-11	-223368.71840459752	6.811765796024059e7	0.
0.000010182860367010935	5.678496164327527e-11	-249816.1999424386	7.48396611641415e7	0.
0.000012158639244192161	5.678496164327527e-11	-277563.2954128735	8.141659830953786e7	0.
0.000014134418121373388	5.678496164327527e-11	-306388.336484044	8.780016170942482e7	0.
8.359064480382111e-6	5.678496164327527e-11	-225351.5034142982	6.863828696774015e7	0.
0.000010334843357563338	5.678496164327527e-11	-251907.45501578416	7.535152003059791e7	0.
0.000012310622234744563	5.678496164327527e-11	-279744.96013906033	8.191494404268852e7	0.
0.00001428640111192579	5.678496164327527e-11	-308644.6265566706	8.828237028047162e7	0.
8.511047470934514e-6	5.678496164327527e-11	-227343.31361706115	6.91584660069621e7	0.
0.000010486826348115739	5.678496164327527e-11	-254006.28024061112	7.586247832831307e7	0.
0.000012462605225296966	5.678496164327527e-11	-281932.8938709119	8.241211635671747e7	0.
0.000014438384102478191	5.678496164327527e-11	-310906.075417417	8.876327617500363e7	0.
8.663030461486915e-6	5.678496164327527e-11	-229344.03340181665	6.967815523097917e7	0.
0.000010638809338668142	5.678496164327527e-11	-256112.56927740297	7.637250692187883e7	0.
0.000012614588215849367	5.678496164327527e-11	-284127.0042651971	8.29081060370607e7	0.
0.000014590367093030594	5.678496164327527e-11	-313172.6057092123	8.92428727999326e7	0.
8.815013452039317e-6	5.678496164327527e-11	-231353.54758776422	7.019731281242135e7	0.
0.000010790792329220544	5.678496164327527e-11	-258226.2167545566	7.688158225383805e7	0.
0.00001276657120640177	5.678496164327527e-11	-286327.20013174496	8.340289666970578e7	0.
0.000014742350083582997	5.678496164327527e-11	-315444.14120077534	8.972115747149146e7	0.
8.96699644259172e-6	5.678496164327527e-11	-233371.7414811728	7.071589941132946e7	0.
0.000010942775319772945	5.678496164327527e-11	-260347.11829333837	7.73896784981618e7	0.
0.000012918554196954172	5.678496164327527e-11	-288533.3914372046	8.389647375580381e7	0.
0.000014894333074135398	5.678496164327527e-11	-317720.6067792154	9.019812300022978e7	0.
9.11897943314412e-6	5.678496164327527e-11	-235398.50092944942	7.12338758022129e7	0.
0.000011094758310325348	5.678496164327527e-11	-262475.1705308065	7.789677207417703e7	0.
0.000013070537187506573	5.678496164327527e-11	-290745.48930762557	8.43888283050527e7	0.
0.0000150463160646878	5.678496164327527e-11	-320001.9284421021	9.067376514335915e7	0.
9.270962423696523e-6	5.678496164327527e-11	-237433.71237250933	7.175120556058283e7	0.
0.00001124674130087775	5.678496164327527e-11	-264610.2711407677	7.840284096279442e7	0.
0.000013222520178058976	5.678496164327527e-11	-292963.406029918	8.487994663272056e7	0.
0.000015198299055240203	5.678496164327527e-11	-322288.03328903916	9.114808186862184e7	0.
9.422945414248926e-6	5.678496164327527e-11	-239477.2628914835	7.2267851381553e7	0.
0.000011398724291430151	5.678496164327527e-11	-266752.318852835	7.890786356424737e7	0.
0.000013374503168611378	5.678496164327527e-11	-295187.05505225144	8.536981803982286e7	0.
0.000015350282045792605	5.678496164327527e-11	-324578.8495127814	9.162107100331706e7	0.
9.574928404801327e-6	5.678496164327527e-11	-241529.04025480678	7.278377981737779e7	0.
0.000011550707281982554	5.678496164327527e-11	-268901.2134696563	7.941182092391683e7	0.
0.00001352648615916378	5.678496164327527e-11	-297416.35098344734	8.585843416728215e7	0.
0.000015502265036345005	5.678496164327527e-11	-326874.3063899287	9.209272402400978e7	0.
9.72691139535373e-6	5.678496164327527e-11	-243588.93296173136	7.329895606868993e7	0.
0.000011702690272534956	5.678496164327527e-11	-271056.8558823803	7.991469059802905e7	0.
0.000013678469149716182	5.678496164327527e-11	-299651.20959141967	8.634578562861238e7	0.
0.000015654248026897407	5.678496164327527e-11	-329174.3342712323	9.256304347450691e7	0.
9.878894385906132e-6	5.678496164327527e-11	-245656.8302833166	7.381335054361042e7	0.
0.000011854673263087357	5.678496164327527e-11	-273219.1480844292	8.041645507808052e7	0.
