# Filename	binding\fe73a97f-b11b-4966-b300-8c00deced3a5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:05:48
# Dir	-1
# field	4.803385454071573e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	4.803385454071573e-11	NaN	NaN	NaN	-31345.74642982311	-31345.74642982311	3.141592653589793
-0.00002720495530887996	4.803385454071573e-11	NaN	NaN	NaN	-34639.44663402651	-34639.44663402651	3.141592653589793
-0.000024165295497831922	4.803385454071573e-11	NaN	NaN	NaN	-38443.93432296269	-38443.93432296269	3.141592653589793
-0.00002112563568678388	4.803385454071573e-11	NaN	NaN	NaN	-43110.168876504584	-43110.168876504584	3.141592653589793
-0.000030244615119928003	4.803385454071573e-11	NaN	NaN	NaN	-31488.970061928943	-31488.970061928943	3.141592653589793
-0.00002705297231832756	4.803385454071573e-11	NaN	NaN	NaN	-34812.68702316677	-34812.68702316677	3.141592653589793
-0.00002401331250727952	4.803385454071573e-11	NaN	NaN	NaN	-38654.73982104442	-38654.73982104442	3.141592653589793
-0.000020973652696231478	4.803385454071573e-11	NaN	NaN	NaN	-43370.917752258305	-43370.917752258305	3.141592653589793
-0.0000300926321293756	4.803385454071573e-11	NaN	NaN	NaN	-31633.448223500996	-31633.448223500996	3.141592653589793
-0.00002690098932777516	4.803385454071573e-11	NaN	NaN	NaN	-34987.57224201433	-34987.57224201433	3.141592653589793
-0.000023861329516727117	4.803385454071573e-11	NaN	NaN	NaN	-38867.71267588438	-38867.71267588438	3.141592653589793
-0.000020821669705679075	4.803385454071573e-11	NaN	NaN	NaN	-43634.57415501974	-43634.57415501974	3.141592653589793
-0.000029940649138823198	4.803385454071573e-11	NaN	NaN	NaN	-31779.19666801736	-31779.19666801736	3.141592653589793
-0.000026749006337222757	4.803385454071573e-11	NaN	NaN	NaN	-35164.12443189719	-35164.12443189719	3.141592653589793
-0.000023709346526174715	4.803385454071573e-11	NaN	NaN	NaN	-39082.884025501444	-39082.884025501444	3.141592653589793
