,Filename,Dir,zi,kind,W,field
0,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-1.2177252943703182e-06,0.0
1,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-1.935648445466549e-06,0.0
2,binding_0\14309dc1-2265-4c96-a597-083913594aff.txt,-1.0,-6.0,tt=20,-1.016662411010661e-06,1.9446904672354545e-13
3,binding_0\14309dc1-2265-4c96-a597-083913594aff.txt,-1.0,-6.0,tt=10,-1.806987446949867e-06,1.9446904672354545e-13
4,binding_0\14309dc1-2265-4c96-a597-083913594aff.txt,-1.0,-6.0,tb=20,2.879654359472715e-07,1.9446904672354545e-13
5,binding_0\14309dc1-2265-4c96-a597-083913594aff.txt,-1.0,-6.0,tplus=20,,1.9446904672354545e-13
6,binding_0\4c6dc2c0-15f7-4483-aa2e-445edbc296e9.txt,-1.0,-6.0,tt=20,-7.999808863847089e-07,3.889380934470909e-13
7,binding_0\4c6dc2c0-15f7-4483-aa2e-445edbc296e9.txt,-1.0,-6.0,tt=10,-1.6763773004099832e-06,3.889380934470909e-13
8,binding_0\4c6dc2c0-15f7-4483-aa2e-445edbc296e9.txt,-1.0,-6.0,tb=20,5.925483888077196e-07,3.889380934470909e-13
9,binding_0\4c6dc2c0-15f7-4483-aa2e-445edbc296e9.txt,-1.0,-6.0,tplus=20,,3.889380934470909e-13
10,binding_0\f5c45495-597e-4b43-a474-d473a57ce2ee.txt,-1.0,-6.0,tt=20,-5.72694565263383e-07,5.834071401706364e-13
11,binding_0\f5c45495-597e-4b43-a474-d473a57ce2ee.txt,-1.0,-6.0,tt=10,-1.5453172958730102e-06,5.834071401706364e-13
12,binding_0\f5c45495-597e-4b43-a474-d473a57ce2ee.txt,-1.0,-6.0,tb=20,9.108315284479981e-07,5.834071401706364e-13
13,binding_0\f5c45495-597e-4b43-a474-d473a57ce2ee.txt,-1.0,-6.0,tplus=20,,5.834071401706364e-13
14,binding_0\ea1e333b-7e35-4ee2-a93b-afc498223885.txt,-1.0,-6.0,tt=20,-3.3352341680362647e-07,7.778761868941818e-13
15,binding_0\ea1e333b-7e35-4ee2-a93b-afc498223885.txt,-1.0,-6.0,tt=10,-1.4109379188946155e-06,7.778761868941818e-13
16,binding_0\ea1e333b-7e35-4ee2-a93b-afc498223885.txt,-1.0,-6.0,tb=20,1.2436651334054714e-06,7.778761868941818e-13
17,binding_0\ea1e333b-7e35-4ee2-a93b-afc498223885.txt,-1.0,-6.0,tplus=20,,7.778761868941818e-13
18,binding_0\106112da-f628-4ad0-a9c3-7919ef8aa2b2.txt,-1.0,-6.0,tt=20,-8.224505682074446e-08,9.723452336177272e-13
19,binding_0\106112da-f628-4ad0-a9c3-7919ef8aa2b2.txt,-1.0,-6.0,tt=10,-1.2734430418877874e-06,9.723452336177272e-13
20,binding_0\106112da-f628-4ad0-a9c3-7919ef8aa2b2.txt,-1.0,-6.0,tb=20,1.5920833547252672e-06,9.723452336177272e-13
21,binding_0\106112da-f628-4ad0-a9c3-7919ef8aa2b2.txt,-1.0,-6.0,tplus=20,,9.723452336177272e-13
22,binding_0\1fae7350-284a-4dd7-9462-2ac0a9e72680.txt,-1.0,-6.0,tt=20,1.8333726508050477e-07,1.1668142803412728e-12
23,binding_0\1fae7350-284a-4dd7-9462-2ac0a9e72680.txt,-1.0,-6.0,tt=10,-1.132944436992879e-06,1.1668142803412728e-12
24,binding_0\1fae7350-284a-4dd7-9462-2ac0a9e72680.txt,-1.0,-6.0,tb=20,1.9562944890761936e-06,1.1668142803412728e-12
25,binding_0\1fae7350-284a-4dd7-9462-2ac0a9e72680.txt,-1.0,-6.0,tplus=20,,1.1668142803412728e-12
26,binding_0\60b80ed2-5035-4d0b-9f35-10e8e04deda9.txt,-1.0,-6.0,tt=20,4.6303757768615264e-07,1.3612833270648182e-12
27,binding_0\60b80ed2-5035-4d0b-9f35-10e8e04deda9.txt,-1.0,-6.0,tt=10,-9.894834603121938e-07,1.3612833270648182e-12
28,binding_0\60b80ed2-5035-4d0b-9f35-10e8e04deda9.txt,-1.0,-6.0,tb=20,2.3372608715337562e-06,1.3612833270648182e-12
29,binding_0\60b80ed2-5035-4d0b-9f35-10e8e04deda9.txt,-1.0,-6.0,tplus=20,,1.3612833270648182e-12
30,binding_0\a87178a5-a897-47e4-895b-d00044a91213.txt,-1.0,-6.0,tt=20,7.575654940950939e-07,1.5557523737883636e-12
31,binding_0\a87178a5-a897-47e4-895b-d00044a91213.txt,-1.0,-6.0,tt=10,-8.430501376347546e-07,1.5557523737883636e-12
32,binding_0\a87178a5-a897-47e4-895b-d00044a91213.txt,-1.0,-6.0,tb=20,2.734781435346429e-06,1.5557523737883636e-12
33,binding_0\a87178a5-a897-47e4-895b-d00044a91213.txt,-1.0,-6.0,tplus=20,,1.5557523737883636e-12
34,binding_0\bee120b4-a436-4aaa-aca0-59026be6eabc.txt,-1.0,-6.0,tt=20,1.0679739605935882e-06,1.7502214205119092e-12
35,binding_0\bee120b4-a436-4aaa-aca0-59026be6eabc.txt,-1.0,-6.0,tt=10,-6.935982963250916e-07,1.7502214205119092e-12
36,binding_0\bee120b4-a436-4aaa-aca0-59026be6eabc.txt,-1.0,-6.0,tb=20,3.1503018067959913e-06,1.7502214205119092e-12
37,binding_0\bee120b4-a436-4aaa-aca0-59026be6eabc.txt,-1.0,-6.0,tplus=20,,1.7502214205119092e-12
38,binding_0\991edb87-c1d7-4b3c-8234-c904c5267102.txt,-1.0,-6.0,tt=20,1.3950836098920518e-06,1.9446904672354544e-12
39,binding_0\991edb87-c1d7-4b3c-8234-c904c5267102.txt,-1.0,-6.0,tt=10,-5.410582216432247e-07,1.9446904672354544e-12
40,binding_0\991edb87-c1d7-4b3c-8234-c904c5267102.txt,-1.0,-6.0,tb=20,3.583566725798503e-06,1.9446904672354544e-12
41,binding_0\991edb87-c1d7-4b3c-8234-c904c5267102.txt,-1.0,-6.0,tplus=20,,1.9446904672354544e-12
42,binding_0\0c1cbcbf-5c7a-4fc2-a240-589e19623faa.txt,-1.0,-6.0,tt=20,1.7396500303812282e-06,2.139159513959e-12
43,binding_0\0c1cbcbf-5c7a-4fc2-a240-589e19623faa.txt,-1.0,-6.0,tt=10,-3.853459305658735e-07,2.139159513959e-12
44,binding_0\0c1cbcbf-5c7a-4fc2-a240-589e19623faa.txt,-1.0,-6.0,tb=20,4.035145163450392e-06,2.139159513959e-12
45,binding_0\0c1cbcbf-5c7a-4fc2-a240-589e19623faa.txt,-1.0,-6.0,tplus=20,,2.139159513959e-12
46,binding_0\6f3fe594-bf28-4b08-96da-b83a6cbe6e20.txt,-1.0,-6.0,tt=20,2.1022121358373743e-06,2.3336285606825457e-12
47,binding_0\6f3fe594-bf28-4b08-96da-b83a6cbe6e20.txt,-1.0,-6.0,tt=10,-2.263704068230723e-07,2.3336285606825457e-12
48,binding_0\6f3fe594-bf28-4b08-96da-b83a6cbe6e20.txt,-1.0,-6.0,tb=20,4.505486572730234e-06,2.3336285606825457e-12
49,binding_0\6f3fe594-bf28-4b08-96da-b83a6cbe6e20.txt,-1.0,-6.0,tplus=20,,2.3336285606825457e-12
