,field,tt10,tp20,tb20,dW,W0,a,phi,y0
0,0.0,-12.735953662360584,-12.735953662360584,0.0,43,-20,-0.12537367985362885,0.5410520681182421,0.3763888888888893
1,1.0,-11.889405044971259,-11.889405044971259,1.8947213566469374,43,-20,-0.11777669599696902,0.5410520681182421,0.3902777777777783
2,2.0,-11.03003165097401,-11.03003165097401,3.8987807110513653,43,-20,-0.11005316249107383,0.5410520681182421,0.4013888888888889
3,3.0,-10.167698333846616,-10.167698333846616,5.992982954988374,43,-20,-0.09777597311277175,0.5410520681182421,0.42083333333333356
4,4.0,-9.283524597452448,-9.283524597452448,8.18292265191154,43,-20,-0.0879603701779817,0.5410520681182421,0.43472222222222257
5,5.0,-8.378851857693212,-8.378851857693212,10.475404188134641,43,-20,-0.06974068337516975,0.5410520681182421,0.4597222222222229
6,6.0,-7.454415539849057,-7.454415539849057,12.871798089761313,43,-20,-0.05412552098767262,0.5410520681182421,0.47916666666666724
7,7.0,-6.5104877539737585,-6.5104877539737585,15.378436216772638,43,-20,-0.02936268011353338,0.5410520681182421,0.5069444444444451
8,8.0,-5.547002872918383,-5.547002872918383,17.993995613630663,43,-20,0.0030469430193176827,3.6826447217080314,0.5430555555555558
9,9.0,-4.563657095366532,-4.563657095366532,20.72798804337322,43,-20,0.047079943572834015,3.6826447217080314,0.5875000000000002
10,10.0,-3.559991720410998,-3.559991720410998,23.578733975500572,43,-20,0.14704186072650327,3.6826447217080314,0.6875000000000007
11,11.0,-2.5354541663598793,-2.5354541663598793,26.549977059607933,43,-20,0.14595649648069975,3.6826447217080314,0.6847222222222229
12,12.0,-1.489445574985836,-1.489445574985836,29.64467455393191,43,-20,0.14365273285620944,3.6826447217080314,0.679166666666667
13,13.0,-0.42135346387496136,-0.42135346387496136,32.86495251914193,43,-20,0.14117395050474107,3.6826447217080314,0.6736111111111117
14,14.0,0.6694239146935799,0.6694239146935799,36.215240370869054,43,-20,0.13986986283033576,3.6826447217080314,0.6708333333333343
15,15.0,1.7834612959158467,2.283819667969786,39.696598293440665,43,-20,0.13427295791348454,3.6826447217080314,0.6597222222222232
16,16.0,2.9212981571099714,4.017022429739414,43.31106448032591,43,-20,0.13120584885972558,3.6826447217080314,0.6541666666666678
17,17.0,4.082044710327246,5.973979135857189,47.0601140773657,43,-20,0.12136999527070663,3.6826447217080314,0.6375000000000008
18,18.0,5.266570477533016,8.139623723187148,50.94766987947362,43,-20,0.11247565494911488,3.6826447217080314,0.6236111111111116
19,19.0,6.476846147398982,10.506790457052034,54.97456500475966,43,-20,0.09855164232871316,3.6826447217080314,0.6041666666666672
20,20.0,7.713227975531719,13.067311108828621,59.14330231272529,43,-20,0.08144865149310881,3.6826447217080314,0.5819444444444448
21,21.0,8.976020855653015,15.824920537334139,63.45500627310685,43,-20,0.05834640694502388,3.6826447217080314,0.554166666666667
22,22.0,10.26442996121293,18.77341340609721,67.90980820193808,43,-20,0.023518902090504418,3.6826447217080314,0.5152777777777783
23,23.0,11.58028048420579,21.910474103693588,72.51202436181637,43,-20,-0.03862914246258181,0.5410520681182421,0.45138888888888906
24,24.0,12.923837282110757,25.236753743388725,77.26058271851639,43,-20,-0.10336417910686807,0.5410520681182421,0.3875000000000004
25,25.0,14.2954064407188,28.74884782717468,82.15776716339016,43,-20,-0.09688862033413842,0.5410520681182421,0.39583333333333387
26,26.0,15.695462136502364,32.44642255308782,87.2051104260488,43,-20,-0.08784461444173206,0.5410520681182421,0.40694444444444494
27,27.0,17.12439691594044,36.3277340398507,92.40354945663394,43,-20,-0.08077826453949885,0.5410520681182421,0.4152777777777788
28,28.0,18.58313028861066,40.39254600220321,97.75355016034781,43,-20,-0.0710154889062457,0.5410520681182421,0.4263888888888897
29,29.0,20.0711521460196,44.63969814718309,103.25674156840032,43,-20,-0.05833122224236337,0.5410520681182421,0.44027777777777855
30,30.0,21.59033351430794,49.06798517170173,108.91352864227872,43,-20,-0.0398497210830078,0.5410520681182421,0.45972222222222286
31,31.0,23.139528715621033,53.67856324856895,114.72575864171718,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
32,32.0,24.720489554282356,58.46913571730372,120.69328139873487,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
33,33.0,26.33291163090045,63.43954838350012,126.81697061763892,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
34,34.0,27.976573785858726,68.58941349501431,133.09774125472134,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
35,35.0,29.654056264914338,73.91785601670111,139.5367411022761,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
36,36.0,31.363643517966302,79.4257757368464,146.13343805439862,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
37,37.0,33.10585922978387,85.1111298319644,152.88932150731645,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
38,38.0,34.882146307596315,90.97453523539247,159.80482188097017,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
39,39.0,36.69270524169196,97.01562222565775,166.88009185776716,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
40,40.0,38.53721051664144,103.2342824192295,174.11591179671498,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
41,41.0,40.41611263382476,109.62964218023563,181.51288936980646,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
42,42.0,42.32982905198897,116.20145396762976,189.0706446965776,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
43,43.0,44.278741071028136,122.9496393669778,196.7905802207368,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
44,44.0,46.26319482321969,129.87432329612125,204.67252850622222,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
45,45.0,48.28349097799088,136.9747480190404,212.71681097474513,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
46,46.0,50.339892567361105,144.25131594021477,220.92370967028504,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
47,47.0,52.43262353233543,151.70325751005186,229.29404836782606,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
48,48.0,54.56187160728523,159.33057401932703,237.82749204075603,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
49,49.0,56.72779189092799,167.13296400406134,246.52478865056884,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
50,50.0,58.93050209453192,175.1105351586206,255.38583994091965,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
51,51.0,61.171276526138946,183.26313069430722,264.41105697892607,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
52,52.0,63.4496863968452,191.5904399859695,273.6006411989975,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
53,53.0,65.76526828503421,200.09213226757566,282.954618223103,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
54,54.0,68.11879874863355,208.76858654491312,292.473807407771,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
55,55.0,70.51121496908567,217.61936560702495,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
56,56.0,72.94090564359473,226.64429180930668,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
57,57.0,75.41033236513015,235.84326445285916,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
58,58.0,77.91739865717739,245.2163859030105,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
59,59.0,80.46436651704177,254.76337157249313,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
60,60.0,83.04928295792377,264.48422173093894,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
61,61.0,85.67448662473154,274.37871807809336,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
62,62.0,88.33855435530505,284.4468399808047,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
63,63.0,91.04161309814357,294.68847270899255,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
64,64.0,93.78514864984844,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
65,65.0,96.56829773636511,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
66,66.0,99.39110998101708,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
67,67.0,102.25382599437012,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
68,68.0,105.15665225675878,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
69,69.0,108.09974716412552,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
70,70.0,111.08324860719146,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
71,71.0,114.10725502494476,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
72,72.0,117.17185111576883,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
73,73.0,120.27708667349182,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
74,74.0,123.42299533094491,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
75,75.0,126.60958872302514,inf,inf,43,-20,-1.6653345369377348e-16,0.4188790204786397,0.5000000000000001
