,Filename,Dir,zi,kind,W,field
25,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.377110127909178e-05,
26,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.361911828853938e-05,
27,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.361911828853938e-05,
28,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.3467135297986975e-05,
29,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.3467135297986975e-05,
30,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.3315152307434576e-05,
31,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.3315152307434576e-05,
32,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.316316931688218e-05,
33,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.316316931688218e-05,
34,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.301118632632977e-05,
35,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.301118632632977e-05,
36,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.2859203335777365e-05,
37,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.2859203335777365e-05,
38,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.270722034522497e-05,
39,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.270722034522497e-05,
40,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.255523735467257e-05,
41,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.255523735467257e-05,
42,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.2403254364120174e-05,
43,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.2403254364120174e-05,
44,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.225127137356776e-05,
45,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.225127137356776e-05,
46,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.209928838301536e-05,
47,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.209928838301536e-05,
48,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.1947305392462956e-05,
49,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.1947305392462956e-05,
50,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.179532240191056e-05,
51,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.179532240191056e-05,
52,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.164333941135815e-05,
53,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.164333941135815e-05,
54,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.149135642080575e-05,
55,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.149135642080575e-05,
56,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.133937343025335e-05,
57,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.133937343025335e-05,
58,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.118739043970095e-05,
59,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.118739043970095e-05,
60,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.103540744914855e-05,
61,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.103540744914855e-05,
62,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.088342445859614e-05,
63,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.088342445859614e-05,
64,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.0731441468043735e-05,
65,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.0731441468043735e-05,
66,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=20,-4.0579458477491336e-05,
67,binding_0\78c1b905-ad88-4823-89a4-f904a98506d8.txt,-1.0,-6.0,tt=10,-4.0579458477491336e-05,
