,field,tt10,tp20,tb20,dW,W0,a,phi,y0
0,0.0,-12.735953662360584,-12.735953662360584,0.0,43,10,-0.17381526797788804,0.5410520681182421,0.2625000000000003
1,1.0,-11.889405044971259,-11.889405044971259,1.8947213566469374,43,10,-0.1758494496616833,0.5410520681182421,0.2763888888888894
2,2.0,-11.03003165097401,-11.03003165097401,3.8987807110513653,43,10,-0.17629435323227866,0.5410520681182421,0.2847222222222225
3,3.0,-10.167698333846616,-10.167698333846616,5.992982954988374,43,10,-0.1756745216551495,0.5410520681182421,0.2958333333333335
4,4.0,-9.283524597452448,-9.283524597452448,8.18292265191154,43,10,-0.17557592678217698,0.5410520681182421,0.3097222222222227
5,5.0,-8.378851857693212,-8.378851857693212,10.475404188134641,43,10,-0.1746490730585395,0.5410520681182421,0.32361111111111157
6,6.0,-7.454415539849057,-7.454415539849057,12.871798089761313,43,10,-0.17176371021525633,0.5410520681182421,0.33472222222222275
7,7.0,-6.5104877539737585,-6.5104877539737585,15.378436216772638,43,10,-0.16854884584076063,0.5410520681182421,0.3541666666666669
8,8.0,-5.547002872918383,-5.547002872918383,17.993995613630663,43,10,-0.16490129561645406,0.5410520681182421,0.36805555555555525
9,9.0,-4.563657095366532,-4.563657095366532,20.72798804337322,43,10,-0.15814691960215785,0.5410520681182421,0.3847222222222228
10,10.0,-3.559991720410998,-3.559991720410998,23.578733975500572,43,10,-0.15093231306190344,0.5410520681182421,0.40416666666666723
11,11.0,-2.5354541663598793,-2.5354541663598793,26.549977059607933,43,10,-0.14148088422694302,0.5410520681182421,0.42083333333333395
12,12.0,-1.489445574985836,-1.489445574985836,29.64467455393191,43,10,-0.1289794044617047,0.5410520681182421,0.44583333333333375
13,13.0,-0.42135346387496136,-0.42135346387496136,32.86495251914193,43,10,-0.11437580421322269,0.5410520681182421,0.4708333333333341
14,14.0,0.6694239146935799,0.6694239146935799,36.215240370869054,43,10,-0.09715110907292762,0.5410520681182421,0.4930555555555556
