,Dir,Filename,W,argt,field,t,zi,zt
0,-1.0,results\2018-02-05T05-25-39.txt,-3.0396600266570226e-05,0.0,,413414000.0,-6.0,-32891.494601791346
1,-1.0,results\2018-02-05T05-25-39.txt,-3.0396600266570226e-05,0.0,,826828000.0,-6.0,-32891.494601791346
2,-1.0,results\2018-02-05T05-25-39.txt,-3.024461726523737e-05,0.0,,413414000.0,-6.0,-33056.70843722669
3,-1.0,results\2018-02-05T05-25-39.txt,-3.024461726523737e-05,0.0,,826828000.0,-6.0,-33056.70843722669
4,-1.0,results\2018-02-05T05-25-39.txt,-3.0092634263904523e-05,0.0,,413414000.0,-6.0,-33223.590030362815
5,-1.0,results\2018-02-05T05-25-39.txt,-3.0092634263904523e-05,0.0,,826828000.0,-6.0,-33223.590030362815
6,-1.0,results\2018-02-05T05-25-39.txt,-2.9940651262571668e-05,0.0,,413414000.0,-6.0,-33392.16475668373
7,-1.0,results\2018-02-05T05-25-39.txt,-2.9940651262571668e-05,0.0,,826828000.0,-6.0,-33392.16475668373
8,-1.0,results\2018-02-05T05-25-39.txt,-2.978866826123882e-05,0.0,,413414000.0,-6.0,-33562.45850896415
9,-1.0,results\2018-02-05T05-25-39.txt,-2.978866826123882e-05,0.0,,826828000.0,-6.0,-33562.45850896415
10,-1.0,results\2018-02-05T05-25-39.txt,-2.963668525990597e-05,0.0,,413414000.0,-6.0,-33734.49771052789
11,-1.0,results\2018-02-05T05-25-39.txt,-2.963668525990597e-05,0.0,,826828000.0,-6.0,-33734.49771052789
12,-1.0,results\2018-02-05T05-25-39.txt,-2.948470225857312e-05,0.0,,413414000.0,-6.0,-33908.30932892458
13,-1.0,results\2018-02-05T05-25-39.txt,-2.948470225857312e-05,0.0,,826828000.0,-6.0,-33908.30932892458
14,-1.0,results\2018-02-05T05-25-39.txt,-2.933271925724027e-05,0.0,,413414000.0,-6.0,-34083.92088996348
15,-1.0,results\2018-02-05T05-25-39.txt,-2.933271925724027e-05,0.0,,826828000.0,-6.0,-34083.92088996348
16,-1.0,results\2018-02-05T05-25-39.txt,-2.918073625590741e-05,0.0,,413414000.0,-6.0,-34261.36049228735
17,-1.0,results\2018-02-05T05-25-39.txt,-2.918073625590741e-05,0.0,,826828000.0,-6.0,-34261.36049228735
18,-1.0,results\2018-02-05T05-25-39.txt,-2.9028753254574574e-05,0.0,,413414000.0,-6.0,-34440.65682232089
19,-1.0,results\2018-02-05T05-25-39.txt,-2.9028753254574574e-05,0.0,,826828000.0,-6.0,-34440.65682232089
20,-1.0,results\2018-02-05T05-25-39.txt,-2.887677025324171e-05,0.0,,413414000.0,-6.0,-34621.83916969842
21,-1.0,results\2018-02-05T05-25-39.txt,-2.887677025324171e-05,0.0,,826828000.0,-6.0,-34621.83916969842
22,-1.0,results\2018-02-05T05-25-39.txt,-2.8724787251908863e-05,0.0,,413414000.0,-6.0,-34804.93744321412
23,-1.0,results\2018-02-05T05-25-39.txt,-2.8724787251908863e-05,0.0,,826828000.0,-6.0,-34804.93744321412
24,-1.0,results\2018-02-05T05-25-39.txt,-2.8572804250576008e-05,0.0,,413414000.0,-6.0,-34989.98218730368
25,-1.0,results\2018-02-05T05-25-39.txt,-2.8572804250576008e-05,0.0,,826828000.0,-6.0,-34989.98218730368
26,-1.0,results\2018-02-05T05-25-39.txt,-2.842082124924316e-05,0.0,,413414000.0,-6.0,-35177.00459896154
27,-1.0,results\2018-02-05T05-25-39.txt,-2.842082124924316e-05,0.0,,826828000.0,-6.0,-35177.00459896154
28,-1.0,results\2018-02-05T05-25-39.txt,-2.8268838247910308e-05,0.0,,413414000.0,-6.0,-35366.03654526786
29,-1.0,results\2018-02-05T05-25-39.txt,-2.8268838247910308e-05,0.0,,826828000.0,-6.0,-35366.03654526786
30,-1.0,results\2018-02-05T05-25-39.txt,-2.8116855246577446e-05,0.0,,413414000.0,-6.0,-35557.11058149925
31,-1.0,results\2018-02-05T05-25-39.txt,-2.8116855246577446e-05,0.0,,826828000.0,-6.0,-35557.11058149925
32,-1.0,results\2018-02-05T05-25-39.txt,-2.796487224524461e-05,0.0,,413414000.0,-6.0,-35750.25996977945
33,-1.0,results\2018-02-05T05-25-39.txt,-2.796487224524461e-05,0.0,,826828000.0,-6.0,-35750.25996977945
34,-1.0,results\2018-02-05T05-25-39.txt,-2.7812889243911766e-05,0.0,,413414000.0,-6.0,-35945.5186983835
35,-1.0,results\2018-02-05T05-25-39.txt,-2.7812889243911766e-05,0.0,,826828000.0,-6.0,-35945.5186983835
36,-1.0,results\2018-02-05T05-25-39.txt,-2.766090624257891e-05,0.0,,413414000.0,-6.0,-36142.92150160802
37,-1.0,results\2018-02-05T05-25-39.txt,-2.766090624257891e-05,0.0,,826828000.0,-6.0,-36142.92150160802
38,-1.0,results\2018-02-05T05-25-39.txt,-2.7508923241246052e-05,0.0,,413414000.0,-6.0,-36342.503880434284
39,-1.0,results\2018-02-05T05-25-39.txt,-2.7508923241246052e-05,0.0,,826828000.0,-6.0,-36342.503880434284
40,-1.0,results\2018-02-05T05-25-39.txt,-2.73569402399132e-05,0.0,,413414000.0,-6.0,-36544.302123687805
41,-1.0,results\2018-02-05T05-25-39.txt,-2.73569402399132e-05,0.0,,826828000.0,-6.0,-36544.302123687805
42,-1.0,results\2018-02-05T05-25-39.txt,-2.720495723858035e-05,-8.586310334524071e-07,,413414000.0,-6.0,-36748.35333012135
